OID,Cid,Comment,Tier,MasteryCid,MasteryExp,ParentCategory,ChildCategory,MaterialLabor,MaterialGold,CraftTime,CraftCargoCid,CraftItemCids,CraftItemOverrideBindingTypes,CraftItemCounts,CraftItemEnhances,CraftItemGrades,GradeProbs,MaxCountAtOnce,MaterialItemCids,MaterialItemCounts,MaterialItemEnhances,MaterialGroupCids,MaterialGroupCounts,MaterialGroupEnhances
1011,1011,주괴_1티어,Tier1,701,10,Material,Smith,0,10,5000,,"[52010001,52010001]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[51010001],[10],[0],[],[],[]
1012,1012,주괴_2티어,Tier2,701,10,Material,Smith,0,50,5000,,"[52020001,52020001]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[51020001],[10],[0],[],[],[]
1013,1013,주괴_3티어,Tier3,701,10,Material,Smith,0,100,5000,,"[52030001,52030001]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[51030001],[10],[0],[],[],[]
1014,1014,주괴_4티어,Tier4,701,10,Material,Smith,0,100,5000,,"[52040001,52040001]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[51040001],[10],[0],[],[],[]
1015,1015,주괴_5티어,Tier5,701,10,Material,Smith,0,100,5000,,"[52050001,52050001]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[51050001],[10],[0],[],[],[]
1016,1016,주괴_6티어,Tier6,701,10,Material,Smith,0,100,5000,,"[52060001,52060001]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[51060001],[10],[0],[],[],[]
1017,1017,주괴_7티어,Tier7,701,10,Material,Smith,0,100,5000,,"[52070001,52070001]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[51070001],[10],[0],[],[],[]
1021,1021,직물_1티어,Tier1,702,10,Material,Sewing,0,10,5000,,"[52010002,52010002]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[51010002],[10],[0],[],[],[]
1022,1022,직물_2티어,Tier2,702,10,Material,Sewing,0,50,5000,,"[52020002,52020002]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[51020002],[10],[0],[],[],[]
1023,1023,직물_3티어,Tier3,702,10,Material,Sewing,0,100,5000,,"[52030002,52030002]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[51030002],[10],[0],[],[],[]
1024,1024,직물_4티어,Tier4,702,10,Material,Sewing,0,100,5000,,"[52040002,52040002]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[51040002],[10],[0],[],[],[]
1025,1025,직물_5티어,Tier5,702,10,Material,Sewing,0,100,5000,,"[52050002,52050002]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[51050002],[10],[0],[],[],[]
1026,1026,직물_6티어,Tier6,702,10,Material,Sewing,0,100,5000,,"[52060002,52060002]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[51060002],[10],[0],[],[],[]
