OID,Cid,Comment,LootCategory,Value,ItemOverrideBindingType,ItemEnhanceStep,ItemGradeStep,MinCount,MaxCount
1,1,논드랍,,0,,0,Common,0,0
2,2,돈1드랍,Currency,1,,0,Common,100,100
10,10,여정의 시작 로브,Item,12099001,,0,Common,1,1
23,23,등짐,Item,41010004,,0,Common,1,1
24,24,등짐_함선테스트용,Item,41010004,,0,Common,1,1
25,25,등짐_함선테스트용,Item,41010004,,0,Common,1,1
26,26,등짐_함선테스트용,Item,41010004,,0,Common,1,1
59,59,클리오네,Pet,1,,0,Common,1,1
60,60,페피,Pet,2,,0,Common,1,1
61,61,파피리스,Pet,3,,0,Common,1,1
62,62,붉은용,Pet,4,,0,Common,1,1
63,63,빛의 사도 위니,Pet,5,,0,Common,1,1
64,64,안탈론,Pet,6,,0,Common,1,1
65,65,축복의 다그란,Pet,7,,0,Common,1,1
66,66,마정령 엘룬드,Pet,8,,0,Common,1,1
67,67,사도 아로마르,Pet,9,,0,Common,1,1
68,68,검은 잔재 칼루안,Pet,10,,0,Common,1,1
69,69,[알] 클리오네,Item,44010002,,0,Common,1,1
70,70,[알] 페피,Item,44010003,,0,Common,1,1
71,71,[알] 파피리스,Item,44010004,,0,Common,1,1
72,72,[알] 붉은용,Item,44010005,,0,Common,1,1
73,73,[알] 빛의 사도 위니,Item,44010006,,0,Common,1,1
74,74,[알] 안탈론,Item,44020002,,0,Common,1,1
75,75,[알] 축복의 다그란,Item,44020003,,0,Common,1,1
76,76,[알] 마정령 엘룬드,Item,44020004,,0,Common,1,1
77,77,[알] 사도 아로마르,Item,44020005,,0,Common,1,1
78,78,[알] 검은 잔재 칼루안,Item,44020006,,0,Common,1,1
101,101,시작 무기 상자,Item,42990002,,0,Common,1,1
102,102,러시아 테스트용 방어구 상자,Item,42019003,,0,Common,1,1
110,110,아키움 씨앗,Item,69020001,,0,Common,1,1
111,111,1T 광석,Item,51010001,,0,Common,1,1
112,112,2T 광석,Item,51020001,,0,Common,1,1
113,113,3T 광석,Item,51030001,,0,Common,1,1
114,114,4T 광석,Item,51040001,,0,Common,1,1
115,115,5T 광석,Item,51050001,,0,Common,1,1
116,116,6T 광석,Item,51060001,,0,Common,1,1
117,117,7T 광석,Item,51070001,,0,Common,1,1
121,121,1T 섬유,Item,51010002,,0,Common,1,1
122,122,2T 섬유,Item,51020002,,0,Common,1,1
123,123,3T 섬유,Item,51030002,,0,Common,1,1
124,124,4T 섬유,Item,51040002,,0,Common,1,1
125,125,5T 섬유,Item,51050002,,0,Common,1,1
126,126,6T 섬유,Item,51060002,,0,Common,1,1
127,127,7T 섬유,Item,51070002,,0,Common,1,1
131,131,1T 통나무,Item,51010003,,0,Common,1,1
132,132,2T 통나무,Item,51020003,,0,Common,1,1
133,133,3T 통나무,Item,51030003,,0,Common,1,1
134,134,4T 통나무,Item,51040003,,0,Common,1,1
135,135,5T 통나무,Item,51050003,,0,Common,1,1
136,136,6T 통나무,Item,51060003,,0,Common,1,1
137,137,7T 통나무,Item,51070003,,0,Common,1,1
141,141,1T 주괴,Item,52010001,,0,Common,1,1
142,142,2T 주괴,Item,52020001,,0,Common,1,1
143,143,3T 주괴,Item,52030001,,0,Common,1,1
144,144,4T 주괴,Item,52040001,,0,Common,1,1
145,145,5T 주괴,Item,52050001,,0,Common,1,1
146,146,6T 주괴,Item,52060001,,0,Common,1,1
147,147,7T 주괴,Item,52070001,,0,Common,1,1
