OID,Cid,PathType,PathPoints
0,0,Circulation,"((X=-7414.000000,Y=26530.000000,Z=-17013.000000),(X=-7131.764844,Y=26515.639478,Z=-16991.921565),(X=-6567.685694,Y=26403.568475,Z=-17014.970986),(X=-6129.407253,Y=26213.203827,Z=-17056.007754),(X=-5899.329255,Y=25904.224470,Z=-17087.808101),(X=-5628.929370,Y=25482.121745,Z=-17073.905402),(X=-5899.329224,Y=25904.224487,Z=-17087.808098),(X=-6129.407227,Y=26213.203827,Z=-17056.007755),(X=-6567.685669,Y=26403.568474,Z=-17014.970986),(X=-7131.764832,Y=26515.639478,Z=-16991.921564))"
90601,90601,Circulation,"((X=-443682.069996,Y=414905.334940,Z=348.227457),(X=-443674.556960,Y=415005.052312,Z=348.227457),(X=-443657.929602,Y=415225.740275,Z=348.227457),(X=-443691.512630,Y=415643.355565,Z=348.227457),(X=-443929.015616,Y=415624.256483,Z=348.227457),(X=-444167.345004,Y=415205.583566,Z=348.227457),(X=-443855.228917,Y=414673.346881,Z=348.227457))"
90602,90602,Circulation,"((X=-444406.829831,Y=415061.888682,Z=294.852486),(X=-444639.658588,Y=414647.769540,Z=130.911209),(X=-444703.135563,Y=413980.911388,Z=-80.413217),(X=-444316.289689,Y=413928.365096,Z=-30.797018),(X=-443758.798590,Y=414053.323039,Z=101.070970),(X=-444276.026279,Y=414880.504107,Z=262.413449))"
90603,90603,Circulation,"((X=-443863.799816,Y=413973.980843,Z=292.174909),(X=-443553.326834,Y=414150.957055,Z=292.174909),(X=-443534.601560,Y=414414.131557,Z=292.174909),(X=-444418.136661,Y=414476.996460,Z=292.174909),(X=-444451.159587,Y=414210.051210,Z=292.174909),(X=-444080.620045,Y=413957.538753,Z=292.174909))"
90604,90604,Circulation,"((X=-442434.571230,Y=418379.043541,Z=293.999791),(X=-442571.792412,Y=418064.863807,Z=293.999791),(X=-442791.944831,Y=417790.440605,Z=293.999791),(X=-442956.692074,Y=417756.853706,Z=293.999791),(X=-442856.799876,Y=418089.956923,Z=293.999791),(X=-442649.125328,Y=418387.793051,Z=293.999791),(X=-442283.314659,Y=418912.419839,Z=293.999791),(X=-441994.185471,Y=419005.714778,Z=293.999791),(X=-442316.807435,Y=418565.456187,Z=293.999791))"
90605,90605,Circulation,"((X=-441598.099220,Y=419412.859480,Z=299.425979),(X=-442630.892382,Y=419276.440587,Z=299.425979),(X=-442312.956759,Y=418676.990670,Z=299.425979),(X=-441553.506822,Y=418531.407656,Z=299.425979),(X=-441407.398141,Y=419293.599772,Z=299.425979))"
90606,90606,Circulation,"((X=-425884.804487,Y=418922.572128,Z=-116.567652),(X=-426215.649713,Y=419068.896601,Z=-116.567652),(X=-426150.187954,Y=419227.071552,Z=-116.567652),(X=-425992.340795,Y=419412.297865,Z=-116.567652),(X=-425783.019287,Y=419245.201562,Z=-116.567652),(X=-425783.019282,Y=418940.993063,Z=-116.567652))"
90607,90607,Circulation,"((X=-426655.962143,Y=420023.455955,Z=-145.376914),(X=-426880.756689,Y=420153.008682,Z=-145.376914),(X=-426888.841175,Y=420191.831056,Z=-145.376914),(X=-426634.221113,Y=420083.227903,Z=-145.376914))"
90608,90608,Circulation,"((X=-427873.360463,Y=420874.560761,Z=-108.569280),(X=-428167.693731,Y=420836.446581,Z=-108.569280),(X=-428167.693733,Y=421226.289610,Z=-108.569280),(X=-427844.607039,Y=421584.768730,Z=-108.569280),(X=-427654.515532,Y=421044.491449,Z=-108.569280),(X=-427654.515530,Y=420774.980773,Z=-108.569280))"
90609,90609,Circulation,"((X=-428033.399141,Y=421779.938657,Z=-119.499952),(X=-428261.296942,Y=421335.068535,Z=-119.499952),(X=-428630.140774,Y=421213.679020,Z=-119.499952),(X=-428691.256057,Y=421694.895407,Z=-119.499952),(X=-428115.821234,Y=422208.394489,Z=-119.499952))"
90610,90610,Circulation,"((X=-429172.996304,Y=421848.777582,Z=-182.254847),(X=-429072.996295,Y=422126.816793,Z=-182.254847),(X=-428826.966810,Y=422507.823517,Z=-182.254847),(X=-428262.429462,Y=422730.294593,Z=-182.254847),(X=-428324.422356,Y=422553.286798,Z=-182.254847),(X=-428975.545251,Y=421792.627274,Z=-182.254847))"
90611,90611,Circulation,"((X=-428525.317744,Y=423132.979869,Z=-164.163249),(X=-428302.987001,Y=423561.348486,Z=-273.539301),(X=-428302.987000,Y=423951.971769,Z=-273.539301),(X=-428702.804484,Y=423195.573229,Z=-133.014138),(X=-428702.804489,Y=422719.648761,Z=-133.014138))"
10180101,10180101,Circulation,"((X=350100.000000,Y=-123790.000000,Z=-1593.447888),(X=350550.000000,Y=-124040.000000,Z=-1593.447888),(X=351730.000000,Y=-123980.000000,Z=-1589.677380),(X=354320.000000,Y=-123570.000000,Z=-1589.677380),(X=355380.000000,Y=-123620.000000,Z=-1589.677380),(X=356150.000000,Y=-124360.000000,Z=-1589.677380),(X=356510.000000,Y=-125890.000000,Z=-1589.677380),(X=356790.000000,Y=-126640.000000,Z=-1524.122936),(X=357730.000000,Y=-127090.000000,Z=-1354.365673),(X=358390.000000,Y=-127490.000000,Z=-1235.441906),(X=358610.000000,Y=-127870.000000,Z=-1167.723583),(X=358440.000000,Y=-128220.000000,Z=-1004.249981),(X=357840.000000,Y=-128940.000000,Z=-680.726177),(X=357660.000000,Y=-129570.000000,Z=-632.649029),(X=358320.000000,Y=-130540.000000,Z=-254.260784),(X=358610.000000,Y=-131470.000000,Z=-135.875225),(X=359590.000000,Y=-132180.000000,Z=-134.266613),(X=360790.000000,Y=-132990.000000,Z=-131.821514),(X=361740.000000,Y=-133610.000000,Z=-125.314678),(X=362780.000000,Y=-133870.000000,Z=-123.535046),(X=363610.000000,Y=-134480.000000,Z=-26.743511),(X=364740.000000,Y=-135100.000000,Z=93.079929),(X=367740.000000,Y=-136050.000000,Z=27.125461),(X=370290.000000,Y=-136860.000000,Z=27.125461),(X=371980.000000,Y=-137200.000000,Z=43.636967),(X=373070.000000,Y=-136950.000000,Z=46.071720),(X=373900.000000,Y=-135430.000000,Z=42.774204),(X=375460.000000,Y=-134640.000000,Z=42.774204),(X=376650.000000,Y=-133760.000000,Z=42.774204),(X=377460.000000,Y=-132600.000000,Z=42.774204),(X=378230.000000,Y=-132240.000000,Z=42.774204),(X=379490.000000,Y=-132430.000000,Z=42.774204),(X=381050.000000,Y=-133690.000000,Z=42.189915),(X=382310.000000,Y=-134930.000000,Z=42.189915),(X=383540.000000,Y=-135140.000000,Z=42.189915),(X=384530.000000,Y=-135110.000000,Z=42.189915),(X=385370.000000,Y=-135970.000000,Z=42.189915),(X=386110.000000,Y=-137460.000000,Z=48.612522),(X=386380.000000,Y=-138960.000000,Z=48.612522),(X=385500.000000,Y=-140990.000000,Z=48.612522),(X=384560.000000,Y=-142070.000000,Z=48.612522),(X=383390.000000,Y=-144000.000000,Z=495.727512),(X=382130.000000,Y=-146000.000000,Z=532.967350),(X=381010.000000,Y=-146910.000000,Z=529.244907),(X=379230.000000,Y=-147560.000000,Z=536.615391),(X=378410.000000,Y=-149310.000000,Z=751.021702),(X=377720.000000,Y=-151640.000000,Z=1259.768040),(X=377120.000000,Y=-153200.000000,Z=1259.768040),(X=377140.000000,Y=-154940.000000,Z=1259.768040),(X=377160.000000,Y=-155930.000000,Z=1259.768040),(X=376820.000000,Y=-156710.000000,Z=1259.768040),(X=375860.000000,Y=-157980.000000,Z=1259.768040),(X=375250.000000,Y=-158920.000000,Z=1259.768040),(X=375100.000000,Y=-159690.000000,Z=1259.768040),(X=375330.000000,Y=-160120.000000,Z=1259.768040),(X=375980.000000,Y=-160340.000000,Z=1259.768040),(X=376590.000000,Y=-160710.000000,Z=1259.768040),(X=378480.000000,Y=-161950.000000,Z=1681.857395),(X=379870.000000,Y=-161940.000000,Z=1755.315128),(X=381380.000000,Y=-161740.000000,Z=1755.315128),(X=382810.000000,Y=-161960.000000,Z=1755.315128),(X=383410.000000,Y=-162640.000000,Z=1755.315128),(X=382990.000000,Y=-164000.000000,Z=1755.315128),(X=382550.000000,Y=-165330.000000,Z=1755.315128),(X=382800.000000,Y=-167300.000000,Z=1755.315128),(X=382670.000000,Y=-168960.000000,Z=1755.315128),(X=382550.000000,Y=-170460.000000,Z=1755.315128),(X=382740.000000,Y=-171460.000000,Z=1755.315128),(X=383370.000000,Y=-171890.000000,Z=1755.315128),(X=383550.000000,Y=-172510.000000,Z=1755.315128),(X=382490.000000,Y=-173840.000000,Z=2258.339847),(X=381720.000000,Y=-175440.000000,Z=2263.576115),(X=381000.000000,Y=-176510.000000,Z=2263.576115),(X=379810.000000,Y=-177200.000000,Z=2263.576115),(X=378110.000000,Y=-177030.000000,Z=2263.576115),(X=374070.000000,Y=-176090.000000,Z=2263.576115),(X=372590.000000,Y=-175940.000000,Z=2263.576115),(X=372010.000000,Y=-175410.000000,Z=2263.576115),(X=371280.000000,Y=-173840.000000,Z=2263.576115),(X=369830.000000,Y=-172110.000000,Z=2264.440861),(X=367470.000000,Y=-170100.000000,Z=2251.333930),(X=365540.000000,Y=-168050.000000,Z=2566.142768),(X=363600.000000,Y=-166050.000000,Z=2566.265448),(X=363220.000000,Y=-165160.000000,Z=2571.101569),(X=363080.000000,Y=-164220.000000,Z=2567.013862),(X=362440.000000,Y=-163490.000000,Z=2582.323005),(X=361460.000000,Y=-161670.000000,Z=2829.795356),(X=360770.000000,Y=-160400.000000,Z=2817.102973),(X=359660.000000,Y=-159410.000000,Z=2825.441047),(X=358540.000000,Y=-158110.000000,Z=2824.700690),(X=357610.000000,Y=-156700.000000,Z=2818.508918),(X=356770.000000,Y=-154560.000000,Z=2825.133857),(X=356040.000000,Y=-152690.000000,Z=2251.333930),(X=354380.000000,Y=-151740.000000,Z=2251.333930))"
108020041,108020041,Circulation,"((X=357246.000000,Y=-148033.000000,Z=2797.445002),(X=360769.000000,Y=-145804.000000,Z=1809.302180))"
