OID,Cid,ZoneCid,Boundaries
100,100,1000,"((X=376326.000000,Y=-136810.000000),(X=376350.000000,Y=-137000.000000),(X=376410.000000,Y=-137050.000000),(X=376590.000000,Y=-136950.000000),(X=376671.000000,Y=-136651.000000),(X=376464.000000,Y=-136444.000000),(X=0.000000,Y=0.000000),(X=376270.000000,Y=-136960.000000),(X=376340.000000,Y=-136920.000000),(X=376326.000000,Y=-136810.000000),(X=0.000000,Y=0.000000),(X=376620.000000,Y=-136840.000000),(X=376710.000000,Y=-136750.000000),(X=376710.000000,Y=-136690.000000),(X=376671.000000,Y=-136651.000000),(X=0.000000,Y=0.000000),(X=376220.000000,Y=-136700.000000),(X=376338.000000,Y=-136779.000000),(X=376424.000000,Y=-136549.000000),(X=376240.000000,Y=-136610.000000),(X=0.000000,Y=0.000000),(X=376240.000000,Y=-136750.000000),(X=376300.000000,Y=-136880.000000),(X=376338.000000,Y=-136779.000000),(X=376310.000000,Y=-136760.000000),(X=0.000000,Y=0.000000),(X=376280.000000,Y=-136490.000000),(X=376330.000000,Y=-136580.000000),(X=376424.000000,Y=-136549.000000),(X=376464.000000,Y=-136444.000000),(X=376372.000000,Y=-136352.000000),(X=0.000000,Y=0.000000),(X=376460.000000,Y=-136440.000000),(X=376632.000000,Y=-136612.000000),(X=376840.000000,Y=-136320.000000),(X=376800.000000,Y=-136230.000000),(X=376600.000000,Y=-136200.000000),(X=0.000000,Y=0.000000),(X=376372.000000,Y=-136352.000000),(X=376460.000000,Y=-136440.000000),(X=376530.000000,Y=-136320.000000),(X=376420.000000,Y=-136280.000000),(X=0.000000,Y=0.000000),(X=376698.000000,Y=-136518.000000),(X=376699.000000,Y=-136518.000000),(X=376800.000000,Y=-136460.000000),(X=376870.000000,Y=-136380.000000),(X=376790.000000,Y=-136390.000000),(X=0.000000,Y=0.000000),(X=376632.000000,Y=-136612.000000),(X=376660.000000,Y=-136640.000000),(X=376730.000000,Y=-136500.000000),(X=376698.000000,Y=-136518.000000))"
101,101,1000,"((X=383290.000000,Y=-129490.000000),(X=383330.000000,Y=-129560.000000),(X=383460.000000,Y=-129620.000000),(X=383530.000000,Y=-129570.000000),(X=383506.000000,Y=-129286.000000),(X=383350.000000,Y=-129380.000000),(X=0.000000,Y=0.000000),(X=383506.000000,Y=-129286.000000),(X=383509.000000,Y=-129314.000000),(X=383670.000000,Y=-129260.000000),(X=383664.000000,Y=-129191.000000),(X=0.000000,Y=0.000000),(X=383509.000000,Y=-129314.000000),(X=383520.000000,Y=-129450.000000),(X=383600.000000,Y=-129400.000000),(X=383580.000000,Y=-129290.000000),(X=0.000000,Y=0.000000),(X=383516.000000,Y=-128795.000000),(X=383588.000000,Y=-129034.000000),(X=383740.000000,Y=-129020.000000),(X=383810.000000,Y=-128970.000000),(X=383780.000000,Y=-128870.000000),(X=383517.000000,Y=-128795.000000),(X=0.000000,Y=0.000000),(X=383588.000000,Y=-129034.000000),(X=383640.000000,Y=-129206.000000),(X=383664.000000,Y=-129191.000000),(X=383660.000000,Y=-129140.000000),(X=383630.000000,Y=-129030.000000),(X=0.000000,Y=0.000000),(X=383500.000000,Y=-128740.000000),(X=383516.000000,Y=-128795.000000),(X=383710.000000,Y=-128850.000000),(X=383690.000000,Y=-128750.000000),(X=0.000000,Y=0.000000),(X=383200.000000,Y=-128990.000000),(X=383210.000000,Y=-129100.000000),(X=383310.000000,Y=-129190.000000),(X=383495.000000,Y=-129058.000000),(X=0.000000,Y=0.000000),(X=383330.000000,Y=-129020.000000),(X=383495.000000,Y=-129058.000000),(X=383578.000000,Y=-128999.000000),(X=383530.000000,Y=-128840.000000),(X=383460.000000,Y=-128870.000000),(X=383370.000000,Y=-128920.000000),(X=0.000000,Y=0.000000),(X=383450.000000,Y=-129320.000000),(X=383640.000000,Y=-129206.000000),(X=383622.000000,Y=-129148.000000),(X=0.000000,Y=0.000000),(X=383386.000000,Y=-129136.000000),(X=383510.000000,Y=-129260.000000),(X=383622.000000,Y=-129148.000000),(X=383578.000000,Y=-128999.000000),(X=0.000000,Y=0.000000),(X=383380.000000,Y=-129140.000000),(X=383430.000000,Y=-129180.000000),(X=383386.000000,Y=-129136.000000))"
102,102,1000,"((X=382838.000000,Y=-133625.000000),(X=382900.000000,Y=-133790.000000),(X=383000.000000,Y=-133860.000000),(X=383100.000000,Y=-133780.000000),(X=383130.000000,Y=-133690.000000),(X=0.000000,Y=0.000000),(X=382547.000000,Y=-133614.000000),(X=382548.000000,Y=-133615.000000),(X=382690.000000,Y=-133700.000000),(X=382849.000000,Y=-133655.000000),(X=382838.000000,Y=-133625.000000),(X=382604.000000,Y=-133573.000000),(X=0.000000,Y=0.000000),(X=382513.000000,Y=-133640.000000),(X=382590.000000,Y=-133640.000000),(X=382547.000000,Y=-133614.000000),(X=0.000000,Y=0.000000),(X=382760.000000,Y=-133680.000000),(X=382870.000000,Y=-133710.000000),(X=382849.000000,Y=-133655.000000),(X=0.000000,Y=0.000000),(X=382604.000000,Y=-133573.000000),(X=383040.000000,Y=-133670.000000),(X=383080.000000,Y=-133580.000000),(X=382826.000000,Y=-133410.000000),(X=0.000000,Y=0.000000),(X=382826.000000,Y=-133410.000000),(X=382990.000000,Y=-133520.000000),(X=382940.000000,Y=-133420.000000),(X=382840.000000,Y=-133400.000000),(X=0.000000,Y=0.000000),(X=382292.000000,Y=-133367.000000),(X=382510.000000,Y=-133640.000000),(X=382513.000000,Y=-133640.000000),(X=382690.000000,Y=-133510.000000),(X=382620.000000,Y=-133460.000000),(X=382410.000000,Y=-133330.000000),(X=382310.000000,Y=-133330.000000),(X=0.000000,Y=0.000000),(X=382190.000000,Y=-133630.000000),(X=382320.000000,Y=-133720.000000),(X=382390.000000,Y=-133720.000000),(X=382450.000000,Y=-133660.000000),(X=382470.000000,Y=-133590.000000),(X=382335.000000,Y=-133421.000000),(X=0.000000,Y=0.000000),(X=382260.000000,Y=-133430.000000),(X=382280.000000,Y=-133500.000000),(X=382335.000000,Y=-133421.000000),(X=382292.000000,Y=-133367.000000))"
103,103,1000,"((X=388470.000000,Y=-135813.000000),(X=388810.000000,Y=-136040.000000),(X=388850.000000,Y=-135990.000000),(X=388830.000000,Y=-135890.000000),(X=388750.000000,Y=-135790.000000),(X=388650.000000,Y=-135770.000000),(X=388470.000000,Y=-135780.000000),(X=0.000000,Y=0.000000),(X=388370.000000,Y=-135940.000000),(X=388620.000000,Y=-136100.000000),(X=388660.000000,Y=-136080.000000),(X=388750.000000,Y=-136000.000000),(X=388494.000000,Y=-135829.000000),(X=388493.000000,Y=-135829.000000),(X=0.000000,Y=0.000000),(X=388370.000000,Y=-135940.000000),(X=388481.000000,Y=-136011.000000),(X=388482.000000,Y=-136011.000000),(X=388481.000000,Y=-136010.000000),(X=0.000000,Y=0.000000),(X=388470.000000,Y=-135850.000000),(X=388494.000000,Y=-135829.000000),(X=388470.000000,Y=-135813.000000))"
104,104,1000,"((X=384055.000000,Y=-138280.000000),(X=384280.000000,Y=-138430.000000),(X=384390.000000,Y=-138430.000000),(X=384390.000000,Y=-138350.000000),(X=384330.000000,Y=-138280.000000),(X=384131.000000,Y=-138223.000000),(X=384080.000000,Y=-138240.000000),(X=0.000000,Y=0.000000),(X=384030.000000,Y=-138390.000000),(X=384130.000000,Y=-138410.000000),(X=384220.000000,Y=-138390.000000),(X=384055.000000,Y=-138280.000000),(X=384030.000000,Y=-138320.000000),(X=0.000000,Y=0.000000),(X=384130.000000,Y=-138150.000000),(X=384141.000000,Y=-138226.000000),(X=384260.000000,Y=-138260.000000),(X=384300.000000,Y=-138200.000000),(X=384300.000000,Y=-138090.000000),(X=384240.000000,Y=-138060.000000),(X=384140.000000,Y=-138070.000000),(X=0.000000,Y=0.000000),(X=384131.000000,Y=-138223.000000),(X=384141.000000,Y=-138226.000000),(X=384140.000000,Y=-138220.000000))"
105,105,1000,"((X=388408.000000,Y=-141182.000000),(X=388498.000000,Y=-141230.000000),(X=388879.000000,Y=-141230.000000),(X=389000.000000,Y=-141060.000000),(X=388950.000000,Y=-140980.000000),(X=388790.000000,Y=-140927.000000),(X=388408.000000,Y=-141181.000000),(X=0.000000,Y=0.000000),(X=388790.000000,Y=-140927.000000),(X=388860.000000,Y=-140950.000000),(X=388800.000000,Y=-140920.000000),(X=0.000000,Y=0.000000),(X=388879.000000,Y=-141230.000000),(X=388880.000000,Y=-141230.000000),(X=388948.000000,Y=-141133.000000),(X=388950.000000,Y=-141130.000000),(X=388951.000000,Y=-141128.000000),(X=0.000000,Y=0.000000),(X=388498.000000,Y=-141230.000000),(X=388630.000000,Y=-141300.000000),(X=388760.000000,Y=-141230.000000),(X=0.000000,Y=0.000000),(X=388313.000000,Y=-141245.000000),(X=388360.000000,Y=-141300.000000),(X=388480.000000,Y=-141220.000000),(X=388408.000000,Y=-141181.000000),(X=0.000000,Y=0.000000),(X=388220.000000,Y=-141130.000000),(X=388230.000000,Y=-141240.000000),(X=388345.000000,Y=-141224.000000),(X=388559.000000,Y=-141081.000000),(X=388280.000000,Y=-141050.000000),(X=0.000000,Y=0.000000),(X=388300.000000,Y=-141230.000000),(X=388313.000000,Y=-141245.000000),(X=388345.000000,Y=-141224.000000),(X=388344.000000,Y=-141224.000000),(X=0.000000,Y=0.000000),(X=388370.000000,Y=-141060.000000),(X=388558.000000,Y=-141081.000000),(X=388559.000000,Y=-141081.000000),(X=388740.000000,Y=-140960.000000),(X=388660.000000,Y=-140920.000000),(X=388650.000000,Y=-140920.000000),(X=388410.000000,Y=-141000.000000),(X=0.000000,Y=0.000000),(X=388470.000000,Y=-140980.000000),(X=388650.000000,Y=-140920.000000),(X=388580.000000,Y=-140920.000000))"
106,106,1000,"((X=379911.000000,Y=-144096.000000),(X=380202.000000,Y=-144241.000000),(X=380227.000000,Y=-144252.000000),(X=380228.000000,Y=-144252.000000),(X=380500.000000,Y=-144150.000000),(X=380560.000000,Y=-144100.000000),(X=380520.000000,Y=-144030.000000),(X=380347.000000,Y=-143965.000000),(X=0.000000,Y=0.000000),(X=380227.000000,Y=-144252.000000),(X=380290.000000,Y=-144280.000000),(X=380396.000000,Y=-144189.000000),(X=0.000000,Y=0.000000),(X=380360.000000,Y=-144220.000000),(X=380420.000000,Y=-144180.000000),(X=380396.000000,Y=-144189.000000),(X=0.000000,Y=0.000000),(X=380347.000000,Y=-143965.000000),(X=380440.000000,Y=-144000.000000),(X=380430.000000,Y=-143940.000000),(X=0.000000,Y=0.000000),(X=379883.000000,Y=-144104.000000),(X=379950.000000,Y=-144180.000000),(X=380000.000000,Y=-144220.000000),(X=380100.000000,Y=-144190.000000),(X=379911.000000,Y=-144096.000000),(X=0.000000,Y=0.000000),(X=380210.000000,Y=-143940.000000),(X=380230.000000,Y=-144000.000000),(X=380430.000000,Y=-143940.000000),(X=380440.000000,Y=-143850.000000),(X=380330.000000,Y=-143810.000000),(X=380270.000000,Y=-143850.000000),(X=0.000000,Y=0.000000),(X=379880.000000,Y=-144100.000000),(X=379883.000000,Y=-144104.000000),(X=380130.000000,Y=-144030.000000),(X=380030.000000,Y=-144020.000000),(X=379930.000000,Y=-144040.000000))"
107,107,1000,"((X=374080.000000,Y=-163999.000000),(X=374210.000000,Y=-164260.000000),(X=374382.000000,Y=-164174.000000),(X=374300.000000,Y=-163875.000000),(X=374260.000000,Y=-163850.000000),(X=374210.000000,Y=-163850.000000),(X=0.000000,Y=0.000000),(X=374060.000000,Y=-163960.000000),(X=374080.000000,Y=-163999.000000),(X=374140.000000,Y=-163930.000000),(X=0.000000,Y=0.000000),(X=374110.000000,Y=-164150.000000),(X=374170.000000,Y=-164280.000000),(X=374210.000000,Y=-164260.000000),(X=374110.000000,Y=-164060.000000),(X=0.000000,Y=0.000000),(X=374270.000000,Y=-164230.000000),(X=374350.000000,Y=-164260.000000),(X=374400.000000,Y=-164240.000000),(X=374382.000000,Y=-164174.000000),(X=0.000000,Y=0.000000),(X=374311.000000,Y=-163914.000000),(X=374339.000000,Y=-164016.000000),(X=374650.000000,Y=-164120.000000),(X=374730.000000,Y=-164130.000000),(X=374770.000000,Y=-164030.000000),(X=374776.000000,Y=-164007.000000),(X=0.000000,Y=0.000000),(X=374339.000000,Y=-164016.000000),(X=374370.000000,Y=-164130.000000),(X=374417.000000,Y=-164121.000000),(X=374560.000000,Y=-164090.000000),(X=0.000000,Y=0.000000),(X=374440.000000,Y=-163940.000000),(X=374776.000000,Y=-164007.000000),(X=374800.000000,Y=-163920.000000),(X=374700.000000,Y=-163880.000000),(X=374620.000000,Y=-163860.000000),(X=374530.000000,Y=-163850.000000),(X=0.000000,Y=0.000000),(X=374300.000000,Y=-163875.000000),(X=374311.000000,Y=-163914.000000),(X=374390.000000,Y=-163930.000000))"
108,108,1000,"((X=384230.000000,Y=-163780.000000),(X=384240.000000,Y=-163820.000000),(X=384310.000000,Y=-163880.000000),(X=384370.000000,Y=-163880.000000),(X=384471.000000,Y=-163805.000000),(X=384480.000000,Y=-163730.000000),(X=384250.000000,Y=-163730.000000),(X=0.000000,Y=0.000000),(X=384409.000000,Y=-163851.000000),(X=384470.000000,Y=-163810.000000),(X=384471.000000,Y=-163805.000000),(X=384471.000000,Y=-163804.000000),(X=384409.000000,Y=-163850.000000),(X=0.000000,Y=0.000000),(X=384300.000000,Y=-163730.000000),(X=384390.000000,Y=-163730.000000),(X=384310.000000,Y=-163680.000000),(X=0.000000,Y=0.000000),(X=384390.000000,Y=-163730.000000),(X=384480.000000,Y=-163730.000000),(X=384450.000000,Y=-163700.000000))"
109,109,1000,"((X=384545.000000,Y=-164120.000000),(X=384620.000000,Y=-164270.000000),(X=384670.000000,Y=-164300.000000),(X=384730.000000,Y=-164270.000000),(X=384740.000000,Y=-164240.000000),(X=384760.000000,Y=-164170.000000),(X=384700.000000,Y=-164120.000000),(X=0.000000,Y=0.000000),(X=384540.000000,Y=-164220.000000),(X=384600.000000,Y=-164230.000000),(X=384552.000000,Y=-164134.000000),(X=0.000000,Y=0.000000),(X=384532.000000,Y=-164120.000000),(X=384550.000000,Y=-164150.000000),(X=384552.000000,Y=-164135.000000),(X=384552.000000,Y=-164134.000000),(X=384545.000000,Y=-164120.000000),(X=0.000000,Y=0.000000),(X=384460.000000,Y=-164020.000000),(X=384487.000000,Y=-164100.000000),(X=384630.000000,Y=-164100.000000),(X=384490.000000,Y=-163960.000000),(X=0.000000,Y=0.000000),(X=384470.000000,Y=-164100.000000),(X=384487.000000,Y=-164100.000000),(X=384470.000000,Y=-164050.000000),(X=0.000000,Y=0.000000),(X=384520.000000,Y=-164100.000000),(X=384532.000000,Y=-164120.000000),(X=384650.000000,Y=-164120.000000),(X=384630.000000,Y=-164100.000000),(X=0.000000,Y=0.000000),(X=384490.000000,Y=-163960.000000),(X=384600.000000,Y=-164070.000000),(X=384530.000000,Y=-163960.000000))"
