OID,Cid,Comment,DescName,Description,Tier,CargoBackAssetCid,CargoCategory,StatusChangeCids,RecipiencyTime,LifeTime,FieldTime,DoodadCid
1,1,제작용,[임시]이니스 섬 특산품,,Tier1,1021,Cargo,,30000,3600000,300000,9002
2,2,몬스터 드랍용,[임시]수상한 등짐,"[임시]알 수 없는 힘이 담겨 있는 등짐입니다.

[판매처]
- 등짐 구매 상인 에본브로",Tier2,1,Cargo,,600000,3600000,600000,9003
3,3,프로토타이핑용,[임시]공격 속도 구슬,,Tier1,1,Cargo,,4000,3600000,600000,902004
4,4,프로토타이핑용,[임시]이동 속도 구슬,,Tier1,1,Cargo,,4000,3600000,600000,902005
5,5,던전 연출 영역,[임시]몬스터 소환 오버랩 영역,,Tier1,1,Cargo,,600000,3600000,600000,902010
6,6,던전 드랍 구슬,[임시]공격 속도 구슬 스폰,,Tier1,1,Cargo,,600000,3600000,600000,902011
7,7,던전 드랍 구슬,[임시]이동 속도 구슬 스폰,,Tier1,1,Cargo,,600000,3600000,600000,902012
8,8,던전 드랍 구슬,[임시]시전 감소 구슬 스폰,,Tier1,1,Cargo,,600000,3600000,600000,902013
9,9,진행 경로 연출,[임시]뒷벽 폭파,,Tier1,1,Cargo,,4000,3600000,600000,902025
10,10,TEST,[임시]TEST_판매 불가 등짐,,Tier1,1,Supplies,,600000,3600000,600000,310001
11,11,TEST,[임시]TEST_골드 보상 등짐,,Tier2,1,Supplies,,600000,3600000,600000,310002
12,12,TEST,[임시]TEST_아이템 보상 등짐,,Tier3,1,Supplies,,600000,3600000,600000,310003
13,13,TEST,[임시]TEST_델피나드의 별 보상 등짐,,Tier4,1,Supplies,,600000,3600000,600000,320001
14,14,TEST,[임시]TEST_에노아의 태양 보상 등짐,,Tier5,1,Commodity,,600000,3600000,600000,330001
10101,10101,,[임시]1T 무기 보급품,,Tier1,10101,Supplies,,600000,7200000,1800000,310101
10102,10102,,[임시]1T 방어구 보급품,,Tier1,10102,Supplies,,600000,7200000,1800000,310102
10103,10103,,[임시]1T 장신구 보급품,,Tier1,10103,Supplies,,600000,7200000,1800000,310103
10104,10104,,[임시]1T 요리 보급품,,Tier1,10104,Supplies,,600000,7200000,1800000,310104
10105,10105,,[임시]1T 연금 보급품,,Tier1,10105,Supplies,,600000,7200000,1800000,310105
10106,10106,,[임시]1T 주괴 보급품,,Tier1,10106,Supplies,,600000,7200000,1800000,310106
10107,10107,,[임시]1T 피혁 보급품,,Tier1,10107,Supplies,,600000,7200000,1800000,310107
10108,10108,,[임시]1T 천 보급품,,Tier1,10108,Supplies,,600000,7200000,1800000,310108
10109,10109,,[임시]1T 목재 보급품,,Tier1,10109,Supplies,,600000,7200000,1800000,310109
10201,10201,,[임시]2T 무기 보급품,,Tier2,10201,Supplies,,600000,7200000,1800000,310201
10202,10202,,[임시]2T 방어구 보급품,,Tier2,10202,Supplies,,600000,7200000,1800000,310202
10203,10203,,[임시]2T 장신구 보급품,,Tier2,10203,Supplies,,600000,7200000,1800000,310203
10204,10204,,[임시]2T 요리 보급품,,Tier2,10204,Supplies,,600000,7200000,1800000,310204
10205,10205,,[임시]2T 연금 보급품,,Tier2,10205,Supplies,,600000,7200000,1800000,310205
10206,10206,,[임시]2T 주괴 보급품,,Tier2,10206,Supplies,,600000,7200000,1800000,310206
10207,10207,,[임시]2T 피혁 보급품,,Tier2,10207,Supplies,,600000,7200000,1800000,310207
10208,10208,,[임시]2T 천 보급품,,Tier2,10208,Supplies,,600000,7200000,1800000,310208
10209,10209,,[임시]2T 목재 보급품,,Tier2,10209,Supplies,,600000,7200000,1800000,310209
10301,10301,,[임시]3T 무기 보급품,,Tier3,10301,Supplies,,600000,7200000,1800000,310301
10302,10302,,[임시]3T 방어구 보급품,,Tier3,10302,Supplies,,600000,7200000,1800000,310302
10303,10303,,[임시]3T 장신구 보급품,,Tier3,10303,Supplies,,600000,7200000,1800000,310303
10304,10304,,[임시]3T 요리 보급품,,Tier3,10304,Supplies,,600000,7200000,1800000,310304
10305,10305,,[임시]3T 연금 보급품,,Tier3,10305,Supplies,,600000,7200000,1800000,310305
10306,10306,,[임시]3T 주괴 보급품,,Tier3,10306,Supplies,,600000,7200000,1800000,310306
10307,10307,,[임시]3T 피혁 보급품,,Tier3,10307,Supplies,,600000,7200000,1800000,310307
10308,10308,,[임시]3T 천 보급품,,Tier3,10308,Supplies,,600000,7200000,1800000,310308
10309,10309,,[임시]3T 목재 보급품,,Tier3,10309,Supplies,,600000,7200000,1800000,310309
10401,10401,,[임시]4T 무기 보급품,,Tier4,10401,Supplies,,600000,7200000,1800000,310401
10402,10402,,[임시]4T 방어구 보급품,,Tier4,10402,Supplies,,600000,7200000,1800000,310402
10403,10403,,[임시]4T 장신구 보급품,,Tier4,10403,Supplies,,600000,7200000,1800000,310403
10404,10404,,[임시]4T 요리 보급품,,Tier4,10404,Supplies,,600000,7200000,1800000,310404
10405,10405,,[임시]4T 연금 보급품,,Tier4,10405,Supplies,,600000,7200000,1800000,310405
10406,10406,,[임시]4T 주괴 보급품,,Tier4,10406,Supplies,,600000,7200000,1800000,310406
10407,10407,,[임시]4T 피혁 보급품,,Tier4,10407,Supplies,,600000,7200000,1800000,310407
10408,10408,,[임시]4T 천 보급품,,Tier4,10408,Supplies,,600000,7200000,1800000,310408
10409,10409,,[임시]4T 목재 보급품,,Tier4,10409,Supplies,,600000,7200000,1800000,310409
20501,20501,,[임시]5T 무기 교역품,,Tier5,20501,Commodity,,600000,10800000,1800000,320501
20502,20502,,[임시]5T 방어구 교역품,,Tier5,20502,Commodity,,600000,10800000,1800000,320502
20503,20503,,[임시]5T 장신구 교역품,,Tier5,20503,Commodity,,600000,10800000,1800000,320503
20504,20504,,[임시]5T 요리 교역품,,Tier5,20504,Commodity,,600000,10800000,1800000,320504
20505,20505,,[임시]5T 연금 교역품,,Tier5,20505,Commodity,,600000,10800000,1800000,320505
20506,20506,,[임시]5T 주괴 교역품,,Tier5,20506,Commodity,,600000,10800000,1800000,320506
20507,20507,,[임시]5T 피혁 교역품,,Tier5,20507,Commodity,,600000,10800000,1800000,320507
20508,20508,,[임시]5T 천 교역품,,Tier5,20508,Commodity,,600000,10800000,1800000,320508
20509,20509,,[임시]5T 목재 교역품,,Tier5,20509,Commodity,,600000,10800000,1800000,320509
20601,20601,,[임시]6T 무기 교역품,,Tier6,20601,Commodity,,600000,10800000,1800000,320601
20602,20602,,[임시]6T 방어구 교역품,,Tier6,20602,Commodity,,600000,10800000,1800000,320602
20603,20603,,[임시]6T 장신구 교역품,,Tier6,20603,Commodity,,600000,10800000,1800000,320603
20604,20604,,[임시]6T 요리 교역품,,Tier6,20604,Commodity,,600000,10800000,1800000,320604
20605,20605,,[임시]6T 연금 교역품,,Tier6,20605,Commodity,,600000,10800000,1800000,320605
20606,20606,,[임시]6T 주괴 교역품,,Tier6,20606,Commodity,,600000,10800000,1800000,320606
20607,20607,,[임시]6T 피혁 교역품,,Tier6,20607,Commodity,,600000,10800000,1800000,320607
20608,20608,,[임시]6T 천 교역품,,Tier6,20608,Commodity,,600000,10800000,1800000,320608
