OID,Level,Comment,Exp
1,1,,0
2,2,,4300
3,3,,4580
4,4,,4880
5,5,,5190
6,6,,5530
7,7,,5890
8,8,,6270
9,9,,6680
10,10,,7120
11,11,,7580
12,12,,8070
13,13,,8600
14,14,,9160
15,15,,9750
16,16,,10380
17,17,,11060
18,18,,11780
19,19,,12540
20,20,,13360
21,21,,14230
22,22,,15150
23,23,,16140
24,24,,17190
25,25,,18300
26,26,,19490
27,27,,20760
28,28,,22110
29,29,,23550
30,30,,25080
31,31,,26710
32,32,,28440
33,33,,30290
34,34,,32260
35,35,,34360
36,36,,36590
37,37,,38970
38,38,,41500
39,39,,44200
40,40,,47070
41,41,,50130
42,42,,53390
43,43,,56860
44,44,,60560
45,45,,64490
46,46,,68680
47,47,,73150
48,48,,77900
49,49,,82970
50,50,,88360
51,51,,94100
52,52,,100220
53,53,,106730
54,54,,113670
55,55,,121060
56,56,,128930
57,57,,137310
58,58,,146230
59,59,,155740
60,60,,165860
61,61,,176640
62,62,,188120
63,63,,200350
64,64,,213380
65,65,,227240
66,66,,242020
67,67,,257750
68,68,,274500
69,69,,292340
70,70,,311340
71,71,,331580
72,72,,353140
73,73,,376090
74,74,,400530
75,75,,426570
76,76,,454300
77,77,,483830
78,78,,515270
79,79,,548770
80,80,,584440
81,81,,622430
82,82,,662880
83,83,,705970
84,84,,751860
85,85,,800730
86,86,,852780
87,87,,908210
88,88,,967240
89,89,,1030110
90,90,,1097070
91,91,,1168380
92,92,,1244320
93,93,,1325200
94,94,,1411340
95,95,,1503080
96,96,,1600780
97,97,,1704830
98,98,,1815640
99,99,,1933660
100,100,,2059350
