OID,Cid,Comment,DescName,Mastery,ConditionType,ConditionValue,Permission,InteractionAnimName,InteractionDesc,InterruptionEffect,InteractionDuration,Dice,IsAlwaysDisplay
1,1,없음,없음,,None,[],Public,None,,None,0,,True
100001011,100001011,광맥 1T_소환->광맥 1T_소진됨,채광,401,None,[],Public,Mining,구리 채광 중...,Reset,1500,,True
100002011,100002011,광맥 2T_소환->광맥 2T_소진됨,채광,401,None,[],Public,Mining,주석 채광 중...,Reset,1500,,True
100003011,100003011,광맥 3T_소환->광맥 3T_소진됨,채광,401,None,[],Public,Mining,자수정 채광 중...,Reset,1500,,True
100004011,100004011,광맥 4T_소환->광맥 4T_소진됨,채광,401,None,[],Public,Mining,철 채광 중...,Reset,1500,,True
100005011,100005011,광맥 5T_소환->광맥 5T_소진됨,채광,401,None,[],Public,Mining,청수정 채광 중...,Reset,1500,,True
100006011,100006011,광맥 6T_소환->광맥 6T_소진됨,채광,401,None,[],Public,Mining,황수정 채광 중...,Reset,1500,,True
101001011,101001011,섬유 1T_소환->섬유 1T_소진됨,채집,402,None,[],Public,OperateLower,목화 채집 중...,Reset,1500,,True
101002011,101002011,섬유 2T_소환->섬유 2T_소진됨,채집,402,None,[],Public,OperateLower,아마꽃 채집 중...,Reset,1500,,True
101003011,101003011,섬유 3T_소환->섬유 3T_소진됨,채집,402,None,[],Public,OperateLower,모시풀 채집 중...,Reset,1500,,True
101004011,101004011,섬유 4T_소환->섬유 4T_소진됨,채집,402,None,[],Public,OperateLower,별빛초 채집 중...,Reset,1500,,True
101005011,101005011,섬유 5T_소환->섬유 5T_소진됨,채집,402,None,[],Public,OperateLower,달빛초 채집 중...,Reset,1500,,True
101006011,101006011,섬유 6T_소환->섬유 6T_소진됨,채집,402,None,[],Public,OperateLower,햇빛초 채집 중...,Reset,1500,,True
102001011,102001011,목재 1T_소환->목재 1T_소진됨,벌목,403,None,[],Public,Felling,참나무 벌목 중...,Reset,1500,,True
102002011,102002011,목재 2T_소환->목재 2T_소진됨,벌목,403,None,[],Public,Felling,단풍나무 벌목 중...,Reset,1500,,True
102003011,102003011,목재 3T_소환->목재 3T_소진됨,벌목,403,None,[],Public,Felling,은행나무 벌목 중...,Reset,1500,,True
102004011,102004011,목재 4T_소환->목재 4T_소진됨,벌목,403,None,[],Public,Felling,자작나무 벌목 중...,Reset,1500,,True
102005011,102005011,목재 5T_소환->목재 5T_소진됨,벌목,403,None,[],Public,Felling,호두나무 벌목 중...,Reset,1500,,True
102006011,102006011,목재 6T_소환->목재 6T_소진됨,벌목,403,None,[],Public,Felling,흑단나무 벌목 중...,Reset,1500,,True
103001011,103001011,가죽 1T_시체생성 -> 소진됨,무두질,404,None,[],Public,OperateLower,토끼 무두질 중...,Reset,1500,,True
103002011,103002011,가죽 2T_시체생성 -> 소진됨,무두질,404,None,[],Public,OperateLower,사슴 무두질 중...,Reset,1500,,True
103003011,103003011,가죽 3T_시체생성 -> 소진됨,무두질,404,None,[],Public,OperateLower,여우 무두질 중...,Reset,1500,,True
103004011,103004011,가죽 4T_시체생성 -> 소진됨,무두질,404,None,[],Public,OperateLower,멧돼지 무두질 중...,Reset,1500,,True
103005011,103005011,가죽 5T_시체생성 -> 소진됨,무두질,404,None,[],Public,OperateLower,늑대 무두질 중...,Reset,1500,,True
103006011,103006011,가죽 6T_시체생성 -> 소진됨,무두질,404,None,[],Public,OperateLower,무스 무두질 중...,Reset,1500,,True
103007011,103007011,가죽 7T_시체생성 -> 소진됨,무두질,404,None,[],Public,OperateLower,곰 무두질 중...,Reset,1500,,True
200001011,200001011,제작대_UI오픈(Public),제작 하기,,None,[],Public,None,,None,0,,True
200001012,200001012,무기 제작대_가구 회수,가구 회수,,None,[],OwnerAccount,OperateMid,가구 회수 중...,None,3000,,True
201001012,201001012,방어구 제작대_가구 회수,가구 회수,,None,[],OwnerCharacter,OperateMid,가구 회수 중...,None,3000,,True
202001012,202001012,장신구 제작대_가구 회수,가구 회수,,None,[],OwnerCharacter,OperateMid,가구 회수 중...,None,3000,,True
210001011,210001011,제작대_UI오픈(OwnerAccount),제작 하기,,None,[],OwnerAccount,None,,None,0,,True
210001012,210001012,요리 제작대_가구 회수,가구 회수,,None,[],OwnerCharacter,OperateMid,가구 회수 중...,None,3000,,True
220001012,220001012,주괴 가공대_가구 회수,가구 회수,,None,[],OwnerCharacter,OperateMid,가구 회수 중...,None,3000,,True
221001012,221001012,섬유 가공대_가구 회수,가구 회수,,None,[],OwnerCharacter,OperateMid,가구 회수 중...,None,3000,,True
222001012,222001012,목재 가공대_가구 회수,가구 회수,,None,[],OwnerCharacter,OperateMid,가구 회수 중...,None,3000,,True
223001012,223001012,가죽 가공대_가구 회수,가구 회수,,None,[],OwnerCharacter,OperateMid,가구 회수 중...,None,3000,,True
310001011,310001011,TEST_판매 불가 등짐_메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310002011,310002011,TEST_골드 보상 등짐_메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310003011,310003011,TEST_아이템 보상 등짐_메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310004011,310004011,우편 수행자의 등짐_메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310101011,310101011,1T 무기 보급품 메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310102011,310102011,1T 방어구 보급품 메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310103011,310103011,1T 장신구 보급품 메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310104011,310104011,1T 요리 보급품 메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310105011,310105011,1T 연금 보급품 메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310106011,310106011,1T 주괴 보급품 메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310107011,310107011,1T 피혁 보급품 메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310108011,310108011,1T 천 보급품 메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310109011,310109011,1T 목재 보급품 메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310201011,310201011,2T 무기 보급품 메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310202011,310202011,2T 방어구 보급품 메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310203011,310203011,2T 장신구 보급품 메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310204011,310204011,2T 요리 보급품 메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310205011,310205011,2T 연금 보급품 메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310206011,310206011,2T 주괴 보급품 메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310207011,310207011,2T 피혁 보급품 메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310208011,310208011,2T 천 보급품 메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310209011,310209011,2T 목재 보급품 메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310301011,310301011,3T 무기 보급품 메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310302011,310302011,3T 방어구 보급품 메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310303011,310303011,3T 장신구 보급품 메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310304011,310304011,3T 요리 보급품 메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310305011,310305011,3T 연금 보급품 메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310306011,310306011,3T 주괴 보급품 메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310307011,310307011,3T 피혁 보급품 메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310308011,310308011,3T 천 보급품 메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310309011,310309011,3T 목재 보급품 메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310401011,310401011,4T 무기 보급품 메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
310402011,310402011,4T 방어구 보급품 메기,등짐 획득,,None,[],Public,OperateMid,등짐 획득 중...,Reset,0,,True
