OID,Cid,Comment,Range,RangeOffset,Angle,AngleOffset
99970103,99970103,영역1밟음,"[50,50]","[300,300]",0,0
99970104,99970104,영역2밟음,"[50,50]","[-200,200]",0,0
99970105,99970105,영역3밟음,"[50,50]","[-100,-100]",0,0
99970106,99970106,영역4밟음,"[50,50]","[150,0]",0,0
902004011,902004011,공격 속도 구슬 영역 밟음,"[1400,1400]","[0,0]",0,0
902005011,902005011,이동 속도 구슬 영역 밟음,"[1400,1400]","[0,0]",0,0
902006011,902006011,몬스터 스폰 영역 밟음,"[1000,140]","[0,0]",0,0
902007011,902007011,몬스터 스폰 영역 밟음,"[1000,140]","[0,0]",0,0
902008011,902008011,몬스터 스폰 영역 밟음,"[1000,140]","[0,0]",0,0
902009011,902009011,몬스터 스폰 영역 밟음,"[1000,140]","[0,0]",0,0
902010011,902010011,몬스터 스폰 영역 밟음,"[1000,1000]","[0,0]",0,0
902011011,902011011,구슬 오버랩 활성화,"[800,800]","[0,0]",0,0
902012011,902012011,구슬 오버랩 활성화,"[800,800]","[0,0]",0,0
902013011,902013011,구슬 오버랩 활성화,"[800,800]","[0,0]",0,0
902014011,902014011,몬스터 스폰 영역 밟음,"[1000,140]","[0,0]",0,0
902015011,902015011,몬스터 스폰 영역 밟음,"[1000,140]","[0,0]",0,0
902016011,902016011,몬스터 스폰 영역 밟음,"[1000,140]","[0,0]",0,0
902017011,902017011,몬스터 스폰 영역 밟음,"[1000,140]","[0,0]",0,0
902018011,902018011,몬스터 스폰 영역 밟음,"[1000,140]","[0,0]",0,0
902019011,902019011,몬스터 스폰 영역 밟음,"[1000,140]","[0,0]",0,0
902020011,902020011,몬스터 스폰 영역 밟음,"[1000,140]","[0,0]",0,0
902021011,902021011,1웨이브 스폰 후 다음 웨이브 대기 상태로,"[1000,140]","[0,0]",0,0
902022011,902022011,1웨이브 스폰 후 다음 웨이브 대기 상태로,"[1000,140]","[0,0]",0,0
902023011,902023011,몬스터 스폰 영역 밟음,"[1000,140]","[0,0]",0,0
902024011,902024011,몬스터 스폰 영역 밟음,"[1000,140]","[0,0]",0,0
902026011,902026011,이동 속도 구슬 영역 밟음,"[1400,1400]","[0,0]",0,0
902037011,902037011,강인한 생명력 구슬 근접 충돌,"[70,70]","[0,0]",0,0
902038011,902038011,샘솟는 마나샘 구슬 근접 충돌,"[70,70]","[0,0]",0,0
902039021,902039021,퀘스트 진행으로 스폰 대기,"[1000,90]","[0,0]",0,0
902040021,902040021,퀘스트 진행으로 스폰 대기,"[1000,90]","[0,0]",0,0
902041021,902041021,퀘스트 진행으로 스폰 대기,"[1000,90]","[0,0]",0,0
902042021,902042021,강인한 생명력 구슬 근접 충돌,"[70,70]","[0,0]",0,0
902042031,902042031,샘솟는 마나샘 구슬 근접 충돌,"[70,70]","[0,0]",0,0
