OID,Cid,Comment,DescName,IsShowTooltip,AssetType,SharingType,TriggerCids
1,1,제거,,FALSE,0,Exclusive,
10000101,10000101,광맥1T_구리_소환,구리 광맥,FALSE,10000101,Shared,[100001011]
10000102,10000102,광맥1T_구리_연출&디졸브,,FALSE,10000102,Shared,[100001021]
10000103,10000103,광맥1T_구리_소진됨,빈 구리 광맥,TRUE,10000102,Shared,[100001031]
10000201,10000201,광맥2T_주석_연출,주석 광맥,FALSE,10000201,Shared,[100002011]
10000202,10000202,광맥2T_주석_소환,,FALSE,10000202,Shared,[100002021]
10000203,10000203,광맥2T_주석_소진됨,빈 주석 광맥,TRUE,10000202,Shared,[100002031]
10000301,10000301,광맥3T_철_소환,자수정 광맥,FALSE,10000301,Shared,[100003011]
10000302,10000302,광맥3T_철_연출,,FALSE,10000302,Shared,[100003021]
10000303,10000303,광맥3T_철_소진됨,빈 자수정 광맥,TRUE,10000302,Shared,[100003031]
10000401,10000401,광맥4T_자수정_소환,철 광맥,FALSE,10000401,Shared,[100004011]
10000402,10000402,광맥4T_자수정_연출,,FALSE,10000402,Shared,[100004021]
10000403,10000403,광맥4T_자수정_소진됨,빈 철 광맥,TRUE,10000402,Shared,[100004031]
10000501,10000501,광맥5T_청수정_소환,청수정 광맥,FALSE,10000501,Shared,[100005011]
10000502,10000502,광맥5T_청수정_연출,,FALSE,10000502,Shared,[100005021]
10000503,10000503,광맥5T_청수정_소진됨,빈 청수정 광맥,TRUE,10000502,Shared,[100005031]
10000601,10000601,광맥6T_황수정_소환,황수정 광맥,FALSE,10000601,Shared,[100006011]
10000602,10000602,광맥6T_황수정_연출,,FALSE,10000602,Shared,[100006021]
10000603,10000603,광맥6T_황수정_소진됨,빈 황수정 광맥,TRUE,10000602,Shared,[100006031]
10100101,10100101,섬유1T_목화_소환,목화,FALSE,10100101,Shared,[101001011]
10100102,10100102,섬유1T_목화_연출,,FALSE,10100102,Shared,[101001021]
10100103,10100103,섬유1T_목화_소진됨,목화 줄기,TRUE,10100102,Shared,[101001031]
10100201,10100201,섬유2T_아마_소환,아마꽃,FALSE,10100201,Shared,[101002011]
10100202,10100202,섬유2T_아마_연출,,FALSE,10100202,Shared,[101002021]
10100203,10100203,섬유2T_아마_소진됨,아마꽃 줄기,TRUE,10100202,Shared,[101002031]
10100301,10100301,섬유3T_모시풀_소환,모시풀,FALSE,10100301,Shared,[101003011]
10100302,10100302,섬유3T_모시풀_연출,,FALSE,10100302,Shared,[101003021]
10100303,10100303,섬유3T_모시풀_소진됨,모시풀 줄기,TRUE,10100302,Shared,[101003031]
10100401,10100401,섬유4T_별빛초_소환,별빛초,FALSE,10100401,Shared,[101004011]
10100402,10100402,섬유4T_별빛초_연출,,FALSE,10100402,Shared,[101004021]
10100403,10100403,섬유4T_별빛초_소진됨,별빛초 줄기,TRUE,10100402,Shared,[101004031]
10100501,10100501,섬유5T_달빛 면환_소환,달빛초,FALSE,10100501,Shared,[101005011]
