OID,Cid,Comment,Desc,Duration
100001021,100001021,광맥 1T_파괴연출 ,,2700
100001031,100001031,광맥 1T_110100_광맥 1T_소환,재생성 : ,57300
100002021,100002021,광맥 2T_파괴연출 -> 소진됨,,2700
100002031,100002031,광맥 2T_소진됨->120100_광맥 2T_소환,재생성 : ,57300
100003021,100003021,광맥 3T_파괴연출 -> 소진됨,,2700
100003031,100003031,광맥 3T_소진됨->130100_광맥 3T_소환,재생성 : ,57300
100004021,100004021,광맥 4T_파괴연출 -> 소진됨,,2700
100004031,100004031,광맥 4T_소진됨->140100_광맥 4T_소환,재생성 : ,57300
100005021,100005021,광맥 5T_파괴연출 -> 소진됨,,2700
100005031,100005031,광맥 5T_소진됨->150100_광맥 5T_소환,재생성 : ,57300
100006021,100006021,광맥 6T_파괴연출 -> 소진됨,,2700
100006031,100006031,광맥 6T_소진됨->160100_광맥 6T_소환,재생성 : ,57300
101001021,101001021,섬유 1T_소진연출 -> 소진됨,,3000
101001031,101001031,섬유 1T_소진됨->210100_섬유 1T_소환,재생성 : ,57000
101002021,101002021,섬유 2T_소진연출 -> 소진됨,,3000
101002031,101002031,섬유 2T_소진됨->220100_섬유 2T_소환,재생성 : ,57000
101003021,101003021,섬유 3T_소진연출 -> 소진됨,,3000
101003031,101003031,섬유 3T_소진됨->230100_섬유 3T_소환,재생성 : ,57000
101004021,101004021,섬유 4T_소진연출 -> 소진됨,,3000
101004031,101004031,섬유 4T_소진됨->240100_섬유 4T_소환,재생성 : ,57000
101005021,101005021,섬유 5T_소진연출 -> 소진됨,,3000
101005031,101005031,섬유 5T_소진됨->250100_섬유 5T_소환,재생성 : ,57000
101006021,101006021,섬유 6T_소진연출 -> 소진됨,,3000
101006031,101006031,섬유 6T_소진됨->260100_섬유 6T_소환,재생성 : ,57000
102001021,102001021,목재 1T_소진됨->310100_목재 1T_소환,재생성 : ,52000
102002021,102002021,목재 2T_소진됨->320100_목재 2T_소환,재생성 : ,52000
102003021,102003021,목재 3T_소진됨->330100_목재 3T_소환,재생성 : ,52000
102004021,102004021,목재 4T_소진됨->340100_목재 4T_소환,재생성 : ,52000
102005021,102005021,목재 5T_소진됨->350100_목재 5T_소환,재생성 : ,52000
102006021,102006021,목재 6T_소진됨->360100_목재 6T_소환,재생성 : ,52000
103001012,103001012,가죽 1T_무두질 안하면 사라짐 -> 소멸,소멸 : ,60000
103002012,103002012,가죽 2T_무두질 안하면 사라짐 -> 소멸,소멸 : ,60000
103003012,103003012,가죽 3T_무두질 안하면 사라짐 -> 소멸,소멸 : ,60000
103004012,103004012,가죽 4T_무두질 안하면 사라짐 -> 소멸,소멸 : ,60000
103005012,103005012,가죽 5T_무두질 안하면 사라짐 -> 소멸,소멸 : ,60000
103006012,103006012,가죽 6T_무두질 안하면 사라짐 -> 소멸,소멸 : ,60000
103007012,103007012,가죽 7T_무두질 안하면 사라짐 -> 소멸,소멸 : ,60000
401001012,401001012,솔로 던전 3티어_타이머(-> 2분 후 분기),유지 시간:,120000
401001021,401001021,솔로 던전 3티어_타이머(-> 1분 후 분기),,60000
401001031,401001031,솔로 던전 3티어_타이머(분기),,100
401002012,401002012,솔로 던전 4티어_타이머(-> 비활성화),유지 시간:,120000
401002021,401002021,솔로 던전 4티어_타이머(->활성화),,60000
401002031,401002031,솔로 던전 4티어_타이머(분기),,100
401003012,401003012,솔로 던전 5티어_타이머(-> 비활성화),유지 시간:,120000
401003021,401003021,솔로 던전 5티어_타이머(->활성화),,60000
401003031,401003031,솔로 던전 3티어_타이머(분기),,100
401008012,401008012,침묵하는 잔해의 전장 소멸 타이머,입구 소멸까지: ,20000
601000021,601000021,깨망균 보스상자 -> 일반 열리는중,,4000
601000031,601000031,깨망균 보스상자 -> 대성공 열리는중,,4000
601000041,601000041,깨망균 보스상자 -> 열려있음,,5000
901001031,901001031,빈 모래 둔턱 -> 모래 둔턱 리젠,재생성:,3000
901002041,901002041,모닥불 -> 꺼진 모닥불,소강 :,3000
901002051,901002051,꺼진 모닥불 -> 소멸,소멸 :,3000
901011021,901011021,말 연출 -> 기본 마굿간,,6000
902001021,902001021,통로를 막은 벽에 폭탄 타들어가는 중,폭탄 작동까지 :,3000
902001031,902001031,통로를 막은 벽 파괴 -> 소멸,,5000
902002021,902002021,통로를 막은 벽에 폭탄 타들어가는 중,폭탄 작동까지 :,3000
902002031,902002031,통로를 막은 벽 파괴 -> 소멸,,5000
902003021,902003021,성소 스폰 후 비활성 화 대기 진입 (투명),,5000
902004012,902004012,오버랩 기간 경과 후 소멸 페이즈로,,1500
902004021,902004021,오버랩 이벤트 후 소멸,,4000
902005012,902005012,오버랩 기간 경과 후 소멸 페이즈로,,1500
902005021,902005021,오버랩 이벤트 후 소멸,,4000
902006021,902006021,오버랩 이벤트 후 소멸,,4000
902007021,902007021,오버랩 이벤트 후 소멸,,4000
902008021,902008021,오버랩 이벤트 후 소멸,,4000
902009021,902009021,오버랩 이벤트 후 소멸,,4000
902010021,902010021,오버랩 성공 후 연출 페이즈까지 대기,,2000
902010031,902010031,연출 페이즈 진행,,100
902010041,902010041,몬스터 소환 후 소멸 페이즈로 이동,,500
902010051,902010051,소멸 페이즈에서 소멸,,500
902011012,902011012,구슬 소멸까지 타이머,,20000
902011021,902011021,구슬 부유 중,,500
902011031,902011031,소멸 전 1초 연출,,1000
902012012,902012012,구슬 소멸까지 타이머,,20000
