OID,Cid,Comment,TriggerType,TriggerCid,TriggerCount
1,1,소멸,Timer,1,1
100001011,100001011,광맥 1T 채집_인터렉션,Interaction,100001011,3
100001021,100001021,광맥 1T 파괴연출&디졸브,Timer,100001021,1
100001031,100001031,광맥 1T 재소환,Timer,100001031,1
100002011,100002011,광맥 2T 채집_인터렉션,Interaction,100002011,3
100002021,100002021,광맥 2T 파괴연출,Timer,100002021,1
100002031,100002031,광맥 2T 재소환,Timer,100002031,1
100003011,100003011,광맥 3T 채집_인터렉션,Interaction,100003011,3
100003021,100003021,광맥 3T 파괴연출,Timer,100003021,1
100003031,100003031,광맥 3T 재소환,Timer,100003031,1
100004011,100004011,광맥 4T 채집_인터렉션,Interaction,100004011,3
100004021,100004021,광맥 4T 파괴연출,Timer,100004021,1
100004031,100004031,광맥 4T 재소환,Timer,100004031,1
100005011,100005011,광맥 5T 채집_인터렉션,Interaction,100005011,3
100005021,100005021,광맥 5T 파괴연출,Timer,100005021,1
100005031,100005031,광맥 5T 재소환,Timer,100005031,1
100006011,100006011,광맥 6T 채집_인터렉션,Interaction,100006011,3
100006021,100006021,광맥 6T 파괴연출,Timer,100006021,1
100006031,100006031,광맥 6T 재소환,Timer,100006031,1
101001011,101001011,섬유 1T 채집_인터렉션,Interaction,101001011,3
101001021,101001021,섬유 1T 파괴연출,Timer,101001021,1
101001031,101001031,섬유 1T 재소환,Timer,101001031,1
101002011,101002011,섬유 2T 채집_인터렉션,Interaction,101002011,3
101002021,101002021,섬유 2T 파괴연출,Timer,101002021,1
101002031,101002031,섬유 2T 재소환,Timer,101002031,1
101003011,101003011,섬유 3T 채집_인터렉션,Interaction,101003011,3
101003021,101003021,섬유 3T 파괴연출,Timer,101003021,1
101003031,101003031,섬유 3T 재소환,Timer,101003031,1
101004011,101004011,섬유 4T 채집_인터렉션,Interaction,101004011,3
101004021,101004021,섬유 4T 파괴연출,Timer,101004021,1
101004031,101004031,섬유 4T 재소환,Timer,101004031,1
101005011,101005011,섬유 5T 채집_인터렉션,Interaction,101005011,3
101005021,101005021,섬유 5T 파괴연출,Timer,101005021,1
101005031,101005031,섬유 5T 재소환,Timer,101005031,1
101006011,101006011,섬유 6T 채집_인터렉션,Interaction,101006011,3
101006021,101006021,섬유 6T 파괴연출,Timer,101006021,1
101006031,101006031,섬유 6T 재소환,Timer,101006031,1
102001011,102001011,목재 1T 채집_인터렉션,Interaction,102001011,3
102001021,102001021,목재 1T 재소환,Timer,102001021,1
102002011,102002011,목재 2T 채집_인터렉션,Interaction,102002011,3
102002021,102002021,목재 2T 재소환,Timer,102002021,1
102003011,102003011,목재 3T 채집_인터렉션,Interaction,102003011,3
102003021,102003021,목재 3T 재소환,Timer,102003021,1
102004011,102004011,목재 4T 채집_인터렉션,Interaction,102004011,3
102004021,102004021,목재 4T 재소환,Timer,102004021,1
102005011,102005011,목재 5T 채집_인터렉션,Interaction,102005011,3
102005021,102005021,목재 5T 재소환,Timer,102005021,1
102006011,102006011,목재 6T 채집_인터렉션,Interaction,102006011,3
102006021,102006021,목재 6T 재소환,Timer,102006021,1
103001011,103001011,가죽 1T 채집_인터렉션,Interaction,103001011,3
103001012,103001012,가죽 1T_채집 안하고 3분 있으면 소멸,Timer,103001012,1
103002011,103002011,가죽 2T 채집_인터렉션,Interaction,103002011,3
103002012,103002012,가죽 2T_채집 안하고 3분 있으면 소멸,Timer,103002012,1
103003011,103003011,가죽 3T 채집_인터렉션,Interaction,103003011,3
103003012,103003012,가죽 3T_채집 안하고 3분 있으면 소멸,Timer,103003012,1
103004011,103004011,가죽 4T 채집_인터렉션,Interaction,103004011,3
103004012,103004012,가죽 4T_채집 안하고 3분 있으면 소멸,Timer,103004012,1
103005011,103005011,가죽 5T 채집_인터렉션,Interaction,103005011,3
103005012,103005012,가죽 5T_채집 안하고 3분 있으면 소멸,Timer,103005012,1
103006011,103006011,가죽 6T 채집_인터렉션,Interaction,103006011,3
103006012,103006012,가죽 6T_채집 안하고 3분 있으면 소멸,Timer,103006012,1
103007011,103007011,가죽 7T 채집_인터렉션,Interaction,103007011,3
103007012,103007012,가죽 7T_채집 안하고 3분 있으면 소멸,Timer,103007012,1
200001011,200001011,제작대_UI오픈_Public 권한,Interaction,200001011,1
200001012,200001012,무기 제작대_가구 회수,Interaction,200001012,1
201001012,201001012,방어구 제작대_가구 회수,Interaction,201001012,1
201005011,201005011,천 방어구 제작대_UI오픈,Interaction,201005011,1
210001011,210001011,제작대_UI오픈_OwnerAccount 권한,Interaction,210001011,1
210001012,210001012,요리 제작대_가구 회수,Interaction,210001012,1
220001012,220001012,주괴 가공대_가구 회수,Interaction,220001012,1
221001012,221001012,섬유 가공대_가구 회수,Interaction,221001012,1
222001012,222001012,목재 가공대_가구 회수,Interaction,222001012,1
223001012,223001012,가죽 가공대_가구 회수,Interaction,223001012,1
310001011,310001011,TEST_판매 불가 등짐_메기,Interaction,310001011,1
310002011,310002011,TEST_골드 보상 등짐_메기,Interaction,310002011,1
310003011,310003011,TEST_아이템 보상 등짐_메기,Interaction,310003011,1
310004011,310004011,우편 수행자의 등짐_메기,Interaction,310004011,1
310101011,310101011,1T 무기 보급품,Interaction,310101011,1
310102011,310102011,1T 방어구 보급품,Interaction,310102011,1
310103011,310103011,1T 장신구 보급품,Interaction,310103011,1
310104011,310104011,1T 요리 보급품,Interaction,310104011,1
310105011,310105011,1T 연금 보급품,Interaction,310105011,1
310106011,310106011,1T 주괴 보급품,Interaction,310106011,1
310107011,310107011,1T 피혁 보급품,Interaction,310107011,1
310108011,310108011,1T 천 보급품,Interaction,310108011,1
310109011,310109011,1T 목재 보급품,Interaction,310109011,1
310201011,310201011,2T 무기 보급품,Interaction,310201011,1
310202011,310202011,2T 방어구 보급품,Interaction,310202011,1
310203011,310203011,2T 장신구 보급품,Interaction,310203011,1
310204011,310204011,2T 요리 보급품,Interaction,310204011,1
310205011,310205011,2T 연금 보급품,Interaction,310205011,1
310206011,310206011,2T 주괴 보급품,Interaction,310206011,1
310207011,310207011,2T 피혁 보급품,Interaction,310207011,1
310208011,310208011,2T 천 보급품,Interaction,310208011,1
310209011,310209011,2T 목재 보급품,Interaction,310209011,1
310301011,310301011,3T 무기 보급품,Interaction,310301011,1
310302011,310302011,3T 방어구 보급품,Interaction,310302011,1
310303011,310303011,3T 장신구 보급품,Interaction,310303011,1
310304011,310304011,3T 요리 보급품,Interaction,310304011,1
310305011,310305011,3T 연금 보급품,Interaction,310305011,1
310306011,310306011,3T 주괴 보급품,Interaction,310306011,1
310307011,310307011,3T 피혁 보급품,Interaction,310307011,1
310308011,310308011,3T 천 보급품,Interaction,310308011,1
310309011,310309011,3T 목재 보급품,Interaction,310309011,1
310401011,310401011,4T 무기 보급품,Interaction,310401011,1
