OID,Cid,Comment,DescName,EntryLimit,SpawnPoint,AccessPolicyCid,AllowEscapeUi,StartEventCids,CompleteEventCids,LayerRuleSetCids,DungeonGoalCids,OnSuccessExitType,OnFailExitType,ExitLocationCids,SuccessExitCountdown,FailExitCountdown,RevivalGroup,DeathPenaltyPve,DeathPenaltyPvp,StatusChangeCids
1,1,깨어난 망자의 균열 3곳 중 하나 (조건 테스트),깨어난 망자의 균열,1,"[9994,9995]",1,True,[1],,,,EntrySnapshot,EntrySnapshot,,60000,60000,1,1,1,
2,2,솔로 던전 테스트 (월드 컴포지션),솔로 던전 테스트,1,[9991],1,True,[1],,,,EntrySnapshot,EntrySnapshot,,60000,60000,1,1,1,
3,3,파티 던전 테스트 (월드 컴포지션),깨어난 망자의 균열 (4인),4,[9988],2,True,,,,[2],EntrySnapshot,EntrySnapshot,,60000,60000,1,1,1,
4,4,망자의 균열 1T,망자의 균열 1T,1,[9981],3,True,[1],,,,EntrySnapshot,EntrySnapshot,,60000,60000,1,1,1,
5,5,망자의 균열 2T,망자의 균열 2T,1,[9982],3,True,[1],,,,EntrySnapshot,EntrySnapshot,,60000,60000,1,1,1,
6,6,망자의 균열 3T,망자의 균열 3T,1,[9983],3,True,[1],,,,EntrySnapshot,EntrySnapshot,,60000,60000,1,1,1,
7,7,망자의 균열 4T,망자의 균열 4T,1,[9984],3,True,[1],,,,EntrySnapshot,EntrySnapshot,,60000,60000,1,1,1,
8,8,망자의 균열 5T,망자의 균열 5T,1,[9985],3,True,[1],,,,EntrySnapshot,EntrySnapshot,,60000,60000,1,1,1,
9,9,망자의 균열 6T,망자의 균열 6T,1,[9986],3,True,[1],,,,EntrySnapshot,EntrySnapshot,,60000,60000,1,1,1,
10,10,망자의 균열 7T,망자의 균열 7T,1,[9987],3,True,[1],,,,EntrySnapshot,EntrySnapshot,,60000,60000,1,1,1,
11,11,오픈 던전 테스트 (월드 컴포지션),뒤틀린 생명의 균열 (식생 채집),50,"[998901,998902,998903,998904]",4,True,,,,[2],EntrySnapshot,EntrySnapshot,,60000,60000,1,1,1,
12,12,M11_팀테스트 솔로 던전 (월드 파티션),망자의 균열: 3단계,1,[90601],3,True,[1],,,,EntrySnapshot,EntrySnapshot,,60000,60000,1,1,1,
13,13,M11_팀테스트 솔로 던전 (월드 파티션),망자의 균열: 4단계,1,[90601],3,True,,,,[2],EntrySnapshot,EntrySnapshot,,60000,60000,1,1,1,
14,14,M11_팀테스트 솔로 던전 (월드 파티션),망자의 균열: 5단계,1,[90601],3,True,,,,[2],EntrySnapshot,EntrySnapshot,,60000,60000,1,1,1,
15,15,M11_팀테스트 파티 던전 (월드 파티션),되살아난 망령의 제단 (파티),4,[90601],5,True,[1],,,,EntrySnapshot,EntrySnapshot,,60000,60000,1,1,1,
16,16,M11_팀테스트 오픈 던전 (월드 파티션),뒤틀린 생명의 균열 (채집),50,[90601],4,True,,,,[2],EntrySnapshot,EntrySnapshot,,60000,60000,1,1,1,
18,18,이즈나의 메아리,이즈나의 메아리,5,[9979],6,True,,,,[2],EntrySnapshot,EntrySnapshot,,60000,0,1,1,1,
19,19,테스트 존 인스턴스 필드,테스트 존 인스턴스 필드,1,[1125],7,True,,,,[5],CurrentPosition,WorldLocation,"[999701,999702,999703]",30000,10000,8,12,12,[90002]
90601,90601,이즈나의 메아리_M14 정식,이즈나의 메아리,1,[90601],6,True,,,,[3],EntrySnapshot,EntrySnapshot,,60000,5000,8,12,12,[800029]
90602,90602,침묵하는 잔해의 전장,침묵하는 잔해의 전장,1,"[900101,900102,900103,900104]",4,True,,,,,EntrySnapshot,EntrySnapshot,,0,0,1,1,1,
90603,90603,이즈나의 메아리_파티버전,이즈나의 메아리 파티,5,[90601],8,True,,,,,EntrySnapshot,EntrySnapshot,,60000,5000,8,12,12,
100001,100001,여명의 길_보스전,여명의 길,1,[1004030],7,True,,,,[4],CurrentPosition,WorldLocation,[100013],4000,4000,1,1,1,
100002,100002,고요의 숲_보스전,고요의 숲,1,[1008031],7,True,,,,[6],CurrentPosition,WorldLocation,"[100014,100015]",4000,4000,1,1,1,
100003,100003,불타는 신성의 숲,불타는 신성의 숲,1,[1009011],7,True,,,[5],[7],CurrentPosition,WorldLocation,[100016],4000,4000,1,1,1,
100004,100004,불타는 달그늘 쉼터,불타는 달그늘 쉼터,1,[1005012],7,True,,,[4],[8],CurrentPosition,WorldLocation,[1009031],4000,4000,1,1,1,
