OID,Cid,Comment,Name,DungeonCid,EntryPolicyCid,TriggerType,InstanceFieldVolumeCid
1,1,"깨어난 망자의 균열 A,B,C 입구",망자의 균열 입구,1,5,Portal,
2,2,솔로 던전 테스트 (월드 컴포지션),솔로 던전 테스트,2,4,Portal,
3,3,파티 던전 테스트  (월드 컴포지션),파티 던전 테스트,3,4,Portal,
4,4,망자의 균열 1T,망자의 균열 1T,4,2,Portal,
5,5,망자의 균열 2T,망자의 균열 2T,5,2,Portal,
6,6,망자의 균열 3T,망자의 균열 3T,6,2,Portal,
7,7,망자의 균열 4T,망자의 균열 4T,7,2,Portal,
8,8,망자의 균열 5T,망자의 균열 5T,8,2,Portal,
9,9,망자의 균열 6T,망자의 균열 6T,9,2,Portal,
10,10,망자의 균열 7T,망자의 균열 7T,10,2,Portal,
11,11,오픈 던전 테스트  (월드 컴포지션),오픈 던전 테스트,11,4,Portal,
12,12,M12_러시아 시연용_이즈나의 메아리,이즈나의 메아리 입구,18,4,Portal,
13,13,M11_팀테스트 솔로 던전 (월드 파티션),망자의 균열: 4단계,13,4,Portal,
14,14,M11_팀테스트 솔로 던전 (월드 파티션),망자의 균열: 5단계,14,4,Portal,
15,15,M11_팀테스트 파티 던전 (월드 파티션),되살아난 망령의 제단 (파티),15,4,Portal,
16,16,M11_팀테스트 오픈 던전 (월드 파티션),뒤틀린 생명의 균열 (채집),16,4,Portal,
18,18,M12_러시아 시연용_이즈나의 메아리,이즈나의 메아리 입구,12,4,Portal,
19,19,CombatZone 인스턴스 필드 중첩 테스트,인스턴스 필드 A 구역,19,6,FieldVolume,10002
20,20,CombatZone 인스턴스 필드 중첩 테스트,인스턴스 필드 B 구역,20,7,FieldVolume,10003
90101,90101,침묵하는 잔해의 전장_이니스 PVP,이즈나의 메아리 입구,90101,4,Portal,
90601,90601,이즈나의 메아리_M14 정식,이즈나의 메아리 입구,90601,4,Portal,
90602,90602,침묵하는 잔해의 전장,침묵하는 잔해의 전장 입구,90602,4,Portal,
90603,90603,이즈나의 메아리_파티 버전,이즈나의 메아리 파티 입구,90603,4,Portal,
100001,100001,퀘스트용_여명의 길_보스전,여명의 길,100001,7,FieldVolume,100001
100002,100002,퀘스트용_고요의 숲_보스전,고요의 숲,100002,8,FieldVolume,100002
100003,100003,퀘스트용_불타는 신성의 숲,불타는 신성의 숲,100003,9,FieldVolume,100003
100004,100004,퀘스트용_불타는 달그늘 쉼터,불타는 달그늘 쉼터,100004,10,FieldVolume,100004
