OID,Cid,Comment,EffectKind,ItemCid,ItemCount
101,101,무기,Protect,53070100,5
102,102,무기,Protect,53070100,10
103,103,무기,Protect,53070100,13
104,104,무기,Protect,53070100,41
105,105,무기,Protect,53070100,171
106,106,무기,Protect,53070100,712
107,107,무기,Protect,53070100,2967
108,108,무기,Protect,53070100,12362
109,109,무기,Protect,53070100,51508
201,201,방어구,Protect,53070100,5
202,202,방어구,Protect,53070100,10
203,203,방어구,Protect,53070100,13
204,204,방어구,Protect,53070100,41
205,205,방어구,Protect,53070100,171
206,206,방어구,Protect,53070100,712
207,207,방어구,Protect,53070100,2967
208,208,방어구,Protect,53070100,12362
209,209,방어구,Protect,53070100,51508
301,301,장신구,Protect,53070100,5
302,302,장신구,Protect,53070100,10
303,303,장신구,Protect,53070100,13
304,304,장신구,Protect,53070100,41
305,305,장신구,Protect,53070100,171
306,306,장신구,Protect,53070100,712
307,307,장신구,Protect,53070100,2967
308,308,장신구,Protect,53070100,12362
309,309,장신구,Protect,53070100,51508
