OID,Cid,Comment,EnhanceProbabilityGroup,EnhanceStep,Probability,BlessProbability1,BlessProbability2,BlessProbability3,FailDestroy,LootGroupId,SecondDirection
101,101,무기,100,0,10000,8500,1000,500,0,1,FALSE
102,102,무기,100,1,10000,8500,1000,500,0,1,FALSE
103,103,무기,100,2,10000,8500,1000,500,0,1,TRUE
104,104,무기,100,3,8500,8500,1000,500,10000,1,TRUE
105,105,무기,100,4,7000,8500,1000,500,10000,1,TRUE
106,106,무기,100,5,5100,8500,1000,500,10000,1,TRUE
107,107,무기,100,6,3500,8500,1000,500,10000,1,TRUE
108,108,무기,100,7,3000,8500,1000,500,10000,1,TRUE
109,109,무기,100,8,2500,8500,1000,500,10000,1,TRUE
110,110,무기,100,9,2500,8500,1000,500,10000,1,TRUE
111,111,무기,100,10,0,8500,1000,500,10000,1,TRUE
201,201,방어구,200,0,10000,8500,1000,500,0,1,FALSE
202,202,방어구,200,1,10000,8500,1000,500,0,1,FALSE
203,203,방어구,200,2,10000,8500,1000,500,0,1,TRUE
204,204,방어구,200,3,8500,8500,1000,500,10000,1,TRUE
205,205,방어구,200,4,7000,8500,1000,500,10000,1,TRUE
206,206,방어구,200,5,5100,8500,1000,500,10000,1,TRUE
207,207,방어구,200,6,3500,8500,1000,500,10000,1,TRUE
208,208,방어구,200,7,3000,8500,1000,500,10000,1,TRUE
209,209,방어구,200,8,2500,8500,1000,500,10000,1,TRUE
210,210,방어구,200,9,2500,8500,1000,500,10000,1,TRUE
211,211,방어구,200,10,0,8500,1000,500,10000,1,TRUE
301,301,장신구,300,0,10000,8500,1000,500,0,1,FALSE
302,302,장신구,300,1,10000,8500,1000,500,0,1,FALSE
303,303,장신구,300,2,10000,8500,1000,500,0,1,TRUE
304,304,장신구,300,3,8500,8500,1000,500,10000,1,TRUE
305,305,장신구,300,4,7000,8500,1000,500,10000,1,TRUE
306,306,장신구,300,5,5100,8500,1000,500,10000,1,TRUE
307,307,장신구,300,6,3500,8500,1000,500,10000,1,TRUE
308,308,장신구,300,7,3000,8500,1000,500,10000,1,TRUE
309,309,장신구,300,8,2500,8500,1000,500,10000,1,TRUE
310,310,장신구,300,9,2500,8500,1000,500,10000,1,TRUE
311,311,장신구,300,10,0,8500,1000,500,10000,1,TRUE
