OID,Cid,Comment,EnhanceStatGroup,EnhanceStep,StatModifiedCids,EnchantSlot
10100,10100,1티어 무기 0강,101,0,,0
10101,10101,1티어 무기 1강,101,1,[10101],1
10102,10102,1티어 무기 2강,101,2,[10102],1
10103,10103,1티어 무기 3강,101,3,[10103],2
10104,10104,1티어 무기 4강,101,4,[10104],2
10105,10105,1티어 무기 5강,101,5,[10105],3
10106,10106,1티어 무기 6강,101,6,[10106],3
10107,10107,1티어 무기 7강,101,7,[10107],4
10108,10108,1티어 무기 8강,101,8,[10108],4
10109,10109,1티어 무기 9강,101,9,[10109],5
10110,10110,1티어 무기 10강,101,10,[10110],5
10200,10200,2티어 무기 0강,102,0,,0
10201,10201,2티어 무기 1강,102,1,[10201],1
10202,10202,2티어 무기 2강,102,2,[10202],1
10203,10203,2티어 무기 3강,102,3,[10203],2
10204,10204,2티어 무기 4강,102,4,[10204],2
10205,10205,2티어 무기 5강,102,5,[10205],3
10206,10206,2티어 무기 6강,102,6,[10206],3
10207,10207,2티어 무기 7강,102,7,[10207],4
10208,10208,2티어 무기 8강,102,8,[10208],4
10209,10209,2티어 무기 9강,102,9,[10209],5
10210,10210,2티어 무기 10강,102,10,[10210],5
10300,10300,3티어 무기 0강,103,0,,0
10301,10301,3티어 무기 1강,103,1,[10301],1
10302,10302,3티어 무기 2강,103,2,[10302],1
10303,10303,3티어 무기 3강,103,3,[10303],2
10304,10304,3티어 무기 4강,103,4,[10304],2
10305,10305,3티어 무기 5강,103,5,[10305],3
10306,10306,3티어 무기 6강,103,6,[10306],3
10307,10307,3티어 무기 7강,103,7,[10307],4
10308,10308,3티어 무기 8강,103,8,[10308],4
10309,10309,3티어 무기 9강,103,9,[10309],5
10310,10310,3티어 무기 10강,103,10,[10310],5
10400,10400,4티어 무기 0강,104,0,,0
10401,10401,4티어 무기 1강,104,1,[10401],1
10402,10402,4티어 무기 2강,104,2,[10402],1
10403,10403,4티어 무기 3강,104,3,[10403],2
10404,10404,4티어 무기 4강,104,4,[10404],2
10405,10405,4티어 무기 5강,104,5,[10405],3
10406,10406,4티어 무기 6강,104,6,[10406],3
10407,10407,4티어 무기 7강,104,7,[10407],4
10408,10408,4티어 무기 8강,104,8,[10408],4
10409,10409,4티어 무기 9강,104,9,[10409],5
10410,10410,4티어 무기 10강,104,10,[10410],5
10500,10500,5티어 무기 0강,105,0,,0
10501,10501,5티어 무기 1강,105,1,[10501],1
10502,10502,5티어 무기 2강,105,2,[10502],1
10503,10503,5티어 무기 3강,105,3,[10503],2
10504,10504,5티어 무기 4강,105,4,[10504],2
10505,10505,5티어 무기 5강,105,5,[10505],3
10506,10506,5티어 무기 6강,105,6,[10506],3
10507,10507,5티어 무기 7강,105,7,[10507],4
10508,10508,5티어 무기 8강,105,8,[10508],4
