OID,Cid,Comment,String
1,1,,100boG
2,2,,100bozy
3,3,,1베
4,4,,admin
5,5,,anal
6,6,,araboja
7,7,,asshole
8,8,,BBA9RI
9,9,,bbagoori
10,10,,bbagury
11,11,,bdsm
12,12,,bitch
13,13,,boG
14,14,,bogy
15,15,,Boji
16,16,,Bojy
17,17,,bozi
18,18,,bozy
19,19,,Boㅈl
20,20,,bo지
21,21,,bul알
22,22,,caonima
23,23,,car섹
24,24,,dildo
25,25,,fuck
26,26,,fuckyou
27,27,,gabozi
28,28,,hentai
29,29,,ID팜
30,30,,jaji
31,31,,jamji
32,32,,jazi
33,33,,jazy
34,34,,ja지
35,35,,jiral
36,36,,jot
37,37,,Li미
38,38,,Ll미
39,39,,M2뒤진
40,40,,M2죽은
41,41,,Masturbation
42,42,,MC무현
43,43,,ME뒤진
44,44,,ME죽은
45,45,,ME친년
46,46,,ME친놈
47,47,,mi친년
48,48,,mi친놈
49,49,,MotherFucker
50,50,,m창
51,51,,nigimi
52,52,,NimiSiBa
53,53,,oH미
54,54,,oral
55,55,,penis
56,56,,pennis
57,57,,PHONESEC
58,58,,PHONSEC
59,59,,ponsec
60,60,,ponsek
61,61,,porn
62,62,,porno
63,63,,pussy
64,64,,sakasi
65,65,,sex
66,66,,slut
67,67,,sonofbitch
68,68,,swaping
69,69,,s하고e싶다x
70,70,,threesome
71,71,,threesum
72,72,,whore
73,73,,YourMotherFuck
74,74,,zazi
75,75,,zazy
76,76,,zot
77,77,,가앙간
78,78,,갈보
79,79,,강간
80,80,,개가튼년
81,81,,개간년
82,82,,개같은년
83,83,,개같은놈
84,84,,개같은뇬
85,85,,개같은새끼
86,86,,개년
87,87,,개년들
88,88,,개년아
89,89,,개놈
90,90,,개미친
91,91,,개병신
92,92,,개보쥐
93,93,,개보지
94,94,,개보지같은년
95,95,,개보지년
96,96,,개보지털
97,97,,개부랄
98,98,,개불알
99,99,,개새
100,100,,개새기
101,101,,개새꺄
102,102,,개새뀌
103,103,,개새끼
104,104,,개색기
105,105,,개색꺄
106,106,,개색끼
107,107,,개샛기
108,108,,개샛끼
109,109,,개샹
110,110,,개세끼
111,111,,개셋끼
112,112,,개시끼
113,113,,개시발
114,114,,개시발놈
115,115,,개십보지야
116,116,,개십새
117,117,,개십팔
118,118,,개싼년
119,119,,개쌍도
120,120,,개쌔끼
121,121,,개썅년
122,122,,개쎄끼
123,123,,개씨발
124,124,,개씨발년
125,125,,개씨발놈
126,126,,개씨불알
127,127,,개씹
128,128,,개씹보지
129,129,,개씹새
130,130,,개씹할
131,131,,개씹헐놈
132,132,,개자징
133,133,,개잡년
134,134,,개잡놈
135,135,,개졋
136,136,,개졎
137,137,,개조또
138,138,,개조지년
139,139,,개좁년
140,140,,개좃
141,141,,개좃밥
142,142,,개종년
143,143,,개좆
144,144,,개좆같은년
145,145,,개좆같은놈
146,146,,개좆까
147,147,,개좆년
148,148,,개좆밥
149,149,,개좇
150,150,,개좇같은놈
151,151,,개좌지
152,152,,개죠지
153,153,,개죤만
154,154,,개지`랄
155,155,,개지랄
156,156,,개창녀
157,157,,개창년
158,158,,개허벌창
159,159,,개후랄년
160,160,,개후장
161,161,,갱상도랑캐
162,162,,갱상디언
163,163,,걔새끼
164,164,,걔섀끼
165,165,,걔셰끼
166,166,,거대유방
167,167,,거시기물렁
168,168,,걸래년
169,169,,걸래놈
170,170,,걸레
171,171,,걸레같은
172,172,,걸레년
173,173,,겁탈
174,174,,게보쥐
175,175,,게보지
176,176,,게색기
177,177,,게색끼
178,178,,게세끼
179,179,,경상디언
