OID,Cid,Comment,String
1,1,,0H미출타
2,2,,100boG
3,3,,100bozy
4,4,,10거유
5,5,,10년
6,6,,10놈
7,7,,10발
8,8,,10새
9,9,,10색
10,10,,10세
11,11,,10섹
12,12,,10쌔
13,13,,10썌
14,14,,10쎄
15,15,,10알
16,16,,10질
17,17,,10창
18,18,,10팔
19,19,,10할
20,20,,18넘
21,21,,18녀나
22,22,,18년
23,23,,18놈
24,24,,18뇬
25,25,,18러마
26,26,,18럼아
27,27,,18려나
28,28,,18련
29,29,,18세끼
30,30,,1베
31,31,,20새들아
32,32,,20세들아
33,33,,20알련
34,34,,4kkasi
35,35,,4까C
36,36,,4까시
37,37,,69자세
38,38,,6변기
39,39,,74하고싶다
40,40,,7H새77l
41,41,,admin
42,42,,Anal
43,43,,ass
44,44,,asshole
45,45,,B1tch
46,46,,bastard
47,47,,BBA9RI
48,48,,bbagoori
49,49,,bbagury
50,50,,bdsm
51,51,,bigtits
52,52,,bitch
53,53,,blowjob
54,54,,boG
55,55,,BOGEE
56,56,,BOGGI
57,57,,bogy
58,58,,BOJI
59,59,,Bojy
60,60,,boner
61,61,,bozi
62,62,,bozy
63,63,,BoZzI
64,64,,BOZ벌려
65,65,,bo지
66,66,,bul알
67,67,,bumhole
68,68,,byuntae
69,69,,c2발
70,70,,c8
71,71,,callgirl
72,72,,caoni
73,73,,caonima
74,74,,carsex
75,75,,car섹
76,76,,cbal
77,77,,ccibal
78,78,,ccipal
79,79,,ccival
80,80,,CE발
81,81,,cibal
82,82,,CiBar
83,83,,cipal
84,84,,cival
85,85,,cocaine
86,86,,condom
87,87,,Cunilingus
88,88,,cunt
89,89,,c발
90,90,,c팔
91,91,,Diacetylmorphine
92,92,,dick
93,93,,dildo
94,94,,DJ대중
95,95,,Dog년
96,96,,ecstasy
97,97,,Fck
98,98,,fellatio
99,99,,Fellratio
100,100,,fetish
101,101,,Foreplay
102,102,,fuck
103,103,,fuk
104,104,,FUUK
105,105,,fuxxup
106,106,,fxck
107,107,,FxuckU
108,108,,fxxk
109,109,,FxxkYou
110,110,,FXXU
111,111,,gabozi
112,112,,GM
113,113,,g랄
114,114,,G스팟
115,115,,hentai
116,116,,HIV감염자
117,117,,homo
118,118,,Hoochie
119,119,,hooker
120,120,,ID팜
121,121,,ilbe
122,122,,JAJI
123,123,,jamji
124,124,,jasal
125,125,,jawe
126,126,,jawi
127,127,,jazi
128,128,,jazy
129,129,,ja위
130,130,,ja지
131,131,,jiral
132,132,,ji랄
133,133,,jonna
134,134,,JonNe
135,135,,jot
136,136,,kakao
137,137,,kakaogame
138,138,,kakaogames
139,139,,Li미
140,140,,Ll미
141,141,,M2뒤진
142,142,,M2죽은
143,143,,M2창N
144,144,,marihuana
145,145,,masterbate
146,146,,Masturbati
147,147,,MC무1현이
148,148,,MC무연
149,149,,MC무현
150,150,,megal봊
151,151,,ME뒤진
152,152,,ME죽은
153,153,,ME친년
154,154,,ME친놈
155,155,,mi친년
156,156,,mi친놈
157,157,,motherdie
158,158,,motherfuck
159,159,,MotherFucker
160,160,,MU현
161,161,,M창
162,162,,neeegro
163,163,,niga
164,164,,nigger
165,165,,nigimi
166,166,,NimiSiBa
167,167,,NOODE
168,168,,NO무
169,169,,no뮤현
170,170,,NO짱
171,171,,NPC
172,172,,nude
173,173,,n번방
174,174,,oH미
175,175,,onani
176,176,,Onany
177,177,,op걸
178,178,,oral
179,179,,orgasm
180,180,,Orgazm
181,181,,o창o녀촌누나o
182,182,,Paizuri
183,183,,Paizury
184,184,,penis
185,185,,pennis
186,186,,PETISH
187,187,,philopon
188,188,,PHONESEC
189,189,,PHONE색
190,190,,PHONSEC
191,191,,phonsek
192,192,,phonsssek
193,193,,ponsec
194,194,,ponsek
195,195,,porn
196,196,,PORNER
197,197,,PORNO
198,198,,prno
199,199,,pussi
200,200,,Pussie
201,201,,Pusssy
202,202,,Pussy
203,203,,rape
204,204,,sakasi
205,205,,schlang
206,206,,schlong
207,207,,seebal
208,208,,seebar
209,209,,seecx
210,210,,seeex
211,211,,see발
212,212,,sex
213,213,,se엑스
214,214,,shit
215,215,,sibaI
216,216,,Sibsay
217,217,,Siohuky
218,218,,sipal
219,219,,sival
220,220,,SixNine
221,221,,si팔
222,222,,slut
223,223,,sonofbitch
224,224,,ssibal
225,225,,ssibbal
226,226,,ssipal
227,227,,ssival
228,228,,suck
229,229,,sucking
230,230,,SUCKSEX
231,231,,swaping
232,232,,Syee발럼아
233,233,,S파트너
234,234,,s하고e싶다x
235,235,,s하고싶다ex
236,236,,therape
237,237,,threesome
238,238,,threesum
239,239,,whore
240,240,,XLGAME
241,241,,XLGAMES
242,242,,XL게임
243,243,,XL게임즈
244,244,,x녀
245,245,,x물
246,246,,x지
247,247,,x털
248,248,,YourMotherFuck
249,249,,zazi
250,250,,zazy
251,251,,ZI랄
252,252,,zl랄
253,253,,zot
254,254,,z랄
255,255,,가라마실년
256,256,,가앙간
257,257,,가앙간술래
258,258,,가카
259,259,,가학성애자
260,260,,간강도우미
261,261,,간나
262,262,,간통
263,263,,갈보
264,264,,갈뵤
265,265,,감금
266,266,,갓베
267,267,,갓상구
268,268,,갓카
269,269,,강1간
270,270,,강간
271,271,,강감범
272,272,,강섹간스보질지싸
273,273,,강제임신
274,274,,강철Go추
275,275,,강철고오추
276,276,,같은년
277,277,,같은놈
278,278,,개10
279,279,,개11호11로
280,280,,개18놈
281,281,,개1같은녕
282,282,,개1새1
283,283,,개1새2끼
284,284,,개1새기
285,285,,개1씨1
286,286,,개1자1
287,287,,개2놈
288,288,,개2새끼
289,289,,개l새l키
290,290,,개X끼
291,291,,개x새x끼
292,292,,개가트년
293,293,,개가튼년
294,294,,개간년
295,295,,개간놈
296,296,,개간련
297,297,,개간연
298,298,,개갈년
299,299,,개고추
300,300,,개끼새야
301,301,,개넘
302,302,,개녀나
303,303,,개년
304,304,,개년들
305,305,,개년아
306,306,,개노무
307,307,,개놈
308,308,,개뇨나
309,309,,개뇬
310,310,,개딸년
311,311,,개래끼야
312,312,,개발년
313,313,,개발놈
314,314,,개병12신
315,315,,개병새신끼
316,316,,개보1지
317,317,,개보쥐
318,318,,개불알
319,319,,개새
320,320,,개색
321,321,,개샋기
322,322,,개샛
323,323,,개생아
324,324,,개생키
325,325,,개샠
326,326,,개샡끼
327,327,,개샹것들
328,328,,개섁
329,329,,개세기
330,330,,개세끼
331,331,,개섹
332,332,,개셰꺄
333,333,,개셰끼
334,334,,개쇠끼
335,335,,개쉐끼
336,336,,개싀바련들
337,337,,개싀빨
338,338,,개시끼
339,339,,개시발
340,340,,개시키
341,341,,개십쇠끼
342,342,,개십알
343,343,,개십팔
344,344,,개십호로
345,345,,개싮세기
346,346,,개싼년
347,347,,개쌍니언
348,348,,개쌍도
349,349,,개쌍샬
350,350,,개쌔끼
351,351,,개쌕기가
352,352,,개쌕히
353,353,,개쌧기야
354,354,,개쌨기
355,355,,개쌰발
356,356,,개썅년
357,357,,개썅도
358,358,,개썌끼야
359,359,,개쎄
360,360,,개쎄끼
361,361,,개쎾쓰
362,362,,개쐑기
363,363,,개쒝기
364,364,,개쒯뻑
365,365,,개쓰래기년
366,366,,개씨e발
367,367,,개씨끼
368,368,,개씨불알
369,369,,개씩끼
370,370,,개에에년
371,371,,개자식
372,372,,개자징
373,373,,개잡년
374,374,,개잡놈
375,375,,개잦
376,376,,개쟈쥐
377,377,,개쟘쥐
378,378,,개젓
379,379,,개젛밥
380,380,,개졋
381,381,,개조떈년
382,382,,개조또
383,383,,개조지년
384,384,,개존만아
385,385,,개좀만이
386,386,,개좁년
387,387,,개종년
388,388,,개좌식
389,389,,개죠지
390,390,,개죤만
391,391,,개죤슨
392,392,,개줮망나니
393,393,,개쥘알
394,394,,개지랄
395,395,,개짬찌
396,396,,개팔아떡첬다
397,397,,개허벌창
398,398,,개후라릴년
399,399,,개후라릴놈
400,400,,개후랄년
401,401,,개후장
402,402,,갥샑낅
403,403,,갱상도랑캐
404,404,,갱상디언
405,405,,갷샣낗
406,406,,걔새
407,407,,걔샊
408,408,,걔셰끼
409,409,,거시기
410,410,,거지년
411,411,,건강에좋은섿스
412,412,,걷휴
413,413,,걸1래
414,414,,걸래
415,415,,걸럐
416,416,,걸레
417,417,,걸출한육노예
418,418,,겁탈
419,419,,게년
420,420,,게놈
421,421,,게뇬
422,422,,게보쥐
423,423,,게색갸
424,424,,게색기
425,425,,게색끼
426,426,,게세갸
427,427,,게세끼
428,428,,게세야
429,429,,게세퀴
430,430,,게섹갸
431,431,,게섹기
432,432,,게섹꺄
433,433,,게섹놈아
434,434,,게섹키
435,435,,게셰끼
436,436,,게시끼
437,437,,게시퀴
438,438,,게쌔기
439,439,,게쌕기
440,440,,게씌창
441,441,,게자식
442,442,,경상디언
443,443,,계냔
444,444,,계섹아
445,445,,계집년
446,446,,고1자나라
447,447,,고1추1털
448,448,,고1추따1먹자
449,449,,고1추맛남
450,450,,고1환
451,451,,고노현무전대령
452,452,,고무통
453,453,,고무현
454,454,,고보딩지
455,455,,고지보딩
456,456,,고추가렵다
457,457,,고추가섰다
458,458,,고추가없어요
459,459,,고추가이뻐
460,460,,고추가크다
461,461,,고추가큰남자
462,462,,고추긁적
463,463,,고추달린여자
464,464,,고추도크다
465,465,,고추를흔드삼
466,466,,고추만질래
467,467,,고추맛조개탕
468,468,,고추먹어줘
469,469,,고추무는꽃뱀
470,470,,고추보집물
471,471,,고추빨
472,472,,고추빨기
473,473,,고추에용문신
474,474,,고추왕
475,475,,고추커
476,476,,고추컷
477,477,,고추큰교주
478,478,,고추큰누나
479,479,,고추큰소년
480,480,,고추큰신부
481,481,,고추큰신사
482,482,,고추큰아이
483,483,,고추큼
484,484,,고추타는언니
485,485,,고추털
486,486,,고출든남자
487,487,,고츄가추워요
488,488,,고츄절단기
489,489,,고츄큰어린이
490,490,,고츄털
491,491,,고츄한번만보자
492,492,,고환
493,493,,곧츄
494,494,,곧츄가
495,495,,곧후
496,496,,곧휴
497,497,,공포의쎾쓰대마왕
498,498,,곶추
499,499,,곶휴
500,500,,곹츄
501,501,,관세음봊살
502,502,,광뇬
503,503,,광주는뭐다
504,504,,광주는폭폭
505,505,,광주민주화
506,506,,광주탱크
507,507,,구강내사정
508,508,,구강사정
509,509,,구멍에도끼자국
510,510,,구멍질
511,511,,귀두
512,512,,그녀구멍은블랙홀
513,513,,그녀의질냄새
514,514,,그룹섹
515,515,,그여자를임신시켜
516,516,,그지년
517,517,,근친
518,518,,기집년
519,519,,김대중
520,520,,김머중
521,521,,김상구
522,522,,김영삼
523,523,,김일성
524,524,,김정남
525,525,,김정은
526,526,,김정일
527,527,,김종필
528,528,,김창한
529,529,,김치냔
530,530,,김치녀
531,531,,김치년
532,532,,까보전
533,533,,깔년이
534,534,,꺼츛
535,535,,꼬1추
536,536,,꼬추
537,537,,꼬출든남자
538,538,,꼬출든여인
539,539,,꼬출든여자
540,540,,꼬출쥔남자
541,541,,꼬츄
542,542,,꼬츌든남자
543,543,,꼬치든남자
544,544,,꼬치큰꼬마
545,545,,꼬치큰오빠
546,546,,꼭지긁적
547,547,,꼭지보여줘
548,548,,꼭지에와사비비고싶다
549,549,,꼳휴
550,550,,꼳휴든여자
551,551,,꼴려
552,552,,꼴륏
553,553,,꼴리냐
554,554,,꼴리네
555,555,,꼴리는
556,556,,꼴리다
557,557,,꼴림
558,558,,꼴릿
559,559,,꽂츄
560,560,,꽂치
561,561,,꽂휴
562,562,,꽃추녀
563,563,,꽃추놈
564,564,,꽃추커
565,565,,꽃츄
566,566,,꽃츄털
567,567,,꽃치털
568,568,,꽃튜
569,569,,꽃휴
570,570,,꿀꼭지를가진훈녀
571,571,,끈적한조개즙
572,572,,나대다뒤진놈
573,573,,나대지마새꺄
574,574,,나랑잘래요
575,575,,나랑좀잘래
576,576,,나먹구힘내
577,577,,나먹어봐라
578,578,,나먹으러와
579,579,,나좀먹어줘
580,580,,낙1태
581,581,,낙태
582,582,,난교
583,583,,난병l신
584,584,,난자공주
585,585,,난자여왕
586,586,,난자왕
587,587,,남고생엉덩이
588,588,,남녀신체결합
589,589,,남창1번가
590,590,,남창NO1
591,591,,낮밤섹섹
592,592,,내가바로섹
593,593,,내고쭈발딱
594,594,,내고추크다
595,595,,내꼬추커
596,596,,내인생은M창인생
597,597,,내정액
598,598,,냄비년
599,599,,냄비속고추
600,600,,냄져
601,601,,너그어미
602,602,,너꺼넣어줘
603,603,,너내엄마맛있더라
604,604,,너이새끠
605,605,,너희어머니의보털
606,606,,넣고보니찌익
607,607,,넣기전에싼다
608,608,,넣는순간임신
609,609,,넣어보니임신
610,610,,넣어야서는놈
611,611,,네다보
612,612,,네다홍
613,613,,네크로필리
614,614,,넴병
615,615,,년들
616,616,,노I무I현
617,617,,노Moo현
618,618,,노mu현
619,619,,노답짬찌
620,620,,노땅체
621,621,,노로호
622,622,,노모간지
623,623,,노모배우
624,624,,노모효성
625,625,,노무1현
626,626,,노무고무
627,627,,노무고통
628,628,,노무꾼
629,629,,노무노무
630,630,,노무노뭉
631,631,,노무늘보
632,632,,노무대중
633,633,,노무딱
634,634,,노무딱잣
635,635,,노무무
636,636,,노무시로요
637,637,,노무알라
638,638,,노무엉부엉
639,639,,노무운현지
640,640,,노무족
641,641,,노무좋다
642,642,,노무줄
643,643,,노무찡
644,644,,노무쿤
645,645,,노무쿤뒈짐
646,646,,노무통
647,647,,노무하냐
648,648,,노무하네
649,649,,노무하노
650,650,,노무하다
651,651,,노무행
652,652,,노무허니
653,653,,노무헌
654,654,,노무헨
655,655,,노무혀니
656,656,,노무현
657,657,,노무혐
658,658,,노무형
659,659,,노무횬
660,660,,노문현
661,661,,노뮤현
662,662,,노므현
663,663,,노믜현
664,664,,노봉하
665,665,,노브라
666,666,,노시계
667,667,,노알라
668,668,,노예년아
669,669,,노예조교
670,670,,노오란그분
671,671,,노오브라
672,672,,노운지
673,673,,노전노통령
674,674,,노질콘사
675,675,,노짱
676,676,,노찡
677,677,,노친네후2장
678,678,,노콘노섹
679,679,,노콘매냐
680,680,,노콘섹
681,681,,노콘질싸
682,682,,노콘질외사정
683,683,,노태우
684,684,,노통
685,685,,노현무
686,686,,노현무김중대
687,687,,놈들
688,688,,놈현
689,689,,놈현같
690,690,,놈현스럽다
691,691,,뇌물현
692,692,,누나뒤로하자
693,693,,누나뒤로해조
694,694,,누나벗어
695,695,,누나봉지
696,696,,누나봊이짱
697,697,,누나세워도돼
698,698,,누나싸게해줘요
699,699,,누나의물구멍
700,700,,누나의허리돌림
701,701,,누나쪼임뒤진다
702,702,,누나한번해줘요
703,703,,누님의진동토템
704,704,,누드
705,705,,누워바따먹게
706,706,,뉘귀미
707,707,,뉘기미
708,708,,뉘뮈
709,709,,뉘믜
710,710,,뉘미
711,711,,뉘미럴
712,712,,뉘엄
713,713,,느1금
714,714,,느가빠
715,715,,느개미
716,716,,느개비
717,717,,느갭
718,718,,느건마
719,719,,느검
720,720,,느검마
721,721,,느굼
722,722,,느굼마
723,723,,느굼마도죽기마련
724,724,,느그M팬다
725,725,,느그마
726,726,,느그마만수무강
727,727,,느그메
728,728,,느그미
729,729,,느그미뭐하시노
730,730,,느그아바이
731,731,,느그아방공산당
732,732,,느그애미
733,733,,느그어mae
734,734,,느그어마이
735,735,,느그어매요
736,736,,느그어매흑보댕
737,737,,느그어맴이
738,738,,느그어미요
739,739,,느그어비태현이
740,740,,느그엄마
741,741,,느그음마아아
742,742,,느금
743,743,,느긍마
744,744,,느기미
745,745,,느어멈과하룻밤
746,746,,느어미자궁적출
747,747,,늬1미
748,748,,늬귀
749,749,,늬긔
750,750,,늬기
751,751,,늬뮈
752,752,,늬믜
753,753,,늬미
754,754,,늬밀럴
755,755,,늬앰
756,756,,늬엠
757,757,,늬이미
758,758,,늬이미럴
759,759,,늬이미시알
760,760,,늬츼팔늠
761,761,,닁긔미
762,762,,닁기미
763,763,,닁김
764,764,,니10이다
765,765,,니11미
766,766,,니1미
767,767,,니2미
768,768,,니l미
769,769,,니m2
770,770,,니me
771,771,,니me다
772,772,,니ME럴
773,773,,니me시8년도
774,774,,니m기미
775,775,,니M노이어
776,776,,니m이창
777,777,,니M창
778,778,,니M흑
779,779,,니OH미
780,780,,니x미
781,781,,니곧추무용지물
782,782,,니귀미
783,783,,니기미
784,784,,니까추
785,785,,니꺼추
786,786,,니꼬치작다
787,787,,니꽃츄
788,788,,니네엄마똥껄레년
789,789,,니똥꼬에치명타
790,790,,니똥꾸멍으로
791,791,,니뮈
792,792,,니믜
793,793,,니미
794,794,,니샛끼
795,795,,니시봘라마
796,796,,니시퐐놈아
797,797,,니안에싼다
798,798,,니애1미
799,799,,니애믜
800,800,,니애미
801,801,,니애비
802,802,,니앰
803,803,,니어메
804,804,,니어미
805,805,,니어비
806,806,,니엄1마안명란
807,807,,니엄개흑보롱이
808,808,,니엄떡
809,809,,니엄마자궁암걸림
810,810,,니엄미
811,811,,니엄보
812,812,,니엄은내노예
813,813,,니엄젿
814,814,,니엄칼찔
815,815,,니엄흑
816,816,,니엄흑보
817,817,,니에1미
818,818,,니에미
819,819,,니에비
820,820,,니엠
821,821,,니여친한입만
822,822,,니인중고추냄새
823,823,,니입에하고싶다
824,824,,니졋대로해
825,825,,니조가리또
826,826,,니조개
827,827,,니죠때
828,828,,니주가리
829,829,,님기리
830,830,,님기미
831,831,,님이18
832,832,,님이18세
833,833,,님히18연도
834,834,,닝1기리
835,835,,닝기리
836,836,,닝기미
837,837,,닝기밍
838,838,,닝기이
839,839,,다댐벼창련들아
840,840,,다리벌
841,841,,다리벌려
842,842,,다방년
843,843,,다벋고안준년
844,844,,다벗고안주는년
845,845,,다벗고안준년
846,846,,다벗고안준놈
847,847,,다벗고안준애
848,848,,다벗고엎드려
849,849,,닥1쳐
850,850,,닥쳐
851,851,,닥치고꺼지던가
852,852,,닥치고바지내려
853,853,,닥치라패기전에
854,854,,단란쥬점
855,855,,닿는순간임신
856,856,,대깨문
857,857,,대딸
858,858,,대마초
859,859,,대물고추
860,860,,대물곧휴
861,861,,대보형지
862,862,,대왕고추
863,863,,대줄년
864,864,,대중잣이
865,865,,덥쳐보니
866,866,,덮어보니처제
867,867,,덮쳐보니
868,868,,덮쳤더니할매
869,869,,돌림빵
870,870,,동네보G
871,871,,동네쩌는년
872,872,,된장남
873,873,,된장녀
874,874,,두부외상
875,875,,뒤로너어줘
876,876,,뒤로넣어줘
877,877,,뒤로하는거싫어
878,878,,뒤로하는게좋아
879,879,,뒤에서박았어
880,880,,드러운년
881,881,,드러운놈
882,882,,드응신
883,883,,등1쉰
884,884,,등1신
885,885,,등1신아
886,886,,등2신
887,887,,등쉰
888,888,,등쉰아
889,889,,등신
890,890,,등신아
891,891,,디치기전문
892,892,,딜1도
893,893,,딜도
894,894,,따머거
895,895,,따먹
896,896,,따무라
897,897,,따묵기
898,898,,따인년
899,899,,딱스터콜
900,900,,딸1치는
901,901,,딸기맛존슨
902,902,,딸녀
903,903,,딸다리
904,904,,딸달이
905,905,,딸따뤼
906,906,,딸따리
907,907,,딸딸이
908,908,,딸딸치자
909,909,,딸좀그만쳐
910,910,,딸처먹은
911,911,,딸쳐
912,912,,딸쳐먹은
913,913,,딸치
914,914,,딸치기용
915,915,,딸치는
916,916,,딸치다
917,917,,딸포르노
918,918,,땅끄
919,919,,땅크
920,920,,떡치고싶다
921,921,,떡치기
922,922,,떡치는년
923,923,,떡치는변강쇠
924,924,,떡치다고추가
925,925,,똘끼
926,926,,똘년
927,927,,똘봉년
928,928,,똘추년
929,929,,똘츄련
930,930,,뛕뚜
931,931,,라도새기
932,932,,랄색키
933,933,,랑잤다
934,934,,랴질련
935,935,,레전드꾜츄
936,936,,로li
937,937,,로ZI
938,938,,로zl
939,939,,로리
940,940,,룸망주
941,941,,리미썅
942,942,,리얼섹
943,943,,릴베충
944,944,,마더뻐커
945,945,,마더퍼커
946,946,,마더퍽커
947,947,,마리화나
948,948,,마스터배이션
949,949,,마스터베0l션
950,950,,마스터베이션
951,951,,마약
952,952,,마조히즘챙녀
953,953,,막줄걸찿아요
954,954,,막줄여자찿음
955,955,,말고추
