OID,Cid,Comment,DescName,MaxStack
1,1,,Dummy,99999
3,3,,TEST_Tome,1
4,4,,테스트 포탈,99999
14,14,,단결의 증표 (귀속),99999999
15,15,,델피나드의 별 (귀속),99999999
17,17,,서버 이전권 (귀속),99999
20,20,,귀환 주문서 (귀속),99999
21,21,,순간이동 주문서 (귀속),99999
22,22,,부활 주문서 (귀속),99999
23,23,,초승달 왕좌 의뢰서(임시),99999
24,24,,공간 이동서 (귀속),99999
25,25,,마력 파편 (귀속),999999
27,27,,부활 주문서 (이벤트),99999
28,28,,기억의 주문서 (귀속),99999
29,29,,공간 이동서 (이벤트),99999
30,30,,기억의 주문서 (이벤트),99999
31,31,,델피나드의 유물,999999
32,32,,원대륙의 금화 (귀속),999999
33,33,,피투성이 군대 인장 (귀속),999999
34,34,,직업 교환권 (귀속),99999
35,35,,녹색 소망의 물방울 (귀속),99999
36,36,,푸른 염원의 물방울 (귀속),99999
37,37,,붉은 꿈의 물방울 (귀속),99999
40,40,,길드 주둔지 귀환 주문서 (귀속),99999
41,41,,캐릭터 선물권 (귀속),99999
51,51,,탈것 조련술 교본,99999
52,52,,축복받은 탈것 조련술 교본,99999
53,53,,탈것 조련술 교본 (귀속),99999
54,54,,축복받은 탈것 조련술 교본 (귀속),99999
55,55,,TEST_룬,1
60,60,,오키드나의 인장 상자,99999
61,61,,고급 무기 선택 상자 (귀속),99999
80,80,,일반 무기 선택 상자 (귀속),99999
85,85,,사명의 증표 (귀속),99999999
86,86,,다루의 주화 (귀속),99999999
87,87,,+7 흑요석 무기 선택 상자 (귀속),99999
88,88,,+5 명인의 방어구 세트 상자 (근접)(귀속),99999
89,89,,+5 검은 모래회 방어구 세트 상자 (원거리)(귀속),99999
90,90,,+5 지식의 방어구 세트 상자 (마법)(귀속),99999
93,93,,금화 확정 상자 - 50만 금화 (귀속),99999
94,94,,금화 확정 상자 - 100만 금화 (귀속),99999
95,95,,금화 보급 상자 - 랜덤 (귀속),99999
96,96,,빛나는 무기 강화 주문서 상자 - 랜덤 (귀속),99999
97,97,,빛나는 방어구 강화 주문서 상자 - 랜덤 (귀속),99999
98,98,,위대한 개척자의 귀걸이 상자 (귀속),99999
99,99,,소원을 잊지 않는 자의 팔찌 상자 (귀속),99999
101,101,,에아나드 마법사의 귀걸이 상자 (귀속),99999
102,102,,고결한 은둔자의 팔찌 상자 (귀속),99999
103,103,,델피나드의 별 행운 상자,99999
104,104,,단결의 증표 행운 상자,99999
105,105,,다루의 주화 행운 상자,99999
106,106,,태양 아버지의 불꽃 상자 (귀속),99999
130,130,,영웅 직업 선택 소환권 상자 (귀속),99999
131,131,,+5 고급 방어구 세트 선택 상자 (귀속),99999
132,132,,에페리움 무기 랜덤 상자 (귀속),99999
133,133,,공헌 재료 랜덤 상자 (귀속),99999
134,134,,봉인된 에페리움 무기 랜덤 상자 (귀속),99999
135,135,,상급 영웅 직업 선택권 상자 (귀속),99999
136,136,,그릇된 자의 잔재 (귀속),99999999
201,201,,솔즈리드 반도 일반 의뢰서 (귀속),99999
202,202,,솔즈리드 반도 고급 의뢰서 (귀속),99999
203,203,,솔즈리드 반도 희귀 의뢰서 (귀속),99999
204,204,,가랑돌 평원 일반 의뢰서 (귀속),99999
205,205,,가랑돌 평원 고급 의뢰서 (귀속),99999
