OID,Cid,Comment,Name,Desc,CostLabor,Tier,MaxAmount
1,1,,물방울,길드 보스 소환 - 일반 재료,800,Tier1,1000000000
2,2,,버섯,길드 보스 소환 - 일반 재료,800,Tier1,1000000000
3,3,,잎사귀,길드 보스 소환 - 일반 재료,800,Tier1,1000000000
4,4,,신비로운 깃털,길드 보스 소환 - 고급 재료,1200,Tier2,1000000000
5,5,,신비로운 열매,길드 보스 소환 - 고급 재료,1200,Tier2,1000000000
6,6,,고귀한 구슬,길드 보스 소환 - 희귀 재료,1600,Tier3,1000000000
7,7,,고귀한 종이,길드 보스 소환 - 희귀 재료,1600,Tier3,1000000000
8,8,,찬란한 수정,길드 보스 소환 - 영웅 재료,2000,Tier4,1000000000
9,9,,찬란한 룬,길드 보스 소환 - 영웅 재료,2000,Tier4,1000000000
10,10,,정원의 문장,길드 보스 소환 - 전설 재료,5000,Tier5,1000000000
