OID,Cid,Comment,UnlockLevel,DescName
1,1,,1,해마
2,2,,1,염소
3,3,,1,소
4,4,,1,고양이
5,5,,1,알파카
6,6,,1,삵
7,7,,1,말
8,8,,1,여우
9,9,,1,퓨마
10,10,,1,불독
11,11,,1,오소리
12,12,,1,코끼리
13,13,,1,코뿔소
14,14,,1,곰
15,15,,1,토끼
16,16,,1,문어
17,17,,1,포메라니안
18,18,,1,노루
19,19,,1,너구리
20,20,,1,멧돼지
21,21,,1,사슴벌레
22,22,,1,나비
23,23,,1,돌고래
24,24,,1,전갈
25,25,,1,거미
26,26,,1,뱀
27,27,,1,벌
28,28,,1,독수리
29,29,,1,비둘기
30,30,,1,부엉이
31,31,,2,호랑이
32,32,,2,검치
33,33,,2,야크
34,34,,2,박쥐
35,35,,2,고릴라
36,36,,2,늑대
37,37,,2,독수리
38,38,,2,닭
39,39,,2,백조
40,40,,2,사자
41,41,,4,꽃
42,42,,4,불
43,43,,4,다이아
44,44,,4,해골
45,45,,4,단풍잎
46,46,,4,해
47,47,,4,깃발
48,48,,4,별
49,49,,4,왕관
50,50,,4,달
51,51,,6,활
52,52,,6,쌍검
53,53,,6,망치
54,54,,6,투구
55,55,,6,검
56,56,,6,방패
57,57,,6,지팡이
58,58,,6,단검
59,59,,6,갑옷
60,60,,6,망토
61,61,,8,유니콘
62,62,,8,사신
63,63,,8,용
64,64,,8,도깨비
65,65,,8,아누비스
66,66,,8,요정
67,67,,8,불사조
68,68,,8,켈베로스
69,69,,8,메두사
70,70,,8,그리폰
