OID,Cid,Milestone,Comment,DescName,Desc,Category,MasteryCid,Tier,Grade,MaxStack,BuyPrice,SellPrice,ItemRestrictionCid,BindingType,BindingRuleCids,SortGroup,SortOrder,IsBreak,ScheduleCid,WhereToGet,WhereToUse,IsNotify,IsBroadcast,EquipSound,RequiredMinLevel,RequiredMaxLevel
1,1,Dev,Dummy,Dummy,강화 금지 Dummy 아이템 (삭제 금지),Consume,0,Tier1,Common,99999,0,1,1,Unbound,,1,900000001,FALSE,0,,,FALSE,FALSE,,0,999
11010001,11010001,Dev,1T 장검(시작템),[임시] 1T 장검(시작템),,Equipment,0,Tier1,Common,1,0,100,1,Unbound,[22],1,911010001,FALSE,0,,,FALSE,FALSE,OnehandSword,0,999
11010002,11010002,Dev,1T 양손검(시작템),[임시] 1T 양손검(시작템),,Equipment,202,Tier1,Common,1,0,100,1,Unbound,[22],1,911010002,FALSE,0,,,FALSE,FALSE,TwohandSword,0,999
11010003,11010003,Dev,1T 단검(시작템),[임시] 1T 단검(시작템),,Equipment,203,Tier1,Common,1,0,100,1,Unbound,[22],1,911010003,FALSE,0,,,FALSE,FALSE,Dagger,0,999
11010004,11010004,Dev,1T 활(시작템),[임시] 1T 활(시작템),,Equipment,204,Tier1,Common,1,0,100,1,Unbound,[22],1,911010004,FALSE,0,,,FALSE,FALSE,Bow,0,999
11010005,11010005,Dev,1T 지팡이(시작템),[임시] 1T 지팡이(시작템),,Equipment,205,Tier1,Common,1,0,100,1,Unbound,[22],1,911010005,FALSE,0,,,FALSE,FALSE,Staff,0,999
11010006,11010006,Dev,1T 장검(기본 제작),[임시] 1T 장검(기본 제작),,Equipment,0,Tier1,Common,1,0,100,1,Unbound,[22],1,911010006,FALSE,0,,,FALSE,FALSE,OnehandSword,0,999
11010007,11010007,Dev,1T 양손검(기본 제작),[임시] 1T 양손검(기본 제작),,Equipment,202,Tier1,Common,1,0,100,1,Unbound,[22],1,911010007,FALSE,0,,,FALSE,FALSE,TwohandSword,0,999
11010008,11010008,Dev,1T 단검(기본 제작),[임시] 1T 단검(기본 제작),,Equipment,203,Tier1,Common,1,0,100,1,Unbound,[22],1,911010008,FALSE,0,,,FALSE,FALSE,Dagger,0,999
11010009,11010009,Dev,1T 활(기본 제작),[임시] 1T 활(기본 제작),,Equipment,204,Tier1,Common,1,0,100,1,Unbound,[22],1,911010009,FALSE,0,,,FALSE,FALSE,Bow,0,999
11010010,11010010,Dev,1T 지팡이(기본 제작),[임시] 1T 지팡이(기본 제작),,Equipment,205,Tier1,Common,1,0,100,1,Unbound,[22],1,911010010,FALSE,0,,,FALSE,FALSE,Staff,0,999
11010501,11010501,Dev,1T 장검(시작템)_SR,[임시] 1T 장검(시작템)_SR,,Equipment,0,Tier1,Common,1,0,100,1,Unbound,[22],1,911010501,FALSE,0,,,FALSE,FALSE,OnehandSword,0,999
11010502,11010502,Dev,1T 양손검(시작템)_SR,[임시] 1T 양손검(시작템)_SR,,Equipment,202,Tier1,Common,1,0,100,1,Unbound,[22],1,911010502,FALSE,0,,,FALSE,FALSE,TwohandSword,0,999
11010503,11010503,Dev,1T 단검(시작템)_SR,[임시] 1T 단검(시작템)_SR,,Equipment,203,Tier1,Common,1,0,100,1,Unbound,[22],1,911010503,FALSE,0,,,FALSE,FALSE,Dagger,0,999
11010504,11010504,Dev,1T 활(시작템)_SR,[임시] 1T 활(시작템)_SR,,Equipment,204,Tier1,Common,1,0,100,1,Unbound,[22],1,911010504,FALSE,0,,,FALSE,FALSE,Bow,0,999
11010505,11010505,Dev,1T 지팡이(시작템)_SR,[임시] 1T 지팡이(시작템)_SR,,Equipment,205,Tier1,Common,1,0,100,1,Unbound,[22],1,911010505,FALSE,0,,,FALSE,FALSE,Staff,0,999
11010506,11010506,Dev,1T 장검(기본 제작)_SR,[임시] 1T 장검(기본 제작)_SR,,Equipment,0,Tier1,Common,1,0,100,1,Unbound,[22],1,911010506,FALSE,0,,,FALSE,FALSE,OnehandSword,0,999
11010507,11010507,Dev,1T 양손검(기본 제작)_SR,[임시] 1T 양손검(기본 제작)_SR,,Equipment,202,Tier1,Common,1,0,100,1,Unbound,[22],1,911010507,FALSE,0,,,FALSE,FALSE,TwohandSword,0,999
