OID,Cid,Milestone,Comment,ConsumeCategory,ConsumeKind,Value,ConsumeExclusive,CombatUsable,GlobalCooldownGroup,CooldownTime,CooldownGroup,CostLabor
1,1,Dev,,AccessoryEnhanceResource,Potion,1,Any,Any,100,0,0,0
41010001,41010001,Dev,,LaborPotion,Potion,100,Any,Any,100,0,0,0
41010002,41010002,Dev,,LaborPotion,Potion,1000,Any,Any,100,0,0,0
41010003,41010003,Dev,,LaborPotion,Potion,10000,Any,Any,100,0,0,0
41010004,41010004,Dev,,UseSkill,Potion,20001,Any,Any,110,60000,110,0
41010005,41010005,Dev,,UseSkill,Potion,20004,Any,Any,120,60000,120,0
41010006,41010006,Dev,,UseSkill,Food,20011,Any,NonCombat,610,20000,610,0
41010007,41010007,Dev,,UseSkill,Food,20012,Any,NonCombat,620,20000,620,0
41010008,41010008,Dev,,UseSkill,Food,20009,Any,Any,640,20000,640,0
41010009,41010009,Dev,,UseSkill,Food,20010,Any,Any,630,20000,630,0
41030003,41030003,Dev,,UseSkill,Food,20016,Any,NonCombat,610,20000,610,0
41030004,41030004,Dev,,UseSkill,Food,20017,Any,NonCombat,620,20000,620,0
41030005,41030005,Dev,,UseSkill,Food,20014,Any,Any,640,20000,640,0
41030006,41030006,Dev,,UseSkill,Food,20015,Any,Any,630,20000,630,0
41030007,41030007,Dev,,UseSkill,Potion,20002,Any,Any,110,60000,110,0
41030008,41030008,Dev,,UseSkill,Potion,20005,Any,Any,120,60000,120,0
41050001,41050001,Dev,,UseSkill,Potion,20003,Any,Any,110,60000,110,0
41050002,41050002,Dev,,UseSkill,Potion,20006,Any,Any,120,60000,120,0
43010009,43010009,Dev,,SpawnDoodad,Doodad,401008,Any,Any,120,60000,120,0
42010001,42010001,Dev,,LootAll,LootBox,401,Any,Any,300,0,0,0
42010002,42010002,Dev,,LootAll,LootBox,402,Any,Any,300,0,0,0
42010003,42010003,Dev,,LootAll,LootBox,403,Any,Any,300,0,0,0
42010004,42010004,Dev,,LootAll,LootBox,91001,Any,Any,300,0,0,0
42010005,42010005,Dev,,LootAll,LootBox,421,Any,Any,300,0,0,0
42010006,42010006,Dev,,LootAll,LootBox,555,Any,Any,300,0,0,0
42010007,42010007,Dev,,LootAll,LootBox,611,Any,Any,300,0,0,0
42010008,42010008,Dev,,LootAll,LootBox,10001,Any,Any,300,0,0,0
42010009,42010009,Dev,,LootAll,LootBox,10101,Any,Any,300,0,0,0
42010010,42010010,Dev,,LootAll,LootBox,10201,Any,Any,300,0,0,0
42010011,42010011,Dev,,LootAll,LootBox,10301,Any,Any,300,0,0,0
42019003,42019003,Dev,,LootAll,LootBox,405,Any,Any,300,0,0,0
42020001,42020001,Dev,,LootAll,LootBox,91002,Any,Any,300,0,0,0
42020002,42020002,Dev,,LootAll,LootBox,556,Any,Any,300,0,0,0
42020003,42020003,Dev,,LootAll,LootBox,621,Any,Any,300,0,0,0
42020004,42020004,Dev,,LootAll,LootBox,10002,Any,Any,300,0,0,0
42020005,42020005,Dev,,LootAll,LootBox,10102,Any,Any,300,0,0,0
42020006,42020006,Dev,,LootAll,LootBox,10202,Any,Any,300,0,0,0
42020007,42020007,Dev,,LootAll,LootBox,10302,Any,Any,300,0,0,0
42030001,42030001,Dev,,LootRandom,LootBox,1000021,Any,Any,300,0,0,0
42030002,42030002,Dev,,LootRandom,LootBox,1000031,Any,Any,300,0,0,0
42030003,42030003,Dev,,LootRandom,LootBox,1000041,Any,Any,300,0,0,0
42030004,42030004,Dev,,LootRandom,LootBox,1000051,Any,Any,300,0,0,0
42030005,42030005,Dev,,LootAll,LootBox,531,Any,Any,300,0,0,0
42030006,42030006,Dev,,LootAll,LootBox,557,Any,Any,300,0,0,0
42030007,42030007,Dev,,LootAll,LootBox,631,Any,Any,300,0,0,0
42030008,42030008,Dev,,LootAll,LootBox,10003,Any,Any,300,0,0,0
42030009,42030009,Dev,,LootAll,LootBox,10103,Any,Any,300,0,0,0
42030010,42030010,Dev,,LootAll,LootBox,10203,Any,Any,300,0,0,0
42030011,42030011,Dev,,LootAll,LootBox,10303,Any,Any,300,0,0,0
42030012,42030012,Dev,,LootRandom,LootBox,10403,Any,Any,300,0,0,0
42040001,42040001,Dev,,LootRandom,LootBox,1000061,Any,Any,300,0,0,0
42040002,42040002,Dev,,LootAll,LootBox,541,Any,Any,300,0,0,0
42040003,42040003,Dev,,LootAll,LootBox,558,Any,Any,300,0,0,0
42040004,42040004,Dev,,LootAll,LootBox,641,Any,Any,300,0,0,0
42040005,42040005,Dev,,LootAll,LootBox,10004,Any,Any,300,0,0,0
42040006,42040006,Dev,,LootAll,LootBox,10104,Any,Any,300,0,0,0
42040007,42040007,Dev,,LootAll,LootBox,10204,Any,Any,300,0,0,0
42040008,42040008,Dev,,LootAll,LootBox,10304,Any,Any,300,0,0,0
42040009,42040009,Dev,,LootAll,LootBox,10404,Any,Any,300,0,0,0
42050001,42050001,Dev,,LootAll,LootBox,551,Any,Any,300,0,0,0
42050002,42050002,Dev,,LootAll,LootBox,559,Any,Any,300,0,0,0
42050003,42050003,Dev,,LootAll,LootBox,651,Any,Any,300,0,0,0
42050004,42050004,Dev,,LootAll,LootBox,10005,Any,Any,300,0,0,0
42050005,42050005,Dev,,LootAll,LootBox,10105,Any,Any,300,0,0,0
42050006,42050006,Dev,,LootAll,LootBox,10205,Any,Any,300,0,0,0
42050007,42050007,Dev,,LootAll,LootBox,10305,Any,Any,300,0,0,0
42050008,42050008,Dev,,LootAll,LootBox,10405,Any,Any,300,0,0,0
42060001,42060001,Dev,,LootAll,LootBox,560,Any,Any,300,0,0,0
42060002,42060002,Dev,,LootAll,LootBox,661,Any,Any,300,0,0,0
42060003,42060003,Dev,,LootAll,LootBox,10006,Any,Any,300,0,0,0
42060004,42060004,Dev,,LootAll,LootBox,10106,Any,Any,300,0,0,0
42060005,42060005,Dev,,LootAll,LootBox,10206,Any,Any,300,0,0,0
42060006,42060006,Dev,,LootAll,LootBox,10306,Any,Any,300,0,0,0
42060007,42060007,Dev,,LootAll,LootBox,10406,Any,Any,300,0,0,0
42070001,42070001,Dev,,LootAll,LootBox,561,Any,Any,300,0,0,0
42070002,42070002,Dev,,LootAll,LootBox,671,Any,Any,300,0,0,0
42070003,42070003,Dev,,LootAll,LootBox,10007,Any,Any,300,0,0,0
42070004,42070004,Dev,,LootAll,LootBox,10107,Any,Any,300,0,0,0
42070005,42070005,Dev,,LootAll,LootBox,10207,Any,Any,300,0,0,0
42070006,42070006,Dev,,LootAll,LootBox,10307,Any,Any,300,0,0,0
42070007,42070007,Dev,,LootAll,LootBox,10407,Any,Any,300,0,0,0
42990001,42990001,Dev,,LootAll,LootBox,91003,Any,Any,300,0,0,0
42990002,42990002,Dev,,LootAll,LootBox,401,Any,Any,300,0,0,0
42990004,42990004,Dev,,LootAll,LootBox,552,Any,Any,300,0,0,0
42990005,42990005,Dev,,LootAll,LootBox,553,Any,Any,300,0,0,0
42990006,42990006,Dev,,LootAll,LootBox,554,Any,Any,300,0,0,0
42990007,42990007,Dev,,LootAll,LootBox,42990007,Any,Any,300,0,0,0
42990008,42990008,Dev,,LootAll,LootBox,429900081,Any,Any,300,0,0,0
43010004,43010004,Dev,,WeaponEnhanceResource,EquipmentEnhance,0,Class,NonCombat,100,0,0,0
43010005,43010005,Dev,,WeaponEnhanceBless,EquipmentEnhance,0,Class,NonCombat,100,0,0,0
43010006,43010006,Dev,,ArmorEnhanceResource,EquipmentEnhance,0,Class,NonCombat,100,0,0,0
43010007,43010007,Dev,,AccessoryEnhanceResource,EquipmentEnhance,0,Class,NonCombat,100,0,0,0
43010008,43010008,Dev,,UseSkill,Teleport,73000001,Class,NonCombat,130,10000,130,0
43020001,43020001,Dev,,ArmorEnhanceBless,EquipmentEnhance,0,Class,NonCombat,100,0,0,0
43020002,43020002,Dev,,AccessoryEnhanceBless,EquipmentEnhance,0,Class,NonCombat,100,0,0,0
43030001,43030001,Dev,,MasteryExpUp,MasteryExpBook,1001,Any,Any,300,0,0,0
43030002,43030002,Dev,,MasteryExpUp,MasteryExpBook,2001,Any,Any,300,0,0,0
43030003,43030003,Dev,,MasteryExpUp,MasteryExpBook,2101,Any,Any,300,0,0,0
43030004,43030004,Dev,,MasteryExpUp,MasteryExpBook,2201,Any,Any,300,0,0,0
43030005,43030005,Dev,,MasteryExpUp,MasteryExpBook,2301,Any,Any,300,0,0,0
43030006,43030006,Dev,,MasteryExpUp,MasteryExpBook,3001,Any,Any,300,0,0,0
43030007,43030007,Dev,,MasteryExpUp,MasteryExpBook,3101,Any,Any,300,0,0,0
43030008,43030008,Dev,,MasteryExpUp,MasteryExpBook,3201,Any,Any,300,0,0,0
43030009,43030009,Dev,,MasteryExpUp,MasteryExpBook,3301,Any,Any,300,0,0,0
43030010,43030010,Dev,,MasteryExpUp,MasteryExpBook,3401,Any,Any,300,0,0,0
43030011,43030011,Dev,,MasteryExpUp,MasteryExpBook,3501,Any,Any,300,0,0,0
43030012,43030012,Dev,,MasteryExpUp,MasteryExpBook,3601,Any,Any,300,0,0,0
43030013,43030013,Dev,,MasteryExpUp,MasteryExpBook,3701,Any,Any,300,0,0,0
43040001,43040001,Dev,,MasteryExpUp,MasteryExpBook,1002,Any,Any,300,0,0,0
43040002,43040002,Dev,,MasteryExpUp,MasteryExpBook,2002,Any,Any,300,0,0,0
43040003,43040003,Dev,,MasteryExpUp,MasteryExpBook,2102,Any,Any,300,0,0,0
43040004,43040004,Dev,,MasteryExpUp,MasteryExpBook,2202,Any,Any,300,0,0,0
43040005,43040005,Dev,,MasteryExpUp,MasteryExpBook,2302,Any,Any,300,0,0,0
43040006,43040006,Dev,,MasteryExpUp,MasteryExpBook,3002,Any,Any,300,0,0,0
43040007,43040007,Dev,,MasteryExpUp,MasteryExpBook,3102,Any,Any,300,0,0,0
43040008,43040008,Dev,,MasteryExpUp,MasteryExpBook,3202,Any,Any,300,0,0,0
43040009,43040009,Dev,,MasteryExpUp,MasteryExpBook,3302,Any,Any,300,0,0,0
43040010,43040010,Dev,,MasteryExpUp,MasteryExpBook,3402,Any,Any,300,0,0,0
43040011,43040011,Dev,,MasteryExpUp,MasteryExpBook,3502,Any,Any,300,0,0,0
43040012,43040012,Dev,,MasteryExpUp,MasteryExpBook,3602,Any,Any,300,0,0,0
43040013,43040013,Dev,,MasteryExpUp,MasteryExpBook,3702,Any,Any,300,0,0,0
43050001,43050001,Dev,,MasteryExpUp,MasteryExpBook,1003,Any,Any,300,0,0,0
43050002,43050002,Dev,,MasteryExpUp,MasteryExpBook,2003,Any,Any,300,0,0,0
43050003,43050003,Dev,,MasteryExpUp,MasteryExpBook,2103,Any,Any,300,0,0,0
43050004,43050004,Dev,,MasteryExpUp,MasteryExpBook,2203,Any,Any,300,0,0,0
43050005,43050005,Dev,,MasteryExpUp,MasteryExpBook,2303,Any,Any,300,0,0,0
43050006,43050006,Dev,,MasteryExpUp,MasteryExpBook,3003,Any,Any,300,0,0,0
43050007,43050007,Dev,,MasteryExpUp,MasteryExpBook,3103,Any,Any,300,0,0,0
43050008,43050008,Dev,,MasteryExpUp,MasteryExpBook,3203,Any,Any,300,0,0,0
43050009,43050009,Dev,,MasteryExpUp,MasteryExpBook,3303,Any,Any,300,0,0,0
43050010,43050010,Dev,,MasteryExpUp,MasteryExpBook,3403,Any,Any,300,0,0,0
43050011,43050011,Dev,,MasteryExpUp,MasteryExpBook,3503,Any,Any,300,0,0,0
43050012,43050012,Dev,,MasteryExpUp,MasteryExpBook,3603,Any,Any,300,0,0,0
43050013,43050013,Dev,,MasteryExpUp,MasteryExpBook,3703,Any,Any,300,0,0,0
43060001,43060001,Dev,,MasteryExpUp,MasteryExpBook,1004,Any,Any,300,0,0,0
43060002,43060002,Dev,,MasteryExpUp,MasteryExpBook,2004,Any,Any,300,0,0,0
43060003,43060003,Dev,,MasteryExpUp,MasteryExpBook,2104,Any,Any,300,0,0,0
43060004,43060004,Dev,,MasteryExpUp,MasteryExpBook,2204,Any,Any,300,0,0,0
43060005,43060005,Dev,,MasteryExpUp,MasteryExpBook,2304,Any,Any,300,0,0,0
43060006,43060006,Dev,,MasteryExpUp,MasteryExpBook,3004,Any,Any,300,0,0,0
43060007,43060007,Dev,,MasteryExpUp,MasteryExpBook,3104,Any,Any,300,0,0,0
43060008,43060008,Dev,,MasteryExpUp,MasteryExpBook,3204,Any,Any,300,0,0,0
43060009,43060009,Dev,,MasteryExpUp,MasteryExpBook,3304,Any,Any,300,0,0,0
43060010,43060010,Dev,,MasteryExpUp,MasteryExpBook,3404,Any,Any,300,0,0,0
43060011,43060011,Dev,,MasteryExpUp,MasteryExpBook,3504,Any,Any,300,0,0,0
43060012,43060012,Dev,,MasteryExpUp,MasteryExpBook,3604,Any,Any,300,0,0,0
43060013,43060013,Dev,,MasteryExpUp,MasteryExpBook,3704,Any,Any,300,0,0,0
43070001,43070001,Dev,,MasteryExpUp,MasteryExpBook,1005,Any,Any,300,0,0,0
43070002,43070002,Dev,,MasteryExpUp,MasteryExpBook,2005,Any,Any,300,0,0,0
43070003,43070003,Dev,,MasteryExpUp,MasteryExpBook,2105,Any,Any,300,0,0,0
43070004,43070004,Dev,,MasteryExpUp,MasteryExpBook,2205,Any,Any,300,0,0,0
43070005,43070005,Dev,,MasteryExpUp,MasteryExpBook,2305,Any,Any,300,0,0,0
43070006,43070006,Dev,,MasteryExpUp,MasteryExpBook,3005,Any,Any,300,0,0,0
43070007,43070007,Dev,,MasteryExpUp,MasteryExpBook,3105,Any,Any,300,0,0,0
43070008,43070008,Dev,,MasteryExpUp,MasteryExpBook,3205,Any,Any,300,0,0,0
43070009,43070009,Dev,,MasteryExpUp,MasteryExpBook,3305,Any,Any,300,0,0,0
43070010,43070010,Dev,,MasteryExpUp,MasteryExpBook,3405,Any,Any,300,0,0,0
43070011,43070011,Dev,,MasteryExpUp,MasteryExpBook,3505,Any,Any,300,0,0,0
43070012,43070012,Dev,,MasteryExpUp,MasteryExpBook,3605,Any,Any,300,0,0,0
43070013,43070013,Dev,,MasteryExpUp,MasteryExpBook,3705,Any,Any,300,0,0,0
44010001,44010001,Dev,,PetBox,PetEgg,50,Any,Any,300,0,0,0
44010002,44010002,Dev,,PetBox,PetEgg,40,Any,Any,300,0,0,0
44010003,44010003,Dev,,PetBox,PetEgg,41,Any,Any,300,0,0,0
44010004,44010004,Dev,,PetBox,PetEgg,42,Any,Any,300,0,0,0
44010005,44010005,Dev,,PetBox,PetEgg,43,Any,Any,300,0,0,0
44010006,44010006,Dev,,PetBox,PetEgg,44,Any,Any,300,0,0,0
44010007,44010007,Dev,,SummonMount,Mount,109,Any,Any,400,0,0,0
44010008,44010008,Dev,,SummonMount,Mount,101,Any,Any,400,0,0,0
44010009,44010009,Dev,,SummonMount,Mount,101,Any,Any,400,0,0,0
44010010,44010010,Dev,,SummonMount,Mount,102,Any,Any,400,0,0,0
44010011,44010011,Dev,,SummonMount,Mount,107,Any,Any,400,0,0,0
44010012,44010012,Dev,,SummonMount,Mount,201,Any,Any,400,0,0,0
44010013,44010013,Dev,,SummonMount,Mount,202,Any,Any,400,0,0,0
44010014,44010014,Dev,,SummonMount,Mount,203,Any,Any,400,0,0,0
44010015,44010015,Dev,,SummonMount,Mount,204,Any,Any,400,0,0,0
44010016,44010016,Dev,,SummonMount,Mount,205,Any,Any,400,0,0,0
44010017,44010017,Dev,,SummonMount,Mount,206,Any,Any,400,0,0,0
44010018,44010018,Dev,,SummonMount,Mount,207,Any,Any,400,0,0,0
44010019,44010019,Dev,,SummonMount,Mount,208,Any,Any,400,0,0,0
44010020,44010020,Dev,,SummonMount,Mount,101001,Any,Any,400,0,0,0
44010021,44010021,Dev,,SummonMount,Mount,101002,Any,Any,400,0,0,0
44010022,44010022,Dev,,SummonMount,Mount,101003,Any,Any,400,0,0,0
44010023,44010023,Dev,,SummonMount,Mount,201001,Any,Any,400,0,0,0
44010024,44010024,Dev,,SummonMount,Mount,201002,Any,Any,400,0,0,0
44010025,44010025,Dev,,SummonMount,Mount,201003,Any,Any,400,0,0,0
44010026,44010026,Dev,,SummonMount,Mount,301001,Any,Any,400,0,0,0
44010027,44010027,Dev,,SummonMount,Mount,301002,Any,Any,400,0,0,0
44010028,44010028,Dev,,SummonMount,Mount,301003,Any,Any,400,0,0,0
44010029,44010029,Dev,,SummonMount,Mount,401001,Any,Any,400,0,0,0
44010030,44010030,Dev,,SummonMount,Mount,401002,Any,Any,400,0,0,0
44010031,44010031,Dev,,SummonMount,Mount,401003,Any,Any,400,0,0,0
