OID,Cid,Milestone,Comment,RequiredItemGrade,GroupId,OptionType,OptionValue,Prob
101,101,Dev,일반 등급 무기 옵션,Common,100,StatModified,10101,100
102,102,Dev,일반 등급 무기 옵션,Common,100,StatModified,10102,100
103,103,Dev,일반 등급 무기 옵션,Common,100,StatModified,10103,100
104,104,Dev,고급 등급 무기 옵션,Uncommon,100,StatModified,10104,100
105,105,Dev,고급 등급 무기 옵션,Uncommon,100,StatModified,10105,100
106,106,Dev,고급 등급 무기 옵션,Uncommon,100,StatModified,10106,100
107,107,Dev,희귀 등급 무기 옵션,Rare,100,StatModified,10107,100
108,108,Dev,희귀 등급 무기 옵션,Rare,100,StatModified,10108,100
109,109,Dev,희귀 등급 무기 옵션,Rare,100,StatModified,10109,100
201,201,Dev,일반 등급 무기 옵션,Common,200,StatModified,10201,100
202,202,Dev,일반 등급 무기 옵션,Common,200,StatModified,10202,100
203,203,Dev,일반 등급 무기 옵션,Common,200,StatModified,10203,100
204,204,Dev,고급 등급 무기 옵션,Uncommon,200,StatModified,10204,100
205,205,Dev,고급 등급 무기 옵션,Uncommon,200,StatModified,10205,100
206,206,Dev,고급 등급 무기 옵션,Uncommon,200,StatModified,10206,100
207,207,Dev,희귀 등급 무기 옵션,Rare,200,StatModified,10207,100
208,208,Dev,희귀 등급 무기 옵션,Rare,200,StatModified,10208,100
209,209,Dev,희귀 등급 무기 옵션,Rare,200,StatModified,10209,100
301,301,Dev,일반 등급 무기 옵션,Common,300,StatModified,10301,100
302,302,Dev,일반 등급 무기 옵션,Common,300,StatModified,10302,100
303,303,Dev,일반 등급 무기 옵션,Common,300,StatModified,10303,100
304,304,Dev,고급 등급 무기 옵션,Uncommon,300,StatModified,10304,100
305,305,Dev,고급 등급 무기 옵션,Uncommon,300,StatModified,10305,100
306,306,Dev,고급 등급 무기 옵션,Uncommon,300,StatModified,10306,100
307,307,Dev,희귀 등급 무기 옵션,Rare,300,StatModified,10307,100
308,308,Dev,희귀 등급 무기 옵션,Rare,300,StatModified,10308,100
309,309,Dev,희귀 등급 무기 옵션,Rare,300,StatModified,10309,100
401,401,Dev,일반 등급 무기 옵션,Common,400,StatModified,10401,100
402,402,Dev,일반 등급 무기 옵션,Common,400,StatModified,10402,100
403,403,Dev,일반 등급 무기 옵션,Common,400,StatModified,10403,100
404,404,Dev,고급 등급 무기 옵션,Uncommon,400,StatModified,10404,100
405,405,Dev,고급 등급 무기 옵션,Uncommon,400,StatModified,10405,100
406,406,Dev,고급 등급 무기 옵션,Uncommon,400,StatModified,10406,100
407,407,Dev,희귀 등급 무기 옵션,Rare,400,StatModified,10407,100
408,408,Dev,희귀 등급 무기 옵션,Rare,400,StatModified,10408,100
409,409,Dev,희귀 등급 무기 옵션,Rare,400,StatModified,10409,100
501,501,Dev,일반 등급 무기 옵션,Common,500,StatModified,10501,100
502,502,Dev,일반 등급 무기 옵션,Common,500,StatModified,10502,100
503,503,Dev,일반 등급 무기 옵션,Common,500,StatModified,10503,100
504,504,Dev,고급 등급 무기 옵션,Uncommon,500,StatModified,10504,100
505,505,Dev,고급 등급 무기 옵션,Uncommon,500,StatModified,10505,100
506,506,Dev,고급 등급 무기 옵션,Uncommon,500,StatModified,10506,100
507,507,Dev,희귀 등급 무기 옵션,Rare,500,StatModified,10507,100
508,508,Dev,희귀 등급 무기 옵션,Rare,500,StatModified,10508,100
509,509,Dev,희귀 등급 무기 옵션,Rare,500,StatModified,10509,100
