OID,Cid,Milestone,Comment,EquipmentCategory,Kind,ItemBaseStatModifiedCids,ItemGradeInfoCid,ItemEnhanceInfoCid,ItemEnchantInfoCid,ItemAdditionalOptionCids,IsDeathPenaltyLoss,MaxDurability,UiDurabilityPer,RepairPrice,WearGroup,WeaponNormalSkillCid,ItemSkillSlots
11010001,11010001,Dev,1T 장검(시작템),OnehandSword,Weapon,"[1101,1]",1100,10100,101,,TRUE,10000,10,5,11010001,2,"[100201,100251,100301,100351]"
11010002,11010002,Dev,1T 양손검(시작템),TwohandSword,Weapon,[1101],1100,10100,101,,TRUE,10000,10,5,11010002,3,"[200401,200451,200501,200551]"
11010003,11010003,Dev,1T 단검(시작템),Dagger,Weapon,[1101],1100,10100,101,,TRUE,10000,10,5,11010003,4,"[500401,500451,500501,500551]"
11010004,11010004,Dev,1T 활(시작템),Bow,Weapon,[1101],1100,10100,101,,TRUE,10000,10,5,11010004,5,"[300401,300451,300501,300551]"
11010005,11010005,Dev,1T 지팡이(시작템),Staff,Weapon,[1101],1100,10100,101,,TRUE,10000,10,5,11010005,6,"[400201,400251,400301,400351]"
11010006,11010006,Dev,1T 장검(기본 제작),OnehandSword,Weapon,[1101],1100,10100,101,,TRUE,10000,10,5,11010006,2,"[100201,100251,100301,100351]"
11010007,11010007,Dev,1T 양손검(기본 제작),TwohandSword,Weapon,[1101],1100,10100,101,,TRUE,10000,10,5,11010007,3,"[200401,200451,200501,200551]"
11010008,11010008,Dev,1T 단검(기본 제작),Dagger,Weapon,[1101],1100,10100,101,,TRUE,10000,10,5,11010008,4,"[500401,500451,500501,500551]"
11010009,11010009,Dev,1T 활(기본 제작),Bow,Weapon,[1101],1100,10100,101,,TRUE,10000,10,5,11010010,5,"[300401,300451,300501,300551]"
11010010,11010010,Dev,1T 지팡이(기본 제작),Staff,Weapon,[1101],1100,10100,101,,TRUE,10000,10,5,11010012,6,"[400201,400251,400301,400351]"
11010501,11010501,Dev,1T 장검(시작템)_SR,OnehandSword,Weapon,[1101],1100,10100,101,,TRUE,10000,10,5,11010001,2,"[100201,100251,100301]"
11010502,11010502,Dev,1T 양손검(시작템)_SR,TwohandSword,Weapon,[1101],1100,10100,101,,TRUE,10000,10,5,11010002,3,"[200401,200451,200501]"
11010503,11010503,Dev,1T 단검(시작템)_SR,Dagger,Weapon,[1101],1100,10100,101,,TRUE,10000,10,5,11010003,4,"[500401,500451,500501]"
11010504,11010504,Dev,1T 활(시작템)_SR,Bow,Weapon,[1101],1100,10100,101,,TRUE,10000,10,5,11010004,5,"[300401,300451,300501]"
11010505,11010505,Dev,1T 지팡이(시작템)_SR,Staff,Weapon,[1101],1100,10100,101,,TRUE,10000,10,5,11010005,6,"[400201,400251,400301]"
11010506,11010506,Dev,1T 장검(기본 제작)_SR,OnehandSword,Weapon,[1101],1100,10100,101,,TRUE,10000,10,5,11010006,2,"[100201,100251,100301,100351]"
11010507,11010507,Dev,1T 양손검(기본 제작)_SR,TwohandSword,Weapon,[1101],1100,10100,101,,TRUE,10000,10,5,11010007,3,"[200401,200451,200501,200551]"
11010508,11010508,Dev,1T 단검(기본 제작)_SR,Dagger,Weapon,[1101],1100,10100,101,,TRUE,10000,10,5,11010008,4,"[500401,500451,500501,500551]"
11010509,11010509,Dev,1T 활(기본 제작)_SR,Bow,Weapon,[1101],1100,10100,101,,TRUE,10000,10,5,11010010,5,"[300401,300451,300501,300551]"
11010510,11010510,Dev,1T 지팡이(기본 제작)_SR,Staff,Weapon,[1101],1100,10100,101,,TRUE,10000,10,5,11010012,6,"[400201,400251,400301,400351]"
11020001,11020001,Dev,2T 장검(전리품 제작),OnehandSword,Weapon,[1102],1200,10200,101,,TRUE,10000,10,10,11020001,2,"[100201,100251,100301,100351]"
