OID,Cid,Milestone,Comment,ItemCid,EnhanceStep,StatModifiedIds
170100010,170100010,Dev,누이안 카드,17010001,0,[60001]
170100011,170100011,Dev,누이안 카드,17010001,1,[60002]
170100012,170100012,Dev,누이안 카드,17010001,2,[60003]
170100013,170100013,Dev,누이안 카드,17010001,3,[60004]
170100014,170100014,Dev,누이안 카드,17010001,4,[60005]
170100015,170100015,Dev,누이안 카드,17010001,5,[60006]
170100020,170100020,Dev,오크 카드,17010002,0,[60013]
170100021,170100021,Dev,오크 카드,17010002,1,[60014]
170100022,170100022,Dev,오크 카드,17010002,2,[60015]
170100023,170100023,Dev,오크 카드,17010002,3,[60016]
170100024,170100024,Dev,오크 카드,17010002,4,[60017]
170100025,170100025,Dev,오크 카드,17010002,5,[60018]
170100030,170100030,Dev,놀 카드,17010003,0,[60007]
170100031,170100031,Dev,놀 카드,17010003,1,[60008]
170100032,170100032,Dev,놀 카드,17010003,2,[60009]
170100033,170100033,Dev,놀 카드,17010003,3,[60010]
170100034,170100034,Dev,놀 카드,17010003,4,[60011]
170100035,170100035,Dev,놀 카드,17010003,5,[60012]
170100040,170100040,Dev,스켈레톤 카드,17010004,0,[60019]
170100041,170100041,Dev,스켈레톤 카드,17010004,1,[60020]
170100042,170100042,Dev,스켈레톤 카드,17010004,2,[60021]
170100043,170100043,Dev,스켈레톤 카드,17010004,3,[60022]
170100044,170100044,Dev,스켈레톤 카드,17010004,4,[60023]
170100045,170100045,Dev,스켈레톤 카드,17010004,5,[60024]
170100050,170100050,Dev,팬텀 카드,17010005,0,[60037]
170100051,170100051,Dev,팬텀 카드,17010005,1,[60038]
170100052,170100052,Dev,팬텀 카드,17010005,2,[60039]
170100053,170100053,Dev,팬텀 카드,17010005,3,[60040]
170100054,170100054,Dev,팬텀 카드,17010005,4,[60041]
170100055,170100055,Dev,팬텀 카드,17010005,5,[60042]
170100060,170100060,Dev,물 정령 카드,17010006,0,[60043]
170100061,170100061,Dev,물 정령 카드,17010006,1,[60044]
170100062,170100062,Dev,물 정령 카드,17010006,2,[60045]
170100063,170100063,Dev,물 정령 카드,17010006,3,[60046]
170100064,170100064,Dev,물 정령 카드,17010006,4,[60047]
170100065,170100065,Dev,물 정령 카드,17010006,5,[60048]
170100070,170100070,Dev,나무 정령 카드,17010007,0,[60049]
170100071,170100071,Dev,나무 정령 카드,17010007,1,[60050]
170100072,170100072,Dev,나무 정령 카드,17010007,2,[60051]
170100073,170100073,Dev,나무 정령 카드,17010007,3,[60052]
170100074,170100074,Dev,나무 정령 카드,17010007,4,[60053]
170100075,170100075,Dev,나무 정령 카드,17010007,5,[60054]
170100080,170100080,Dev,바위 정령 카드,17010008,0,[60049]
170100081,170100081,Dev,바위 정령 카드,17010008,1,[60050]
170100082,170100082,Dev,바위 정령 카드,17010008,2,[60051]
170100083,170100083,Dev,바위 정령 카드,17010008,3,[60052]
170100084,170100084,Dev,바위 정령 카드,17010008,4,[60053]
170100085,170100085,Dev,바위 정령 카드,17010008,5,[60054]
170100090,170100090,Dev,이끼 정령 카드,17010009,0,[60049]
170100091,170100091,Dev,이끼 정령 카드,17010009,1,[60050]
170100092,170100092,Dev,이끼 정령 카드,17010009,2,[60051]
170100093,170100093,Dev,이끼 정령 카드,17010009,3,[60052]
170100094,170100094,Dev,이끼 정령 카드,17010009,4,[60053]
170100095,170100095,Dev,이끼 정령 카드,17010009,5,[60054]
170200010,170200010,Dev,오크 족장 카드,17020001,0,[60031]
170200011,170200011,Dev,오크 족장 카드,17020001,1,[60032]
170200012,170200012,Dev,오크 족장 카드,17020001,2,[60033]
170200013,170200013,Dev,오크 족장 카드,17020001,3,[60034]
170200014,170200014,Dev,오크 족장 카드,17020001,4,[60035]
170200015,170200015,Dev,오크 족장 카드,17020001,5,[60036]
170200020,170200020,Dev,놀 우두머리 카드,17020002,0,[60025]
170200021,170200021,Dev,놀 우두머리 카드,17020002,1,[60026]
170200022,170200022,Dev,놀 우두머리 카드,17020002,2,[60027]
170200023,170200023,Dev,놀 우두머리 카드,17020002,3,[60028]
170200024,170200024,Dev,놀 우두머리 카드,17020002,4,[60029]
170200025,170200025,Dev,놀 우두머리 카드,17020002,5,[60030]
170300010,170300010,Dev,스칼니토스 카드,17030001,0,[60055]
170300011,170300011,Dev,스칼니토스 카드,17030001,1,[60056]
170300012,170300012,Dev,스칼니토스 카드,17030001,2,[60057]
170300013,170300013,Dev,스칼니토스 카드,17030001,3,[60058]
170300014,170300014,Dev,스칼니토스 카드,17030001,4,[60059]
170300015,170300015,Dev,스칼니토스 카드,17030001,5,[60060]
170300020,170300020,Dev,말카바돈 카드,17030002,0,[60061]
170300021,170300021,Dev,말카바돈 카드,17030002,1,[60062]
170300022,170300022,Dev,말카바돈 카드,17030002,2,[60063]
170300023,170300023,Dev,말카바돈 카드,17030002,3,[60064]
170300024,170300024,Dev,말카바돈 카드,17030002,4,[60065]
170300025,170300025,Dev,말카바돈 카드,17030002,5,[60066]
