OID,Cid,Milestone,Name,Comment,ItemCids
10010,10010,Dev,검은 사슬의 포식자,"오크 카드, 오크 족장 카드, 스칼니토스 카드","[17010002,17020001,17030001]"
10020,10020,Dev,해방된 야성,"놀 카드, 놀 우두머리 카드, 스칼니토스 카드","[17010003,17020002,17030001]"
10030,10030,Dev,문명과 야만,"누이안 카드, 오크 카드, 오크 족장 카드","[17010001,17010002,17020001]"
10040,10040,Dev,여신의 심판,"누이안 카드, 놀 카드, 놀 우두머리 카드","[17010001,17010003,17020002]"
10050,10050,Dev,원시의 결속,"오크 카드, 놀 카드, 해골 카드","[17010002,17010003,17010004]"
10060,10060,Dev,전장의 전우들,"해골 카드, 망령 카드, 오크 족장 카드","[17010004,17010005,17020001]"
10070,10070,Dev,불굴의 투지,"오크 카드, 망령 카드, 놀 우두머리 카드","[17010002,17010005,17020002]"
10080,10080,Dev,이니스의 군주,"놀 우두머리 카드, 오크 족장 카드, 스칼니토스 카드","[17020002,17020001,17030001]"
10090,10090,Dev,타락한 정령,"물 정령 카드, 나무 정령 카드, 말카바돈 카드","[17010006,17010007,17030002]"
10100,10100,Dev,어둠의 파수견,"놀 카드, 물 정령 카드, 놀 우두머리 카드","[17010003,17010006,17020002]"
10110,10110,Dev,파괴의 거신,"오크 카드, 스칼니토스 카드, 말카바돈 카드","[17010002,17030001,17030002]"
10120,10120,Dev,영원한 안식,"나무 정령 카드, 스칼니토스 카드, 말카바돈 카드","[17010007,17030001,17030002]"
