OID,Cid,Comment,Category,Group,Name
1,1,,UseSkill,skill,스킬
2,2,,LearnSkill,skill,스킬
3,3,,LootSelectable,loot,획득
4,4,,LootAll,loot,획득
5,5,,LootRandom,loot,획득
7,7,,PetBox,summon,소환
8,8,,SummonMount,summon,소환
9,9,,LearnPassive,passive,패시브
11,11,,EquipmentBreak,break,분해
12,12,,SkillScrollBreak,break,분해
13,13,,GiveQuest,quest,퀘스트
15,15,,WeaponArmorImbue,imbue,마법부여
16,16,,AccessoryImbue,imbue,마법부여
17,17,,BlessedWeaponArmorImbue,imbue,마법부여
18,18,,BlessedAccessoryImbue,imbue,마법부여
19,19,,DeleteImbue,imbue,마법부여
20,20,,OpenUi,ui,UI
21,21,,WeaponEnhanceResource,upgrade,강화
22,22,,WeaponEnhanceBless,upgrade,강화
24,24,,ArmorEnhanceResource,upgrade,강화
25,25,,ArmorEnhanceBless,upgrade,강화
27,27,,AccessoryEnhanceResource,upgrade,강화
28,28,,AccessoryEnhanceBless,upgrade,강화
31,31,,MountTrainResource,mount,탈것
32,32,,MountTrainBless,mount,탈것
35,35,,CashBox,box,박스
36,36,,LaborPotion,labor,노동력
38,38,,CharacterSlotAdd,slot,슬롯
39,39,,BuyDailyReward,daily,출석
40,40,,SkillImbue,skillImbue,기술부여
41,41,,BlessedSkillImbue,skillImbue,기술부여
