OID,Cid,Comment,LootDataCids,Proportions
1,1,논드랍,[1],[100]
2,2,돈1드랍,[2],[100]
10,10,여정의 시작 로브,[10],[100]
23,23,등짐,[23],[100]
24,24,등짐테스트,[24],[100]
25,25,등짐테스트,[25],[100]
26,26,등짐테스트,[26],[100]
28,28,목재상자,"[161,162,163,164,165,166,167]","[100,100,100,100,100,100,100]"
29,29,주괴상자,"[141,142,143,144,145,146,147]","[100,100,100,100,100,100,100]"
30,30,천상자,"[151,152,153,154,155,156,157]","[100,100,100,100,100,100,100]"
31,31,1티 원재료 상자,"[111,121,131,171]","[100,100,100,100]"
32,32,2티 원재료 상자,"[112,122,132,172]","[100,100,100,100]"
33,33,3티 원재료 상자,"[113,123,133,173]","[100,100,100,100]"
34,34,4티 원재료 상자,"[114,124,134,174]","[100,100,100,100]"
35,35,5티 원재료 상자,"[115,125,135,175]","[100,100,100,100]"
36,36,6티 원재료 상자,"[116,126,136,176]","[100,100,100,100]"
37,37,7티 원재료 상자,"[117,127,137,177]","[100,100,100,100]"
60,60,1티어 펫의알,"[59,60,61,62,63]","[20,20,20,20,20]"
80,80,4티어 펫상자,"[59,60,61,62,63]","[20,20,20,20,20]"
81,81,5티어 펫상자,"[64,65,66,67,68]","[20,20,20,20,20]"
90,90,4티어 클리오네,[59],[100]
91,91,4티어 페피,[60],[100]
92,92,4티어 파피리스,[61],[100]
93,93,4티어 붉은용,[62],[100]
94,94,4티어 빛의 사도 위니,[63],[100]
95,95,5티어 안탈론,[64],[100]
96,96,5티어 축복의 다그란,[65],[100]
97,97,5티어 마정령 엘룬드,[66],[100]
98,98,5티어 사도 아로마르,[67],[100]
99,99,5티어 검은 잔재 칼루안,[68],[100]
100,100,[알] 클리오네,[69],[100]
101,101,[알] 페피,[70],[100]
102,102,[알] 파피리스,[71],[100]
103,103,[알] 붉은용,[72],[100]
104,104,[알] 빛의 사도 위니,[73],[100]
105,105,[알] 안탈론,[74],[100]
106,106,[알] 축복의 다그란,[75],[100]
107,107,[알] 마정령 엘룬드,[76],[100]
108,108,[알] 사도 아로마르,[77],[100]
109,109,[알] 검은 잔재 칼루안,[78],[100]
111,111,1T_몬스터카드,"[405001,424000]","[100,100]"
112,112,2T_몬스터카드,"[415000,424001]","[100,100]"
113,113,3T_몬스터카드,"[405000,415001]","[100,100]"
114,114,4T_몬스터카드,"[424000,424001]","[60,40]"
115,115,5T_몬스터카드,"[415000,415001,405000,405001]","[40,40,10,10]"
