OID,Cid,MasteryCid,NextCid,Descs,Level,Exp,Tier,MasteryLevel,MasteryReward,MasteryTrigger
10101,10101,101,10102,"[""다양한 활동으로 숙련도를 획득""]",,0,Tier1,1,[10111],10111
10102,10102,101,10103,"[""다양한 활동으로 숙련도를 획득""]",,28800,Tier2,1,[10121],10121
10103,10103,101,10106,"[""다양한 활동으로 숙련도를 획득""]",,49740,Tier3,1,[10131],10131
10106,10106,101,10109,"[""다양한 활동으로 숙련도를 획득""]",,97200,Tier4,1,[10141],10141
10109,10109,101,10114,"[""다양한 활동으로 숙련도를 획득""]",,241860,Tier5,1,[10151],10151
10114,10114,101,10119,"[""다양한 활동으로 숙련도를 획득""]",,601800,Tier6,1,[10161],10161
10119,10119,101,,"[""다양한 활동으로 숙련도를 획득""]",,3105300,Tier7,1,[10171],10171
20201,20201,202,20202,"[""양손검을 장착하고 1티어 이상의 몬스터 처치""]",,0,Tier1,1,[20211],20211
20202,20202,202,20203,"[""양손검을 장착하고 2티어 이상의 몬스터 처치""]",,960,Tier2,1,[20221],20221
20203,20203,202,20204,"[""양손검을 장착하고 3티어 이상의 몬스터 처치""]",,2400,Tier3,1,[20231],20231
20204,20204,202,20205,"[""양손검을 장착하고 3티어 이상의 몬스터 처치""]",,4160,Tier3,2,[20232],20232
20205,20205,202,20206,"[""양손검을 장착하고 3티어 이상의 몬스터 처치""]",,7200,Tier3,3,[20233],20233
20206,20206,202,20207,"[""양손검을 장착하고 4티어 이상의 몬스터 처치""]",,9000,Tier4,1,[20241],20241
20207,20207,202,20208,"[""양손검을 장착하고 4티어 이상의 몬스터 처치""]",,11240,Tier4,2,[20242],20242
20208,20208,202,20209,"[""양손검을 장착하고 4티어 이상의 몬스터 처치""]",,14060,Tier4,3,[20243],20243
20209,20209,202,20210,"[""양손검을 장착하고 5티어 이상의 몬스터 처치""]",,16860,Tier5,1,[20251],20251
20210,20210,202,20211,"[""양손검을 장착하고 5티어 이상의 몬스터 처치""]",,20240,Tier5,2,[20252],20252
20211,20211,202,20212,"[""양손검을 장착하고 5티어 이상의 몬스터 처치""]",,24300,Tier5,3,[20253],20253
20212,20212,202,20213,"[""양손검을 장착하고 5티어 이상의 몬스터 처치""]",,29160,Tier5,4,[20254],20254
20213,20213,202,20214,"[""양손검을 장착하고 5티어 이상의 몬스터 처치""]",,34980,Tier5,5,[20255],20255
20214,20214,202,20215,"[""양손검을 장착하고 6티어 이상의 몬스터 처치""]",,41980,Tier6,1,[20261],20261
20215,20215,202,20216,"[""양손검을 장착하고 6티어 이상의 몬스터 처치""]",,50380,Tier6,2,[20262],20262
20216,20216,202,20217,"[""양손검을 장착하고 6티어 이상의 몬스터 처치""]",,60460,Tier6,3,[20263],20263
20217,20217,202,20218,"[""양손검을 장착하고 6티어 이상의 몬스터 처치""]",,72540,Tier6,4,[20264],20264
20218,20218,202,20219,"[""양손검을 장착하고 6티어 이상의 몬스터 처치""]",,87060,Tier6,5,[20265],20265
20219,20219,202,20220,"[""양손검을 장착하고 7티어 이상의 몬스터 처치""]",,104480,Tier7,1,[20271],20271
20220,20220,202,20221,"[""양손검을 장착하고 7티어 이상의 몬스터 처치""]",,125380,Tier7,2,[20272],20272
20221,20221,202,20222,"[""양손검을 장착하고 7티어 이상의 몬스터 처치""]",,150440,Tier7,3,[20273],20273
20222,20222,202,20223,"[""양손검을 장착하고 7티어 이상의 몬스터 처치""]",,180540,Tier7,4,[20274],20274
20223,20223,202,20224,"[""양손검을 장착하고 7티어 이상의 몬스터 처치""]",,216660,Tier7,5,[20275],20275
