OID,Cid,BoundDiameter,BoundHeight,AnimGroup,HitBoxSize
100,100,80.000000,200.000000,NuianFemale,"(X=0.000000,Y=0.000000,Z=0.000000)"
101,101,80.000000,200.000000,NuianMale,"(X=0.000000,Y=0.000000,Z=0.000000)"
102,102,80.000000,200.000000,NuianFemale,"(X=0.000000,Y=0.000000,Z=0.000000)"
103,103,80.000000,200.000000,NuianFemale,"(X=0.000000,Y=0.000000,Z=0.000000)"
104,104,80.000000,200.000000,NuianFemale,"(X=0.000000,Y=0.000000,Z=0.000000)"
10000,10000,50.000000,100.000000,MobRabbit,"(X=0.000000,Y=0.000000,Z=0.000000)"
10001,10001,75.000000,100.000000,MobDeer,"(X=0.000000,Y=0.000000,Z=0.000000)"
10002,10002,50.000000,100.000000,MobFox,"(X=0.000000,Y=0.000000,Z=0.000000)"
10003,10003,75.000000,100.000000,MobBoarMale,"(X=0.000000,Y=0.000000,Z=0.000000)"
10004,10004,100.000000,100.000000,Wolf,"(X=0.000000,Y=0.000000,Z=0.000000)"
10005,10005,100.000000,180.000000,Moose,"(X=0.000000,Y=0.000000,Z=0.000000)"
10006,10006,120.000000,200.000000,MobBearMale,"(X=0.000000,Y=0.000000,Z=0.000000)"
10007,10007,100.000000,200.000000,MobDoodlingWorker,"(X=0.000000,Y=0.000000,Z=0.000000)"
10008,10008,100.000000,200.000000,MobDoodlingWarrior,"(X=0.000000,Y=0.000000,Z=0.000000)"
10009,10009,100.000000,200.000000,MobDoodlingScout,"(X=0.000000,Y=0.000000,Z=0.000000)"
10010,10010,100.000000,200.000000,MobDoodlingShaman,"(X=0.000000,Y=0.000000,Z=0.000000)"
10011,10011,100.000000,300.000000,MobGnollThrower,"(X=0.000000,Y=0.000000,Z=0.000000)"
10012,10012,100.000000,300.000000,MobGnollStalker,"(X=0.000000,Y=0.000000,Z=0.000000)"
10013,10013,100.000000,300.000000,MobGnollWarrior,"(X=0.000000,Y=0.000000,Z=0.000000)"
10014,10014,280.000000,400.000000,MobGnollQan,"(X=0.000000,Y=0.000000,Z=0.000000)"
10015,10015,120.000000,400.000000,MobOrcShieldaxe,"(X=0.000000,Y=0.000000,Z=0.000000)"
10016,10016,120.000000,400.000000,MobOrcHunter,"(X=0.000000,Y=0.000000,Z=0.000000)"
10017,10017,120.000000,400.000000,MobOrcShaman,"(X=0.000000,Y=0.000000,Z=0.000000)"
10018,10018,120.000000,400.000000,MobOrcWarrior,"(X=0.000000,Y=0.000000,Z=0.000000)"
10019,10019,140.000000,400.000000,MobOrcHalberd,"(X=0.000000,Y=0.000000,Z=0.000000)"
10020,10020,300.000000,200.000000,MobCrab,"(X=0.000000,Y=0.000000,Z=0.000000)"
10021,10021,200.000000,200.000000,MobSnapper,"(X=0.000000,Y=0.000000,Z=0.000000)"
10022,10022,80.000000,300.000000,MobSkeletonBow,"(X=0.000000,Y=0.000000,Z=0.000000)"
10023,10023,80.000000,300.000000,MobSkeletonSpear,"(X=0.000000,Y=0.000000,Z=0.000000)"
10024,10024,80.000000,300.000000,MobSkeletonStaff,"(X=0.000000,Y=0.000000,Z=0.000000)"
10025,10025,80.000000,300.000000,MobSkeletonWarrior,"(X=0.000000,Y=0.000000,Z=0.000000)"
10026,10026,100.000000,300.000000,MobDobabianFighter,"(X=0.000000,Y=0.000000,Z=0.000000)"
10027,10027,100.000000,300.000000,MobDobabianShaman,"(X=0.000000,Y=0.000000,Z=0.000000)"
10028,10028,100.000000,300.000000,MobDobabianWarrior,"(X=0.000000,Y=0.000000,Z=0.000000)"
10029,10029,100.000000,350.000000,MobDobabianCommander,"(X=0.000000,Y=0.000000,Z=0.000000)"
10030,10030,100.000000,300.000000,MobPhantomBow,"(X=0.000000,Y=0.000000,Z=0.000000)"
10031,10031,100.000000,300.000000,MobPhantomGreatSword,"(X=0.000000,Y=0.000000,Z=0.000000)"
10032,10032,100.000000,300.000000,MobPhantomSpear,"(X=0.000000,Y=0.000000,Z=0.000000)"
10033,10033,100.000000,300.000000,MobPhantomSword,"(X=0.000000,Y=0.000000,Z=0.000000)"
10034,10034,100.000000,300.000000,MobPhantomTwinAxe,"(X=0.000000,Y=0.000000,Z=0.000000)"
10035,10035,125.000000,300.000000,MobPhantomBoss,"(X=0.000000,Y=0.000000,Z=0.000000)"
10036,10036,250.000000,400.000000,MobOgreAxe,"(X=0.000000,Y=0.000000,Z=0.000000)"
10037,10037,250.000000,400.000000,MobOgreClub,"(X=0.000000,Y=0.000000,Z=0.000000)"
10038,10038,250.000000,400.000000,MobOgreGreatSword,"(X=0.000000,Y=0.000000,Z=0.000000)"
10039,10039,100.000000,200.000000,MobBrokenCorpseScratcher,"(X=0.000000,Y=0.000000,Z=0.000000)"
10040,10040,100.000000,200.000000,MobBrokenCorpseWarrior,"(X=0.000000,Y=0.000000,Z=0.000000)"
10041,10041,100.000000,200.000000,MobGhoul,"(X=0.000000,Y=0.000000,Z=0.000000)"
10042,10042,100.000000,200.000000,MobNurek,"(X=0.000000,Y=0.000000,Z=0.000000)"
10043,10043,80.000000,200.000000,MobBloodhandSword,"(X=0.000000,Y=0.000000,Z=0.000000)"
10044,10044,80.000000,200.000000,MobBloodhandBow,"(X=0.000000,Y=0.000000,Z=0.000000)"
10045,10045,80.000000,200.000000,MobBloodhandStaff,"(X=0.000000,Y=0.000000,Z=0.000000)"
10046,10046,80.000000,200.000000,MobBloodhandDagger,"(X=0.000000,Y=0.000000,Z=0.000000)"
10047,10047,80.000000,200.000000,MobBloodhandStrong,"(X=0.000000,Y=0.000000,Z=0.000000)"
10048,10048,80.000000,200.000000,MobBloodhandCommander,"(X=0.000000,Y=0.000000,Z=0.000000)"
10049,10049,80.000000,200.000000,MobWaterSpirit,"(X=0.000000,Y=0.000000,Z=0.000000)"
10050,10050,80.000000,200.000000,MobTreeSpirit,"(X=0.000000,Y=0.000000,Z=0.000000)"
10051,10051,80.000000,200.000000,MobRockSpirit,"(X=0.000000,Y=0.000000,Z=0.000000)"
10052,10052,80.000000,200.000000,MobMossSpirit,"(X=0.000000,Y=0.000000,Z=0.000000)"
10053,10053,80.000000,200.000000,MobBloodhandHero,"(X=0.000000,Y=0.000000,Z=0.000000)"
