OID,Cid,Comment,SkillId,InitialCooltimeMin,InitialCooltimeMax,Interval,ChargeTime
10000,10000,보스 몬스터 카이팅 방지용(하드코딩),10000,0,0,0,0
21110001,21110001,몬스터_놀_추적꾼_양손타격,21110001,2000,12000,0,800
21110002,21110002,몬스터_놀_전사_머리 박치기,21110002,2000,12000,0,800
23110002,23110002,몬스터_오크_전사_강타,23110002,2000,12000,0,800
21110003,21110003,몬스터_오크_탐색꾼_방패 강타,21110003,2000,12000,0,800
21110006,21110006,몬스터_바다 게_기술,21110006,2000,12000,0,0
21110008,21110008,몬스터_바다 거북_기술,21110008,2000,12000,0,0
21110009,21110009,오크_사냥꾼_근거리 밀치기,21110009,2000,12000,0,0
21250003,21250003,오크_사냥꾼_원거리 강타,21250003,5000,15000,0,0
21110010,21110010,오크_주술사_근거리 밀치기,21110010,2000,12000,0,0
21950001,21950001,오크_주술사_회복_Launch_Target,21950001,3000,13000,0,1500
21910001,21910001,오크_주술사_회복_Launch_Self,21910001,3000,13000,0,1500
20410003,20410003,몬스터_광폭화_광역5M,20410003,0,0,0,0
20410004,20410004,몬스터_광폭화_Solo,20410004,0,0,0,0
30110002,30110002,황금 평원_보스_스칼니토스_사슬 찌르기,30110002,0,0,0,1000
30110003,30110003,황금 평원_보스_스칼니토스_꼬리 휘두르기,30110003,0,0,0,1000
30310001,30310001,황금 평원_보스_스칼니토스_마비 안광,30310001,0,0,0,1500
30310002,30310002,황금 평원_보스_스칼니토스_사슬 분사,30310002,0,0,0,2500
30110004,30110004,황금 평원_보스_스칼니토스_비늘 돌진,30110004,0,0,0,0
30310003,30310003,황금 평원_보스_스칼니토스_사슬 회오리,30310003,0,0,0,2000
30310004,30310004,황금 평원_보스_스칼니토스_독 분사,30310004,0,0,0,1000
30110005,30110005,황금 평원_보스_스칼니토스_난폭한 손짓,30110005,0,0,0,1500
30110006,30110006,황금 평원_보스_스칼니토스_꼬리 강타,30110006,0,0,0,1000
30310005,30310005,황금 평원_보스_스칼니토스_대지 강타,30310005,0,0,0,2000
30310006,30310006,황금 평원_보스_스칼니토스_사슬 휘두르기,30310006,0,0,0,1500
30310007,30310007,황금 평원_보스_스칼니토스_최후의 저항,30310007,0,0,0,0
30410001,30410001,황금 평원_보스_스칼니토스_비늘 강화,30410001,0,0,0,0
30410002,30410002,황금 평원_보스_스칼니토스_심연의 포효,30410002,0,0,0,0
30410003,30410003,황금 평원_보스_스칼니토스_어둠의 압력,30410003,0,0,0,500
30410004,30410004,황금 평원_보스_스칼니토스_광폭화,30410004,0,0,0,500
29110007,29110007,놀 대장_기술1_올려치기_짧은 점프+찍기,29110007,3000,13000,0,0
29110011,29110011,"놀 대장_기술2_우,좌 올려배기_찍기",29110011,10000,20000,0,0
29110017,29110017,"놀 대장_기술3_하울링배기,좌우횡배기,짧은 점프,긴 점프",29110017,20000,30000,0,0
29910001,29910001,놀 대장_하울링+부하 소환,29910001,0,0,0,0
39990001,39990001,놀 대장_하울링+부하 소환(테스트),39990001,5000,5000,0,0
29110028,29110028,"오크 대장_기술1_좌우배기,찍기,강찍기",29110028,5000,15000,0,0
