OID,Cid,Comment,DescName,AssetType,InteractionCids
1,1,테스트 오브젝트,테스트 오브젝트,1,[1]
3,3,퀘스트용_고양이만 통과하는 개구멍,살금살금,3,[3]
1021001,1021001,1021_도르레 수리하기,수리하기,1021001,[1021001]
1021002,1021002,1021_로나의 흔적 찾아보기_1,조사하기,1021002,[1021002]
1021003,1021003,1021_로나의 흔적 찾아보기_2,조사하기,1021003,[1021003]
1021004,1021004,1021_로나의 흔적 찾아보기_3,조사하기,1021004,[1021004]
1021005,1021005,1021_무너진 돌 무덤 정비하기,돌 무덤 정비하기,1021005,[1021005]
1021006,1021006,1021_죽은 이들을 위해 돌 무덤에 기도하기,기도하기,1021006,[1021006]
1022001,1022001,1022_신성한 제단에 돌 올려놓기,돌 올려놓기,1022001,[1022001]
1022002,1022002,1022_신성한 제단에 기도를 올리기,기도하기,1022002,[1022002]
1022003,1022003,1022_선돌터 호수의 물 챙기,물 뜨기,1022003,[1022003]
1023001,1023001,1023_수상해 보이는 흔적 조사하기_1,조사하기,1023001,[1023001]
1023002,1023002,1023_수상해 보이는 흔적 조사하기_2,조사하기,1023002,[1023002]
1023003,1023003,1023_수상해 보이는 흔적 조사하기_3,조사하기,1023003,[1023003]
1025001,1025001,1025_우물에서 식수 긷기,물 긷기,1025001,[1025001]
1025002,1025002,1025_빈 사료통,사료 채우기,1025002,[1025002]
1025003,1025003,1025_말_1상태 확인하기,상태 확인하기,1025003,[1025003]
1025004,1025004,1025_말_2먹이 주기,먹이 주기,1025004,[1025004]
1025005,1025005,1025_빈 짐마차,짐 싣기,1025005,[1025005]
1026001,1026001,1026_반란 세력이 남긴 흔적 조사_1,조사하기,1026001,[1026001]
1026002,1026002,1026_반란 세력이 남긴 흔적 조사_2,조사하기,1026002,[1026002]
1026003,1026003,1026_반란 세력이 남긴 흔적 조사_3,조사하기,1026003,[1026003]
1026004,1026004,1026_반란 세력이 남긴 흔적 조사_4,조사하기,1026004,[1026004]
1028001,1028001,1028_무너져가는 가옥 손보기_1,수리하기,1028001,[1028001]
1028002,1028002,1028_무너져가는 가옥 손보기_2,수리하기,1028002,[1028002]
1028003,1028003,1028_무너져가는 가옥 손보기_3,수리하기,1028003,[1028003]
1028004,1028004,1028_증명서 마을에 걸기,증명서 걸기,1028004,[1028004]
1029001,1029001,1029_패트릭의 분실물 찾기_1,조사하기,1029001,[1029001]
1029002,1029002,1029_패트릭의 분실물 찾기_2,조사하기,1029002,[1029002]
1029003,1029003,1029_패트릭의 분실물 찾기_3,조사하기,1029003,[1029003]
1029004,1029004,1029_도개교를 막고 있는 방해물 제거하기,바위 치우기,1029004,[1029004]
1030001,1030001,1030_다나의 옛 거주지 조사하기,조사하기,1030001,[1030001]
1030002,1030002,1030_고양이 개구멍,지나가기,1030002,[1030002]
1031001,1031001,1031_요정의 은신처 입구 결계 강화_1,결계 강화,1031001,[1031001]
1031002,1031002,1031_요정의 은신처 입구 결계 강화_2,결계 강화,1031002,[1031002]
1032001,1032001,1032_퍼거스의 흔적_1,조사하기,1032001,[1032001]
1032002,1032002,1032_퍼거스의 흔적_2,조사하기,1032002,[1032002]
1032003,1032003,1032_퍼거스의 흔적_3,조사하기,1032003,[1032003]
