OID,Cid,Comment,StepGoal,QuestVolumes,AutoMoveSourceType,Condition,ConditionTargetCid,Count,LocationDisplayType,MapDisplayType,HideSubSteps,LootItemAssetCid,IncreaseProbability,ActiveNpcSpawnerCids,ActiveSpawnerCids,ActiveDoodadPhaseCids,DeleteItemCids,StartSequenceCids,EndSequenceCids,ProgressSequenceCid,NormalLootGroupCid
100,100,,아무거나 등급업하기,,None,UpgradeItem,100,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
101,101,,아무 무기 등급업하기,,None,UpgradeItem,101,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
102,102,,아무 첫걸음 무기 등급업하기,,None,UpgradeItem,102,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
103,103,,첫걸음 활 희귀 만들기,,None,UpgradeItem,103,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
104,104,,목화 채집 하기,,None,DoodadPhase,104,2,All,QuestLegend,false,,1,[],[],[],[],[],[],,
12901,12901,인스턴스 필드 테스트,아무튼 필드 안에서 이것저것 하기,,None,DungeonClear,12901,1,None,QuestLegend,false,,1,[],[],[],[],[],[],,
12902,12902,인스턴스 필드 테스트,불타는 달그늘 마을을 구하기,,None,HuntMonster,12902,100,All,QuestLegend,false,,1,[],[],[],[],[],[],,
13001,13001,인스턴스 필드 테스트,마을 내부로 이동하기,,None,GoArea,13001,1,All,QuestLegend,false,,1,[],"[201101,10802103,10802104]",[],[],[],[],,
13002,13002,인스턴스 필드 테스트,주민들을 위협하는 피 묻은 손 암살자 처치,,None,HuntMonster,13002,2,All,QuestLegend,false,,1,[],[],[],[],[],[],,
13004,13004,인스턴스 필드 테스트,마을 중앙으로 이동하기,,None,GoArea,13004,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
13005,13005,인스턴스 필드 테스트,피 묻은 손 전사와 궁수 처치하기,,None,HuntMonster,13005,1,All,QuestLegend,false,,1,[],"[10802101,10802102,10802103]",[],[],[],[],,
13101,13101,인스턴스 필드 테스트,마을 촌장과 대화하기,,None,Talk,13101,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
13201,13201,인스턴스 목표 테스트,메아리가 들려오는 곳을 따라 내려가기,,None,GoArea,13201,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
13202,13202,인스턴스 목표 테스트,스켈레톤 처치하기,,None,HuntMonster,13202,10,All,QuestLegend,false,,1,[],[],[],[],[],[],,
13203,13203,인스턴스 목표 테스트,말카바돈 처치,,None,HuntMonster,13203,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
13204,13204,인스턴스 목표 테스트,파괴된 벽 뒤의 숨겨진 통로로 이동하기,,None,GoArea,13204,1,All,QuestLegend,false,,1,[],[],"[902025,90202502]",[],[],[],,
13401,13401,인스턴스 목표 테스트,늑대를 무찌르기,,None,HuntMonster,13401,1,All,QuestLegend,false,,1,[],"[95101101,90102101]",[],[],[],[],,
100000,100000,정착을 위한 첫 걸음,옛 동료를 만나러 이동하기,,WorldLocation,GoArea,100000,1,All,QuestLegend,false,,1,[10000100],[],[],[],[],[],1000,
100001,100001,정착을 위한 첫 걸음,메다드의 이야기 듣기,,WorldLocation,GoArea,100001,1,All,QuestLegend,false,,1,[10000101],[],[],[],[1000011],[1000019],1000,
100002,100002,정착을 위한 첫 걸음,굶주린 배를 채울 식재료 수급,,None,StepsDone,100002,2,All,QuestLegend,false,,1,[10000101],[],[],[],[1000021],[1],1000,
100003,100003,정착을 위한 첫 걸음,거북알 채집하기,,Doodad,Interaction,100003,3,OnlyTarget,QuestLegend,false,100003,1,[10000101],[],[],[],[],[],,
100004,100004,정착을 위한 첫 걸음,바위 게의 집게 수집하기,"[10000400,10000401]",QuestVolume,HuntMonster,100004,5,All,Dot,false,100004,1,[10000101],[],[],[],[],[],,
100005,100005,정착을 위한 첫 걸음,모닥불 불 붙이기,,Doodad,Interaction,100005,1,All,QuestLegend,false,,1,[10000101],[],[],[],[1000051],[1],1000,
100006,100006,정착을 위한 첫 걸음,해산물 스튜 제작하기,,Doodad,Craft,100006,3,All,QuestLegend,false,,1,[10000101],[],[],[],[1000061],[1],1000,
100007,100007,정착을 위한 첫 걸음,남은 스튜 챙기기,,Doodad,Interaction,100007,1,All,QuestLegend,false,,1,[10000101],[],[],[],[1000071],[1],1000,
100008,100008,정착을 위한 첫 걸음,해산물 스튜 맛보기,,None,UseQuestItem,100008,1,All,QuestLegend,false,,1,[10000101],[],[],[],[1000081],[1],1000,
100101,100101,허가 받지 않은 자,섬 관리실로 이동하기,,None,GoArea,100101,1,All,QuestLegend,false,,1,[10000102],[],[],[],[1001011],[1001019],1001,
100102,100102,허가 받지 않은 자,섬 관리인에게 입도 허가 받기,,None,Talk,100102,1,All,QuestLegend,false,,1,"[10000103,10000201]",[],[],[],[],[],1001,
100103,100103,허가 받지 않은 자,허가증을 갖고 올 신관 기다리기,,None,Sequence,100103,1,All,QuestLegend,false,,1,"[10000103,10000201]",[],[],[],[1001032],[],1001,
100104,100104,허가 받지 않은 자,망가진 달구지를 수리할 재료 수급,,None,StepsDone,100104,1,All,QuestLegend,false,,1,"[10000104,10000201]",[],[],[],[1001041],[1],1001,
100105,100105,허가 받지 않은 자,수리에 사용할 목재 챙기기,,None,Interaction,100105,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
100106,100106,허가 받지 않은 자,망가진 달구지 수리하기,,None,Interaction,100106,1,All,QuestLegend,false,,1,"[10000104,10000201]",[],[],[],[],[],1001,
100201,100201,"낯선 땅, 첫 무장",전투를 대비하여 장비 재료 수급,,None,StepsDone,100201,2,All,QuestLegend,false,,1,"[10000104,10000201]",[],[],[],[1002011],[1],1002,
100202,100202,"낯선 땅, 첫 무장",1T 채집물 채집하기,[10020200],None,Acquire,100202,10,None,Dot,false,,1,[],[],[],[],[],[],,
100203,100203,"낯선 땅, 첫 무장",1T 채집물 가공하기,,None,Craft,100203,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
100204,100204,"낯선 땅, 첫 무장",전투를 대비하여 장비 제작,,None,StepsDone,100204,2,All,QuestLegend,false,,1,"[10000104,10000201]",[],[],[],[],[],1002,
100205,100205,"낯선 땅, 첫 무장",1T 무기 제작하기,,None,Craft,100205,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
100206,100206,"낯선 땅, 첫 무장",1T 방어구 제작하기,,None,Craft,100206,2,All,QuestLegend,false,,1,[],[],[],[],[],[],,
100207,100207,"낯선 땅, 첫 무장",달구지에 올라타기,,None,GoArea,100207,1,All,QuestLegend,false,,1,"[10000104,10000201]",[],[],[],[],"[1002079,1002078]",1002,
100301,100301,사라진 신관의 행방,쓰러져있는 신관 구출,,None,StepsDone,100301,1,All,QuestLegend,false,,1,"[10000106,10000301]",[],[],[],[1003011],[1],1003,
100302,100302,사라진 신관의 행방,근처 놀 무리 처치하기,"[10030200,10030201]",None,HuntMonster,100302,5,All,Dot,false,,1,[],[],[],[],[],[],,
100303,100303,사라진 신관의 행방,신관의 상태 확인하기,,None,Talk,100303,1,All,QuestLegend,false,,1,"[10000106,10000301]",[],[],[],[],[],,
100304,100304,사라진 신관의 행방,흩어진 신관의 짐 탐색,,None,StepsDone,100304,1,All,QuestLegend,false,,1,"[10000107,10000302]",[],[],[],[1003041],[1],1003,
100305,100305,사라진 신관의 행방,놀 무리에게서 짐 찾기,"[10030200,10030201]",None,HuntMonster,100305,5,All,Dot,false,100305,0.8,[],[],[],[],[],[],,
100306,100306,사라진 신관의 행방,주변 풀숲 수색하기,,None,StepsDone,100306,5,All,QuestLegend,true,100305,1,"[10000107,10000302]",[],[],[],[],[],1003,
100307,100307,사라진 신관의 행방,주변 풀숲 수색하기,,None,Interaction,100307,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
100308,100308,사라진 신관의 행방,주변 풀숲 수색하기,,None,Interaction,100308,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
100309,100309,사라진 신관의 행방,주변 풀숲 수색하기,,None,Interaction,100309,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
100310,100310,사라진 신관의 행방,주변 풀숲 수색하기,,None,Interaction,100310,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
100311,100311,사라진 신관의 행방,주변 풀숲 수색하기,,None,Interaction,100311,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
100312,100312,사라진 신관의 행방,신관에게 짐 전달하기,,None,Talk,100312,1,All,QuestLegend,false,,1,"[10000107,10000302]",[],[],[],[],[],1003,
100401,100401,달빛이 닿지 않는 길,수습 신관 찾아보기,,None,GoArea,100401,1,All,QuestLegend,false,,1,"[10000108,10000303]",[],[],[],[1004011],[1004019],1004,
100402,100402,달빛이 닿지 않는 길,수습 신관의 흔적 쫓기,,None,StepsDone,100402,5,All,QuestLegend,true,,1,"[10000109,10000304]",[],[],[],[1004021],[1],1004,
100403,100403,달빛이 닿지 않는 길,수습 신관의 흔적 쫓기,,None,Interaction,100403,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
100404,100404,달빛이 닿지 않는 길,수습 신관의 흔적 쫓기,,None,Interaction,100404,1,All,QuestLegend,false,100404,1,[],[],[],[],[],[],,
100405,100405,달빛이 닿지 않는 길,수습 신관의 흔적 쫓기,,None,Interaction,100405,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
100406,100406,달빛이 닿지 않는 길,수습 신관의 흔적 쫓기,,None,Interaction,100406,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
100407,100407,달빛이 닿지 않는 길,수습 신관의 흔적 쫓기,,None,Interaction,100407,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
100408,100408,달빛이 닿지 않는 길,수습 신관의 흔적 따라가기,[10041000],None,DungeonClear,100408,1,None,QuestLegend,false,,1,"[10000109,10000304,10000401]",[],[],[],[],[],1004,
100409,100409,달빛이 닿지 않는 길,수습 신관의 상태 확인하기,,None,Talk,100409,1,All,QuestLegend,false,,1,"[10000109,10000304,10000401]",[],[],[],[],[],,
100410,100410,달빛이 닿지 않는 길,신관 세리안과 합류하기,,None,GoArea,100410,1,All,QuestLegend,false,,1,"[10000109,10000304,10000402]",[],[],[],[1004101],[1004109],1004,
100411,100411,달빛이 닿지 않는 길,누이 여신상에 기도하기,,None,Interaction,100411,1,All,QuestLegend,false,,1,"[10000110,10000304,10000402]",[],[],[],[1004111],[1004119],1004,
100501,100501,이니스 섬 정착,달구지에 올라타기,,None,GoArea,100501,1,All,QuestLegend,false,,1,[10000110],[],[],[],[1005011],"[1005019,1005018]",1005,
