OID,Cid,TargetCid,SpawnerCid,Kind,Zone,Location
7,7,80000,0,WorldLocation,800,"(X=-392280.000000,Y=392860.000000,Z=-1500.000000)"
20,20,100110,0,WorldLocation,800,"(X=-392280.000000,Y=392820.000000,Z=-1500.000000)"
56,56,90100,0,WorldLocation,901,"(X=-430436.513245,Y=256786.713401,Z=11103.405895)"
55,55,90101,0,WorldLocation,901,"(X=-439231.296929,Y=237252.479329,Z=10830.361758)"
54,54,90102,0,WorldLocation,901,"(X=-449776.845945,Y=244443.550717,Z=10962.135901)"
94,94,90601,0,WorldLocation,906,"(X=-442555.362777,Y=413853.307045,Z=292.141019)"
81,81,90602,0,WorldLocation,906,"(X=-424059.828173,Y=419209.885166,Z=-57.252156)"
63,63,9000011,0,WorldLocation,906,"(X=-443489.577743,Y=414035.645025,Z=291.797060)"
65,65,9000031,0,WorldLocation,906,"(X=-443084.521106,Y=417247.587607,Z=297.547585)"
57,57,9000071,0,WorldLocation,906,"(X=-440868.852540,Y=419705.469033,Z=292.435147)"
61,61,9000081,0,WorldLocation,906,"(X=-437661.803745,Y=421615.072417,Z=-135.303387)"
71,71,9000101,0,WorldLocation,906,"(X=-433370.379462,Y=421085.333647,Z=-192.528387)"
73,73,9000111,0,WorldLocation,906,"(X=-431288.348613,Y=417773.355285,Z=287.647184)"
77,77,9000141,0,WorldLocation,906,"(X=-429684.852172,Y=416694.721390,Z=307.330253)"
104,104,9000211,0,WorldLocation,906,"(X=-426487.705024,Y=415810.066846,Z=316.234385)"
75,75,9000221,0,WorldLocation,906,"(X=-424987.840259,Y=417660.965536,Z=-71.445484)"
88,88,9000281,0,WorldLocation,906,"(X=-427442.839203,Y=425734.423619,Z=-556.429736)"
90,90,9000301,0,WorldLocation,906,"(X=-431165.053839,Y=430465.749322,Z=-601.504167)"
140,140,100000,0,WorldLocation,1000,"(X=345180.156250,Y=-124450.406250,Z=-1852.412964)"
125,125,100001,0,WorldLocation,1000,"(X=357988.868284,Y=-132980.463420,Z=-525.265812)"
265,265,100002,0,WorldLocation,1000,"(X=373283.554834,Y=-137223.564990,Z=-283.444645)"
863,863,100003,0,WorldLocation,1000,"(X=381561.321884,Y=-155637.261172,Z=942.500328)"
807,807,100004,0,WorldLocation,1000,"(X=371851.562489,Y=-163056.263086,Z=1381.691965)"
468,468,100005,0,WorldLocation,1000,"(X=355528.931567,Y=-147057.182397,Z=2441.353474)"
167,167,100006,0,WorldLocation,1000,"(X=351120.156250,Y=-125050.406250,Z=-1990.353245)"
276,276,100007,0,WorldLocation,1000,"(X=371805.156250,Y=-137285.406250,Z=-345.982303)"
349,349,100008,0,WorldLocation,1000,"(X=387540.156250,Y=-143790.406250,Z=-348.515057)"
937,937,100009,0,WorldLocation,1000,"(X=387800.156250,Y=-161895.406250,Z=1358.494839)"
569,569,100010,0,WorldLocation,1000,"(X=367235.156250,Y=-172680.406250,Z=1868.442071)"
641,641,100011,0,WorldLocation,1000,"(X=366190.156250,Y=-156930.406250,Z=1447.211535)"
818,818,100012,0,WorldLocation,1000,"(X=380041.024110,Y=-155826.057852,Z=869.529106)"
252,252,100013,0,WorldLocation,1000,"(X=377531.835822,Y=-142859.111491,Z=132.414688)"
741,741,100014,0,WorldLocation,1000,"(X=373588.204095,Y=-174913.616977,Z=2013.920532)"
680,680,100015,0,WorldLocation,1000,"(X=371784.495846,Y=-173057.149049,Z=2013.920532)"
467,467,100016,0,WorldLocation,1000,"(X=350763.231705,Y=-150475.649972,Z=2591.374559)"
603,603,100098,0,WorldLocation,1000,"(X=371272.156250,Y=-156961.046875,Z=1449.087954)"
794,794,100099,0,WorldLocation,1000,"(X=371856.125000,Y=-156954.053696,Z=800.461792)"
812,812,100202,0,WorldLocation,1000,"(X=379748.893374,Y=-156247.101343,Z=861.691981)"
770,770,130011,0,WorldLocation,1000,"(X=377288.617709,Y=-155949.280393,Z=861.691981)"
835,835,130021,0,WorldLocation,1000,"(X=380360.231410,Y=-155794.535563,Z=861.691981)"
196,196,130041,0,WorldLocation,1000,"(X=383415.884344,Y=-155893.418619,Z=861.691981)"
156,156,1000001,0,WorldLocation,1000,"(X=348866.729330,Y=-124384.650995,Z=-1982.108311)"
141,141,1000081,0,WorldLocation,1000,"(X=352545.052511,Y=-124294.172194,Z=-1978.193430)"
138,138,1001011,0,WorldLocation,1000,"(X=358051.417795,Y=-133613.911567,Z=-527.821072)"
118,118,1002071,0,WorldLocation,1000,"(X=358516.678055,Y=-134375.017183,Z=-528.187787)"
312,312,1002072,0,WorldLocation,1000,"(X=372519.390712,Y=-136932.467173,Z=-340.659836)"
330,330,1004011,0,WorldLocation,1000,"(X=382381.554823,Y=-134973.682988,Z=-342.240231)"
258,258,1004030,0,WorldLocation,1000,"(X=377624.223714,Y=-143269.925734,Z=132.414688)"
254,254,1004081,0,WorldLocation,1000,"(X=379341.769179,Y=-144926.906071,Z=147.835014)"
346,346,1004101,0,WorldLocation,1000,"(X=387336.618271,Y=-144055.514340,Z=-343.276023)"
340,340,1005011,0,WorldLocation,1000,"(X=385187.384136,Y=-141370.332094,Z=-338.064328)"
830,830,1005012,0,WorldLocation,1000,"(X=379906.024110,Y=-155826.057852,Z=869.529106)"
1004,1004,1005021,0,WorldLocation,1000,"(X=385966.000000,Y=-156153.937500,Z=867.071106)"
847,847,1006081,0,WorldLocation,1000,"(X=383039.239691,Y=-156581.897405,Z=867.793923)"
1005,1005,1006111,0,WorldLocation,1000,"(X=385548.864953,Y=-155921.202725,Z=865.232096)"
855,855,1007021,0,WorldLocation,1000,"(X=379381.351053,Y=-162204.653253,Z=1360.617569)"
720,720,1007091,0,WorldLocation,1000,"(X=381519.534936,Y=-175813.204583,Z=1907.400969)"
760,760,1008031,0,WorldLocation,1000,"(X=372994.648791,Y=-172284.727351,Z=1867.492177)"
684,684,1008041,0,WorldLocation,1000,"(X=375216.632430,Y=-172340.285843,Z=1939.267638)"
555,555,1008081,0,WorldLocation,1000,"(X=371200.726216,Y=-175638.589192,Z=1874.849118)"
482,482,1009011,0,WorldLocation,1000,"(X=350947.148583,Y=-150401.725285,Z=2591.374559)"
793,793,1009031,0,WorldLocation,1000,"(X=377288.617709,Y=-155949.280393,Z=861.691981)"
949,949,1013122,0,WorldLocation,1000,"(X=384938.629767,Y=-155581.289191,Z=867.999696)"
251,251,9001011,0,WorldLocation,1000,"(X=378465.944090,Y=-144318.209114,Z=147.835014)"
