OID,Cid,Comment,Chance,TagCid,StatusChangeCid,RemoveCountLimit,RemoveStackLimit,OnSuccessSkillCid,FXName
5011,5011,아이템 : 해독제,1000,145,0,1,0,0,
7000,7000,변신 상태 해제,1000,159,0,10,0,0,
100401,100401,제압 느려짐 대상에게 사용 시 속박 1초 부여,1000,141,0,1,0,100406,
100551,100551,2티어 한손검 R 스킬 Lv.1,1000,100,0,100,0,0,
300611,300611,2티어 활 Q 스킬_평타 강화 지우기 Lv.1,1000,300611,300611,1,0,0,
200001,200001,가벼운 손놀림_결정타 Lv.1,1000,200001,200001,1,0,0,
200003,200003,가벼운 손놀림_결정타 Lv.2,1000,200003,200003,1,0,0,
200005,200005,가벼운 손놀림_결정타 Lv.3,1000,200005,200005,1,0,0,
200007,200007,가벼운 손놀림_결정타 Lv.4,1000,200007,200007,1,0,0,
200009,200009,가벼운 손놀림_결정타 Lv.5,1000,200009,200009,1,0,0,
200051,200051,대지 가르기_기절을 넘어짐으로 변환,1000,101,0,1,0,200056,
200100,200100,휘몰이 1타 사용 SC 없애기,1000,200100,200100,1,0,0,
200401,200401,1티어 양손검 Q 스킬 SC 없애기,1000,200401,200401,1,0,0,
200451,200451,1티어 양손검 W 스킬 SC 없애기,1000,200451,200451,1,0,0,
200601,200601,2티어 양손검 Q 몰아치기 2연타 없애기,1000,200601,200601,1,1,0,
200606,200606,2티어 양손검 Q 몰아치기 3타 없애기,1000,200606,200606,1,1,0,
300001,300001,충격 사격 Lv.1,1000,300001,300001,1,0,0,
300002,300002,충격 사격 Lv.2,1000,300002,300002,1,0,0,
300003,300003,충격 사격 Lv.3,1000,300003,300003,1,0,0,
300004,300004,충격 사격 Lv.4,1000,300004,300004,1,0,0,
300005,300005,충격 사격 Lv.5,1000,300005,300005,1,0,0,
300201,300201,연쇄 : 느려짐을 기절로 변경,1000,141,0,1,0,300200,
300301,300301,연속 쏘기_갱신 Lv.1,1000,300301,300301,1,0,300326,
300302,300302,연속 쏘기_갱신 Lv.1,1000,300302,300302,1,0,300327,
300303,300303,연속 쏘기_갱신 Lv.1,1000,300303,300303,1,0,300328,
300304,300304,연속 쏘기_갱신 Lv.1,1000,300304,300304,1,0,300329,
300305,300305,연속 쏘기_갱신 Lv.1,1000,300305,300305,1,0,300330,
400106,400106,방울 방울 맞으면 해제,1000,115,0,1,0,0,
400107,400107,방울 방울 맞으면 해제,1000,115,0,1,0,0,
400108,400108,방울 방울 맞으면 해제,1000,115,0,1,0,0,
400109,400109,방울 방울 맞으면 해제,1000,115,0,1,0,0,
400110,400110,방울 방울 맞으면 해제,1000,115,0,1,0,0,
400156,400156,심판의 낙뢰 사용했음 SC 지우기,1000,400156,400156,1,0,0,
500251,500251,W_무기 연마 Lv.1 제거,1000,500251,500251,1,0,0,
500252,500252,W_무기 연마 Lv.2 제거,1000,500252,500252,1,0,0,
500253,500253,W_무기 연마 Lv.3 제거,1000,500253,500253,1,0,0,
500254,500254,W_무기 연마 Lv.4 제거,1000,500254,500254,1,0,0,
500255,500255,W_무기 연마 Lv.5 제거,1000,500255,500255,1,0,0,
500306,500306,쌍수 달인_반응형 기술 Lv.1,1000,500301,0,1,0,0,
500307,500307,쌍수 달인_반응형 기술 Lv.2,1000,500302,0,1,0,0,
500308,500308,쌍수 달인_반응형 기술 Lv.3,1000,500303,0,1,0,0,
500309,500309,쌍수 달인_반응형 기술 Lv.4,1000,500304,0,1,0,0,
500310,500310,쌍수 달인_반응형 기술 Lv.5,1000,500305,0,1,0,0,
500356,500356,암살자의 분노 반응형 기술 Lv.1,1000,500356,0,1,0,0,
500357,500357,암살자의 분노 반응형 기술 Lv.2,1000,500357,0,1,0,0,
500358,500358,암살자의 분노 반응형 기술 Lv.3,1000,500358,0,1,0,0,
500359,500359,암살자의 분노 반응형 기술 Lv.4,1000,500359,0,1,0,0,
500360,500360,암살자의 분노 반응형 기술 Lv.5,1000,500360,0,1,0,0,
500451,500451,어둠의 일격 1타 사용했음,1000,500451,500451,1,0,0,
500601,500601,피냄새 지움,1000,500601,0,1,0,500606,
500651,500651,침묵의 일격 Lv.1 제거,1000,500651,500651,1,0,0,
21000018,21000018,이동속도 증가 구슬 연출용,1000,151,21000018,1,0,0,
21000019,21000019,공격속도 증가 구슬 연출용,1000,155,21000019,1,0,0,
21000020,21000020,시전시간 감소 구슬 연출용,1000,157,21000020,1,0,0,
13120004,13120004,은신 지우기_절대 지우지 마세요_하드 코딩,1000,117,0,1,0,0,
21000003,21000003,이즈나의 메아리 - 외성 경비대장 데로스의 망령 강화,1000,21000001,21000003,1,0,0,
21000006,21000006,이즈나의 메아리 - 폴라리우스의 파편 조각(효과),1000,21000002,0,1,0,0,
49210004,49210004,날틀 지우기,1000,49210003,0,1,0,0,
