OID,Cid,Milestone,Comment,Category,IsTaxShop,Name,Desc,WhereToGet,Tab,ShopProductCids
1,1,M15,,Merchandise,TRUE,잡화 상인,금화,MerchandiseShop,"[All,Potion,Etc]",[1001]
2,2,M15,,Equipment,TRUE,장비 상인,금화,EquipmentShop,"[All,Weapon,Armor]",[1001]
3,3,M15,,Equipment,TRUE,함선 장비 상인,금화,ShipEquipmentShop,[All],[1001]
5,5,M15,,Event,FALSE,이벤트 상점,삭제 대기,None,"[All,Etc]",[1001]
6,6,M15,,SkillScroll,FALSE,용병 훈련관,델피나드의 별,QuestShop,"[All,Etc]",[1001]
7,7,M15,,Guild,FALSE,길드 상인,단결의 증표,GuildShop,"[All,Potion]",[1001]
8,8,M15,,Merchant,FALSE,무역상 다루,다루의 주화 (귀속),MerchantShop,[All],[1001]
9,9,M15,,Merchandise,FALSE,공훈 상인,삭제 대기,None,[All],[1001]
10,10,M15,,Merchandise,FALSE,전리품 상인,삭제 대기,None,[All],[1001]
13,13,M15,,SkillScroll,FALSE,해전 교범 상인,선박 스킬 델피나드의 별,ShipQuestShop,"[All,Etc]",[1001]
14,14,M15,,Merchandise,TRUE,투기장 관리인,,None,"[All,Potion,Etc]",[1001]
2000001,2000001,M18,,Event,FALSE,이벤트 상점,특별 상점 오픈,None,"[All,Potion,Etc]",[1001]
2000101,2000101,M18,,Event,FALSE,이벤트 상점,"떠나자, 바다로!",None,"[All,Etc]",[1001]
2000201,2000201,M19,,Event,FALSE,이벤트 상점,라무타를 처치하라!,None,"[All,Potion,Etc]",[1001]
2000301,2000301,M19,,Event,FALSE,이벤트 상점,특별 상점 오픈2,None,"[All,Potion,Etc]",[1001]
15,15,M21,,Event,FALSE,협력자 정찰병,사명의 증표 상점,RealmDungeonShop,"[All,Etc]",[1001]
2000401,2000401,M21,,Event,FALSE,이벤트 상점,라무타를 처치하라!,None,"[All,Potion,Etc]",[1001]
2000501,2000501,M21,,Event,FALSE,행운의 상인,,None,"[All,Potion,Etc]",[1001]
2000601,2000601,M23,,Event,FALSE,행운의 상인,,None,"[All,Potion,Etc]",[1001]
2000701,2000701,M24,,Event,FALSE,이벤트 상인,,None,"[All,Potion,Etc]",[1001]
2000801,2000801,M25,,Event,FALSE,얼음 결정 상인,얼음주먹 하바다드 퇴치,None,"[All,Potion,Etc]",[1001]
2000901,2000901,M26,,Event,FALSE,행운의 상인,,None,"[All,Potion,Etc]",[1001]
2001001,2001001,M26,,Event,FALSE,설원 고개 상인,고요한 설원의 틈,None,"[All,Potion,Etc]",[1001]
16,16,M28,,Event,FALSE,방랑 상인 다루,아르칸스의 보물섬 상인 NPC - 그릇된 자의 잔재,ArkhansShop,[All],[1001]
2002001,2002001,M28,,Event,FALSE,1주년 기념 특별 상인,,None,"[All,Potion,Etc]",[1001]
2001002,2001002,M28,,EventBanner,FALSE,이벤트 상점!,이벤트 교환 상점 본문,None,"[All,Potion,Etc]",[1001]
