OID,Cid,Comment,MonsterCid,Interval,SpawnerScheduleCids
1,1,푸른 멧돼지,1,10000,
2,2,붉은 멧돼지,2,10000,
3,3,물소,3,10000,
4,4,늑대,4,10000,
5,5,스켈레톤 마법병,5,10000,
6,6,거북이,6,10000,
7,7,악어,7,10000,
101103,101103,누이 신관,101103,60000,
101701,101701,이니스 마차,101701,3600000,
101801,101801,안드리온,101801,3600000,
10001001,10001001,이니스 바위게,10001101,10000,
10001002,10001002,이니스 악어거북,10001102,10000,
10001003,10001003,이니스 바위게,10001103,20000,
10001004,10001004,이니스 악어거북,10001104,20000,
10002001,10002001,솔즈리드 멧돼지,10002101,30000,
10002002,10002002,솔즈리드 멧돼지,10002102,30000,
10002003,10002003,새끼 솔즈리드 멧돼지,10002103,30000,
10002004,10002004,배고픈 갈색 불곰,10002104,30000,
10002005,10002005,배고픈 갈색 불곰,10002105,30000,
10002006,10002006,배고픈 새끼 갈색 불곰,10002106,30000,
10002007,10002007,백월만 바위 거북,10002107,30000,
10002008,10002008,난폭한 솔즈리드 멧돼지,10002301,60000,
10002009,10002009,성난 갈색 불곰,10002302,60000,
10002010,10002010,백월만 거대 게,10002303,60000,
10101001,10101001,물 정령,10101101,25000,
10101002,10101002,나무 정령,10101102,25000,
10101003,10101003,바위 정령,10101103,25000,
10101004,10101004,이끼 정령,10101104,25000,
10101005,10101005,물 정령,10101105,25000,
10101006,10101006,나무 정령,10101106,25000,
10101007,10101007,바위 정령,10101107,25000,
10101008,10101008,이끼 정령,10101108,25000,
10101009,10101009,난폭한 물 정령,10101301,25000,
10101010,10101010,난폭한 나무 정령,10101302,25000,
10101011,10101011,난폭한 바위 정령,10101303,25000,
10101012,10101012,난폭한 이끼 정령,10101304,25000,
10102001,10102001,물 정령,10102101,25000,
10102002,10102002,나무 정령,10102102,25000,
10102003,10102003,바위 정령,10102103,25000,
10102004,10102004,이끼 정령,10102104,25000,
10102005,10102005,혼란스러워 하는 물정령,10102105,900000,
10102006,10102006,흙 정령,10102106,30000,
10102007,10102007,난폭한 물 정령,10102301,25000,
10102008,10102008,난폭한 나무 정령,10102302,25000,
10102009,10102009,난폭한 바위 정령,10102303,25000,
10102010,10102010,난폭한 이끼 정령,10102304,25000,
10102011,10102011,난폭한 흙 정령,10102305,45000,
10102012,10102012,분노에 사로잡힌 물정령,10102307,900000,
10102013,10102013,자책하는 바위 정령,10102308,900000,
10190001,10190001,분노한 물 정령,10190301,10000,
10190002,10190002,분노한 나무 정령,10190302,10000,
10190003,10190003,분노한 바위 정령,10190303,10000,
10190004,10190004,분노한 이끼 정령,10190304,10000,
10201001,10201001,놀 투척꾼,10201101,25000,
10201002,10201002,놀 약탈꾼,10201102,25000,
10201003,10201003,놀 싸움꾼,10201103,25000,
10201004,10201004,놀 지원병,10201104,0,
10201005,10201005,놀 투척꾼,10201105,25000,
10201006,10201006,놀 약탈꾼,10201106,25000,
10201007,10201007,놀 싸움꾼,10201107,25000,
10201008,10201008,놀 우두머리,10201801,300000,
10290001,10290001,난폭해진 놀 투척꾼,10290101,20000,
10290002,10290002,난폭해진 놀 약탈꾼,10290102,20000,
10290003,10290003,난폭해진 놀 싸움꾼,10290103,20000,
10290004,10290004,놀 우두머리,10290801,300000,
10301001,10301001,오크 탐색꾼,10301101,25000,
10301002,10301002,오크 사냥꾼,10301102,25000,
10301003,10301003,오크 주술사,10301103,25000,
10301004,10301004,오크 전사,10301301,60000,
10301005,10301005,오크 족장,10301801,300000,
10301006,10301006,오크 탐색꾼,10301104,25000,
10301007,10301007,오크 사냥꾼,10301105,25000,
10301008,10301008,오크 주술사,10301106,25000,
10302001,10302001,오크 탐색꾼,10302101,25000,
10302002,10302002,오크 사냥꾼,10302102,25000,
10302003,10302003,오크 주술사,10302103,25000,
10302004,10302004,오크 전사,10302301,60000,
10302005,10302005,오크 족장,10302801,300000,
10390001,10390001,오크 족장,10390801,0,
10401001,10401001,스켈레톤 궁병,10401101,10000,
10401002,10401002,스켈레톤 창병,10401102,10000,
10401003,10401003,스켈레톤 마법병,10401103,10000,
10401004,10401004,스켈레톤 전사,10401104,10000,
10402001,10402001,돌격대원 원혼,10402101,30000,
10402002,10402002,수습 의무병 원혼,10402102,30000,
10402003,10402003,선원 원혼,10402103,30000,
10402004,10402004,정찰대원 원혼,10402104,30000,
10402005,10402005,스켈레톤 전사,10402301,300000,
10402006,10402006,스켈레톤 궁병,10402302,300000,
10402007,10402007,스켈레톤 궁병,10402303,300000,
10402008,10402008,스켈레톤 창병,10402304,300000,
10402009,10402009,스켈레톤 마법병,10402305,300000,
10402010,10402010,스켈레톤 창병,10402306,300000,
10402011,10402011,스켈레톤 궁병,10402307,300000,
10402012,10402012,스켈레톤 전사,10402308,300000,
10402013,10402013,스켈레톤 전사,10402309,300000,
10402014,10402014,스켈레톤 창병,10402310,300000,
10402015,10402015,스켈레톤 마법병,10402311,300000,
10402016,10402016,스켈레톤 전사,10402312,300000,
10402017,10402017,스켈레톤 궁병,10402313,300000,
10402018,10402018,스켈레톤 마법병,10402314,300000,
10402019,10402019,스켈레톤 창병,10402315,300000,
10402020,10402020,잊혀진 해골 궁병,10402320,900000,
10402021,10402021,잊혀진 해골 전사,10402321,900000,
10402022,10402022,잊혀진 해골 전사,10402322,900000,
10402023,10402023,잊혀진 해골 창병,10402323,900000,
10402024,10402024,잊혀진 해골 궁병,10402324,900000,
10402025,10402025,잊혀진 해골 전사,10402325,900000,
10402026,10402026,잊혀진 해골 창병,10402326,900000,
10402027,10402027,강인한 집념의 해골 마법사,10402327,900000,
10402028,10402028,넘치는 생기의 해골 마법사,10402328,900000,
10402029,10402029,잊혀진 해골 전사,10402329,900000,
10402030,10402030,잊혀진 해골 창병,10402330,900000,
10402031,10402031,강인한 집념의 해골 마법사,10402331,900000,
10402032,10402032,넘치는 생기의 해골 마법사,10402332,900000,
10402033,10402033,강인한 집념의 해골 마법사,10402333,900000,
10402034,10402034,넘치는 생기의 해골 마법사,10402334,900000,
10402035,10402035,잊혀진 해골 궁병,10402335,900000,
10402036,10402036,이즈나 내성 해골 전사,10402336,900000,
10402037,10402037,이즈나 내성 해골 창병,10402337,900000,
10402038,10402038,이즈나 내성 해골 마법병,10402338,900000,
10402039,10402039,강인한 집념의 이즈나 마법병,10402339,900000,
10402040,10402040,돌격대장 원혼,10402340,60000,
10402041,10402041,잊혀진 해골 마법사,10402703,900000,
10402042,10402042,잊혀진 해골 마법사,10402704,900000,
10402043,10402043,지휘관 원혼,10402705,120000,
10502001,10502001,원한 어린 유령,10502101,30000,
