OID,Cid,Comment,Category,SaveLoad,RemoveConditions,KeepDurationOnChange,StatusChangeGroupCids,UiCategory,DefaultStatusChangeInfoCid,VariationStatusChangeInfoCids
1,1,에러방지용,Passive,FALSE,[Dead],FALSE,,None,1,
2,2,캐슬 게이트,Buff,FALSE,[Dead],FALSE,,None,2,
3,3,공용 기절,Debuff,FALSE,"[Dead,Cleanse]",FALSE,,None,3,
38,38,점프,Buff,FALSE,[Dead],FALSE,,None,38,
100,100,저주,Debuff,FALSE,"[Dead,Cleanse,InPeace]",FALSE,[60],None,100,
101,101,중독 Lv.1,Debuff,FALSE,"[Dead,Cleanse,InPeace]",FALSE,[60],None,101,
102,102,중독 Lv.2,Debuff,FALSE,"[Dead,Cleanse,InPeace]",FALSE,[60],None,102,
103,103,중독 Lv.3,Debuff,FALSE,"[Dead,Cleanse,InPeace]",FALSE,[60],None,103,
104,104,중독 Lv.4,Debuff,FALSE,"[Dead,Cleanse,InPeace]",FALSE,[60],None,104,
105,105,중독 Lv.5,Debuff,FALSE,"[Dead,Cleanse,InPeace]",FALSE,[60],None,105,
106,106,치명상 Lv.1,Debuff,FALSE,"[Dead,Cleanse,InPeace]",FALSE,[170],None,106,
107,107,치명상 Lv.2,Debuff,FALSE,"[Dead,Cleanse,InPeace]",FALSE,[170],None,107,
108,108,치명상 Lv.3,Debuff,FALSE,"[Dead,Cleanse,InPeace]",FALSE,[170],None,108,
109,109,치명상 Lv.4,Debuff,FALSE,"[Dead,Cleanse,InPeace]",FALSE,[170],None,109,
110,110,치명상 Lv.5,Debuff,FALSE,"[Dead,Cleanse,InPeace]",FALSE,[170],None,110,
111,111,느려짐 Lv.1,Debuff,FALSE,"[Dead,Cleanse,InPeace]",FALSE,[5],None,111,
112,112,느려짐 Lv.2,Debuff,FALSE,"[Dead,Cleanse,InPeace]",FALSE,[5],None,112,
113,113,느려짐 Lv.3,Debuff,FALSE,"[Dead,Cleanse,InPeace]",FALSE,[5],None,113,
114,114,느려짐 Lv.4,Debuff,FALSE,"[Dead,Cleanse,InPeace]",FALSE,[5],None,114,
115,115,느려짐 Lv.5,Debuff,FALSE,"[Dead,Cleanse,InPeace]",FALSE,[5],None,115,
401,401,지역 효과 : 안전,Passive,FALSE,,FALSE,,None,401,
402,402,지역 효과 : 일반,Passive,FALSE,,FALSE,,None,402,
403,403,지역 효과 : 보호,Passive,FALSE,,FALSE,,None,403,
404,404,지역 효과 : 전쟁,Passive,FALSE,,FALSE,,None,404,
405,405,지역 효과 : 마을,Passive,FALSE,,FALSE,,None,405,
406,406,지역 효과 : 공성전,Passive,FALSE,,FALSE,,None,406,
407,407,지역 효과 : 길드 거점,Passive,FALSE,,FALSE,,None,407,
408,408,지역 효과 : 분쟁,Passive,FALSE,,FALSE,,None,408,
409,409,지역 효과 : 깃발통제구역,Passive,FALSE,,FALSE,,None,409,
410,410,지역 효과 : 공성전 내성,Passive,FALSE,,FALSE,,None,410,
411,411,지역 효과 : 대련,Passive,FALSE,,FALSE,,None,411,
412,412,지역 효과 : 혼돈,Passive,FALSE,[Dead],FALSE,,None,412,
413,413,지역 효과 : 어둠,Passive,FALSE,[Dead],FALSE,,None,413,
414,414,지역 효과 : 어둠,Passive,FALSE,[Dead],FALSE,,None,414,
415,415,지역 효과 : 일반,Passive,FALSE,,FALSE,,None,415,
416,416,지역 효과 : 어둠의 파동 불가지역,Passive,FALSE,,FALSE,,None,416,
417,417,지역 효과 : 전쟁,Passive,FALSE,,FALSE,,None,417,
418,418,지역 효과 : 평화,Passive,FALSE,,FALSE,,None,418,
501,501,탈 것 탑승여부 확인,Buff,FALSE,"[Unmount,Dead]",FALSE,,None,501,
502,502,"시퀀스 재생 시 무적,평화",Buff,FALSE,[Dead],FALSE,,None,502,
601,601,부활지 평화 구역(Monster포즈용),Buff,FALSE,[Dead],FALSE,,None,601,
602,602,"부활지 평화 구역(안내, 효과적용)",Buff,FALSE,,FALSE,,None,602,
701,701,지역: 이니스 섬,Passive,FALSE,,FALSE,,None,701,
702,702,지역: 누이 신전,Passive,FALSE,,FALSE,,None,702,
703,703,던전: 이즈나의 메아리,Passive,FALSE,,FALSE,,None,703,
900,900,부쉬은신,Buff,FALSE,[Dead],FALSE,,None,900,
901,901,부쉬은신블락,Debuff,FALSE,[Dead],FALSE,,None,901,
1000,1000,혈귀,Passive,TRUE,,FALSE,,None,1000,
1001,1001,와다다다다,Passive,TRUE,,FALSE,,None,1001,
1002,1002,난 한놈만 패,Passive,TRUE,,FALSE,,None,1002,
1003,1003,호전광,Passive,TRUE,,FALSE,,None,1003,
1004,1004,그라데이션 분노,Passive,TRUE,,FALSE,,None,1004,
1005,1005,갈증,Passive,TRUE,,FALSE,,None,1005,
1006,1006,위기에 강한편이야,Passive,TRUE,,FALSE,,None,1006,
1007,1007,집중력 강한편이야,Passive,TRUE,,FALSE,,None,1007,
1008,1008,맷집 강한편이야,Passive,TRUE,,FALSE,,None,1008,
1009,1009,무쇠 주먹,Passive,TRUE,,FALSE,,None,1009,
1010,1010,치명타,Passive,TRUE,,FALSE,,None,1010,
1011,1011,떡대,Passive,TRUE,,FALSE,,None,1011,
1012,1012,같은 곳만 공격,Passive,TRUE,,FALSE,,None,1012,
1013,1013,그림자 속으로,Passive,TRUE,,FALSE,,None,1013,
1014,1014,빠른손,Passive,TRUE,,FALSE,,None,1014,
1015,1015,아전인수,Passive,TRUE,,FALSE,,None,1015,
1016,1016,코끼리 사냥,Passive,TRUE,,FALSE,,None,1016,
1017,1017,약자 멸시,Passive,TRUE,,FALSE,,None,1017,
1018,1018,독수리처럼 사냥한다,Passive,TRUE,,FALSE,,None,1018,
1019,1019,자연인,Passive,TRUE,,FALSE,,None,1019,
1020,1020,필살기 부자,Passive,TRUE,,FALSE,,None,1020,
1021,1021,치명적인 무기,Passive,TRUE,,FALSE,,None,1021,
1022,1022,속사,Passive,TRUE,,FALSE,,None,1022,
1023,1023,약점 포착,Passive,TRUE,,FALSE,,None,1023,
1024,1024,마나 마법사,Passive,TRUE,,FALSE,,None,1024,
1025,1025,폭발 마법사,Passive,TRUE,,FALSE,,None,1025,
1026,1026,바람 마법사,Passive,TRUE,,FALSE,,None,1026,
1027,1027,마나 순환,Passive,TRUE,,FALSE,,None,1027,
1028,1028,펫 마법 전문가,Passive,TRUE,,FALSE,,None,1028,
1029,1029,과부하,Passive,TRUE,,FALSE,,None,1029,
