OID,Cid,Comment,StatModifiedCids,CrowdControls,IntervalSkillEffectId,Interval,ApplyEffectImmediately,ProcIds,AuraId,ShieldCid,AtApplyFXName,AtRemoveFXName,StateFXName,MountStateFXName,AnimName,AnimWeaponState,ApplyUiStringKey,ComboUi,PolymorphCid,ReplaceNormalSkillId
1,1,에러방지용,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
2,2,캐슬 게이트,,[CastleGate],0,0,FALSE,,0,0,,,,,,None,,FALSE,,
3,3,공용 기절,,[Stun],0,0,FALSE,,0,0,,,State_Stun,,,None,,TRUE,,
100,100,저주,[10],,0,0,FALSE,"[100,101,102]",0,0,Nu_TwoHand_AttackUp_Launch_01,Nu_TwoHand_AttackUp_Launch_01,State_Darkness,,,None,,TRUE,,
101,101,공용_중독 Lv.1,,,101,1000,FALSE,,0,0,,,Nu_Dagger_State_Posioning_Debuff,,,None,,TRUE,,
102,102,공용_중독 Lv.2,,,102,1000,FALSE,,0,0,,,Nu_Dagger_State_Posioning_Debuff,,,None,,TRUE,,
103,103,공용_중독 Lv.3,,,103,1000,FALSE,,0,0,,,Nu_Dagger_State_Posioning_Debuff,,,None,,TRUE,,
104,104,공용_중독 Lv.4,,,104,1000,FALSE,,0,0,,,Nu_Dagger_State_Posioning_Debuff,,,None,,TRUE,,
105,105,공용_중독 Lv.5,,,105,1000,FALSE,,0,0,,,Nu_Dagger_State_Posioning_Debuff,,,None,,TRUE,,
106,106,치명상 Lv.1,[11],,0,0,FALSE,,0,0,,,,,,None,,TRUE,,
107,107,치명상 Lv.2,[12],,0,0,FALSE,,0,0,,,,,,None,,TRUE,,
108,108,치명상 Lv.3,[13],,0,0,FALSE,,0,0,,,,,,None,,TRUE,,
109,109,치명상 Lv.4,[14],,0,0,FALSE,,0,0,,,,,,None,,TRUE,,
110,110,치명상 Lv.5,[15],,0,0,FALSE,,0,0,,,,,,None,,TRUE,,
111,111,느려짐 Lv.1,[16],,0,0,FALSE,,0,0,,,State_Slow,,,None,,TRUE,,
112,112,느려짐 Lv.2,[17],,0,0,FALSE,,0,0,,,State_Slow,,,None,,TRUE,,
113,113,느려짐 Lv.3,[18],,0,0,FALSE,,0,0,,,State_Slow,,,None,,TRUE,,
114,114,느려짐 Lv.4,[19],,0,0,FALSE,,0,0,,,State_Slow,,,None,,TRUE,,
115,115,느려짐 Lv.5,[20],,0,0,FALSE,,0,0,,,State_Slow,,,None,,TRUE,,
401,401,지역 효과,,"[CantPVP,CantPVE,Immunity,Peace]",0,0,FALSE,,0,0,,,,,,None,,FALSE,,
402,402,지역 효과(복수 불가),,[CantPVP],0,0,FALSE,,0,0,,,,,,None,,FALSE,,
403,403,지역 효과,,[Peace],0,0,FALSE,,0,0,,,,,,None,,FALSE,,
404,404,지역 효과,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
405,405,지역 효과,,[Peace],0,0,FALSE,,0,0,,,,,,None,,FALSE,,
406,406,지역 효과,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
407,407,지역 효과,,[Peace],0,0,FALSE,,0,0,,,,,,None,,FALSE,,
408,408,지역 효과,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
409,409,지역 효과,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
410,410,지역 효과,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
411,411,지역 효과,,"[CantRevenge,SparringStage]",0,0,FALSE,,0,0,,,,,,None,,FALSE,,
412,412,지역 효과,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
413,413,지역 효과,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
414,414,지역 효과,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
415,415,지역 효과(복수 가능),,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
416,416,지역 효과,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
417,417,지역 효과,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
418,418,지역 효과,,[Immunity],0,0,FALSE,,0,0,,,,,,None,,FALSE,,
501,501,탈 것 탑승 상태 확인,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
502,502,"시퀀스 재생 중 무적, 평화",,"[Immunity,Peace]",0,0,FALSE,,0,0,,,,,,None,,FALSE,,
601,601,부활지 평화 구역(Monster포즈용),,"[CantPVP,CantPVE,Immunity,Root]",0,0,FALSE,,601,0,,,,,,None,,FALSE,,
602,602,"부활지 평화 구역(안내, 효과적용)",,[Peace],0,0,FALSE,,0,0,,,State_InPeace,,,None,,FALSE,,
701,701,이니스 섬에 위치한 캐릭터,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
703,703,누이 신전에 위치한 캐릭터,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
900,900,Bush hide,,[BushHide],0,0,FALSE,,0,0,,,,,,None,,FALSE,,
901,901,bush SC 블락,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1000,1000,혈귀,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1001,1001,와다다다다,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1002,1002,난 한놈만 패,,,0,0,FALSE,,0,0,Class_Tome_EvilDash,,,,,None,,FALSE,,
1003,1003,호전광,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1004,1004,그라데이션 분노,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1005,1005,갈증,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1006,1006,위기에 강한편이야,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1007,1007,집중력 강한편이야,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1008,1008,맷집 강한편이야,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
