OID,Cid,Comment,TagCid,TagCondition,TargetCondition,TargetWhether,TagConditionFailedStringKey
1,1,파티원 체크,0,TRUE,Party,TRUE,
2,2,파티원 아님 체크,0,TRUE,Party,FALSE,
3,3,길드원 체크,0,TRUE,Guild,TRUE,
4,4,길드원 아님 체크,0,TRUE,Guild,FALSE,
5,5,자신 체크,0,TRUE,Self,TRUE,
6,6,자신 아님 체크,0,TRUE,Self,FALSE,
7,7,PVE 체크,0,TRUE,PVE,TRUE,
8,8,PVE 아님 체크,0,TRUE,PVE,FALSE,
9,9,PVP 체크,0,TRUE,PVP,TRUE,
10,10,PVP 아님 체크,0,TRUE,PVP,FALSE,
11,11,마을에 있음,10,TRUE,All,TRUE,TownFailed
12,12,마을에 없음,10,FALSE,All,TRUE,TownFailed
13,13,길드 거점에 있음,13,TRUE,All,TRUE,GuildHomeFailed
14,14,길드 거점에 없음,13,FALSE,All,TRUE,GuildHomeFailed
15,15,"마을, 바다에 있음",15,TRUE,All,TRUE,TownOceanFailed
16,16,"마을, 바다에 없음",15,FALSE,All,TRUE,TownOceanFailed
100,100,이로운 효과가 있음,100,TRUE,All,TRUE,
101,101,기절 있음,101,TRUE,All,TRUE,
102,102,기절 없음,101,FALSE,All,TRUE,
103,103,피해 면역 있음,103,TRUE,All,TRUE,
104,104,피해 면역 없음,103,FALSE,All,TRUE,
105,105,봉쇄 있음,105,TRUE,All,TRUE,
106,106,봉쇄 없음,105,FALSE,All,TRUE,
107,107,속박 있음,107,TRUE,All,TRUE,
108,108,속박 없음,107,FALSE,All,TRUE,TrapFailed
109,109,어둠 있음,109,TRUE,All,TRUE,
110,110,어둠 없음,109,FALSE,All,TRUE,
111,111,대상 지정 불가 있음,111,TRUE,All,TRUE,
112,112,대상 지정 불가 없음,111,FALSE,All,TRUE,
113,113,무적 있음,113,TRUE,All,TRUE,
114,114,무적 없음,113,FALSE,All,TRUE,
115,115,부유 있음,115,TRUE,All,TRUE,
116,116,부유 없음,115,FALSE,All,TRUE,
117,117,은신 있음,117,TRUE,All,TRUE,
118,118,은신 없음,117,FALSE,All,TRUE,
