OID,Cid,Comment,Expand,Cost
1,1,,20,0
2,2,,24,50
3,3,,28,50
4,4,,32,50
5,5,,36,50
6,6,,40,50
7,7,,44,50
8,8,,48,50
9,9,,52,50
10,10,,56,50
11,11,,60,50
12,12,,64,50
13,13,,68,50
14,14,,72,50
15,15,,76,50
16,16,,80,50
17,17,,84,50
18,18,,88,50
19,19,,92,50
20,20,,96,50
21,21,,100,50
22,22,,104,50
23,23,,108,50
24,24,,112,50
25,25,,116,50
26,26,,120,50
27,27,,124,50
28,28,,128,50
29,29,,132,50
30,30,,136,50
31,31,,140,50
32,32,,144,50
33,33,,148,50
34,34,,152,50
35,35,,156,50
36,36,,160,50
37,37,,164,50
38,38,,168,50
39,39,,172,50
40,40,,176,50
41,41,,180,50
42,42,,184,50
43,43,,188,50
44,44,,192,50
45,45,,196,50
46,46,,200,50
47,47,,204,50
48,48,,208,50
49,49,,212,50
50,50,,216,50
51,51,,220,50
52,52,,224,50
53,53,,228,50
54,54,,232,50
55,55,,236,50
56,56,,240,50
57,57,,244,50
58,58,,248,50
59,59,,252,50
60,60,,256,50
61,61,,260,50
62,62,,264,50
63,63,,268,50
64,64,,272,50
65,65,,276,50
66,66,,280,50
67,67,,284,50
68,68,,288,50
69,69,,292,50
70,70,,296,50
71,71,,300,50
