OID,Cid,Boundaries
20031,20031,"((X=-5590.000000,Y=55170.000000),(X=-4630.000000,Y=54801.000000),(X=1560.000000,Y=60740.000000),(X=-250.000000,Y=62600.000000),(X=-3377.000000,Y=62572.000000),(X=-5530.000000,Y=59350.000000),(X=0.000000,Y=0.000000),(X=-4160.000000,Y=61400.000000),(X=-3377.000000,Y=62572.000000),(X=-3570.000000,Y=62570.000000),(X=0.000000,Y=0.000000),(X=-4630.000000,Y=54801.000000),(X=-2940.000000,Y=54150.000000),(X=-260.000000,Y=54090.000000),(X=960.000000,Y=54940.000000),(X=1670.000000,Y=57250.000000),(X=1450.000000,Y=58260.000000),(X=126.000000,Y=59364.000000),(X=0.000000,Y=0.000000),(X=126.000000,Y=59364.000000),(X=310.000000,Y=59210.000000),(X=820.000000,Y=60030.000000))"
20032,20032,"((X=-22130.000000,Y=61920.000000),(X=-21730.000000,Y=58890.000000),(X=-15704.000000,Y=57374.000000),(X=-15290.000000,Y=57530.000000),(X=-10610.000000,Y=61440.000000),(X=-9960.000000,Y=62760.000000),(X=-10890.000000,Y=66000.000000),(X=-12762.000000,Y=66008.000000),(X=-12763.000000,Y=66008.000000),(X=-18890.000000,Y=65160.000000),(X=-21540.000000,Y=63930.000000),(X=0.000000,Y=0.000000),(X=-16000.000000,Y=65560.000000),(X=-12762.000000,Y=66008.000000),(X=-13200.000000,Y=66010.000000),(X=0.000000,Y=0.000000),(X=-20140.000000,Y=58490.000000),(X=-17070.000000,Y=56860.000000),(X=-15704.000000,Y=57374.000000))"
20033,20033,"((X=-32127.000000,Y=83796.000000),(X=-25770.000000,Y=72050.000000),(X=-21560.000000,Y=73270.000000),(X=-21650.000000,Y=73860.000000),(X=-22440.000000,Y=76230.000000),(X=-23290.000000,Y=77800.000000),(X=-24910.000000,Y=79890.000000),(X=-27380.000000,Y=81840.000000),(X=-29880.000000,Y=83280.000000),(X=0.000000,Y=0.000000),(X=-35970.000000,Y=76360.000000),(X=-35780.000000,Y=75220.000000),(X=-34100.000000,Y=74980.000000),(X=-27422.000000,Y=75101.000000),(X=-27422.000000,Y=75102.000000),(X=-31598.000000,Y=82818.000000),(X=0.000000,Y=0.000000),(X=-31358.000000,Y=75030.000000),(X=-31350.000000,Y=75030.000000),(X=-27410.000000,Y=75080.000000),(X=-27422.000000,Y=75102.000000),(X=0.000000,Y=0.000000),(X=-36100.000000,Y=80330.000000),(X=-35064.000000,Y=77698.000000),(X=-31598.000000,Y=82818.000000),(X=-32127.000000,Y=83796.000000),(X=-32320.000000,Y=83840.000000),(X=-34970.000000,Y=84150.000000),(X=-35750.000000,Y=83080.000000),(X=0.000000,Y=0.000000),(X=-35730.000000,Y=79390.000000),(X=-35530.000000,Y=77010.000000),(X=-35064.000000,Y=77698.000000))"
20034,20034,"((X=-33920.000000,Y=74880.000000),(X=-33560.000000,Y=70350.000000),(X=-31430.000000,Y=68720.000000),(X=-29160.000000,Y=68540.000000),(X=-26370.000000,Y=69370.000000),(X=-26914.000000,Y=73806.000000),(X=-27530.000000,Y=74940.000000),(X=0.000000,Y=0.000000),(X=-26914.000000,Y=73806.000000),(X=-26630.000000,Y=71490.000000),(X=-25960.000000,Y=72050.000000))"
20035,20035,"((X=-7961.000000,Y=92787.000000),(X=-7899.000000,Y=85284.000000),(X=-4538.000000,Y=82556.000000),(X=-1230.000000,Y=82710.000000),(X=-120.000000,Y=82960.000000),(X=1160.000000,Y=83960.000000),(X=2370.000000,Y=85180.000000),(X=630.000000,Y=91290.000000),(X=-1730.000000,Y=93460.000000),(X=0.000000,Y=0.000000),(X=-4538.000000,Y=82556.000000),(X=-4530.000000,Y=82550.000000),(X=-3595.000000,Y=82600.000000),(X=-3600.000000,Y=82600.000000),(X=-4538.000000,Y=82557.000000),(X=0.000000,Y=0.000000),(X=-7970.000000,Y=93880.000000),(X=-7961.000000,Y=92787.000000),(X=-4230.000000,Y=93190.000000),(X=-7280.000000,Y=94700.000000),(X=0.000000,Y=0.000000),(X=-7899.000000,Y=85284.000000),(X=-7889.000000,Y=84053.000000),(X=-7220.000000,Y=83460.000000),(X=-5220.000000,Y=83110.000000),(X=0.000000,Y=0.000000),(X=-10279.000000,Y=86480.000000),(X=-8360.000000,Y=84470.000000),(X=-7889.000000,Y=84053.000000),(X=-7960.000000,Y=92670.000000),(X=-8960.000000,Y=91820.000000),(X=-10279.000000,Y=86481.000000),(X=0.000000,Y=0.000000),(X=-10450.000000,Y=86660.000000),(X=-10279.000000,Y=86480.000000),(X=-9780.000000,Y=88500.000000))"
20036,20036,"((X=-29530.000000,Y=98420.000000),(X=-27630.000000,Y=97910.000000),(X=-20759.000000,Y=99881.000000),(X=-20910.000000,Y=101730.000000),(X=-21280.000000,Y=103290.000000),(X=-22290.000000,Y=103810.000000),(X=-26540.000000,Y=103580.000000),(X=-28200.000000,Y=102810.000000),(X=-28960.000000,Y=101380.000000),(X=-29530.000000,Y=99640.000000),(X=0.000000,Y=0.000000),(X=-26099.000000,Y=98349.000000),(X=-22660.000000,Y=98280.000000),(X=-22200.000000,Y=98290.000000),(X=-20660.000000,Y=98660.000000),(X=-20759.000000,Y=99881.000000),(X=0.000000,Y=0.000000),(X=-26410.000000,Y=98260.000000),(X=-24960.000000,Y=98110.000000),(X=-24650.000000,Y=98320.000000),(X=-26099.000000,Y=98349.000000))"
20037,20037,"((X=-34668.000000,Y=59754.000000),(X=-32481.000000,Y=55468.000000),(X=-28470.000000,Y=55360.000000),(X=-26360.000000,Y=56420.000000),(X=-25070.000000,Y=58410.000000),(X=-25130.000000,Y=59890.000000),(X=-26960.000000,Y=62670.000000),(X=-27590.000000,Y=63160.000000),(X=-30790.000000,Y=63100.000000),(X=0.000000,Y=0.000000),(X=-35130.000000,Y=60660.000000),(X=-34668.000000,Y=59754.000000),(X=-31810.000000,Y=62220.000000),(X=0.000000,Y=0.000000),(X=-33880.000000,Y=58210.000000),(X=-33670.000000,Y=55500.000000),(X=-32481.000000,Y=55468.000000))"
20038,20038,"((X=-50676.000000,Y=60274.000000),(X=-45760.000000,Y=53000.000000),(X=-44710.000000,Y=53130.000000),(X=-42620.000000,Y=53840.000000),(X=-37870.000000,Y=57426.000000),(X=-37960.000000,Y=58700.000000),(X=-41380.000000,Y=64020.000000),(X=-42269.000000,Y=64757.000000),(X=-49960.000000,Y=61670.000000),(X=0.000000,Y=0.000000),(X=-50940.000000,Y=59760.000000),(X=-47950.000000,Y=56240.000000),(X=-50676.000000,Y=60274.000000),(X=0.000000,Y=0.000000),(X=-41640.000000,Y=54580.000000),(X=-39120.000000,Y=55730.000000),(X=-37830.000000,Y=56850.000000),(X=-37870.000000,Y=57426.000000),(X=-37871.000000,Y=57426.000000),(X=0.000000,Y=0.000000),(X=-48610.000000,Y=66480.000000),(X=-48540.000000,Y=62240.000000),(X=-43405.000000,Y=64301.000000),(X=0.000000,Y=0.000000),(X=-45720.000000,Y=65270.000000),(X=-43406.000000,Y=64301.000000),(X=-43405.000000,Y=64301.000000),(X=-42269.000000,Y=64757.000000),(X=-43140.000000,Y=65480.000000))"
20039,20039,"((X=-45320.000000,Y=89930.000000),(X=-44769.000000,Y=81618.000000),(X=-44768.000000,Y=81618.000000),(X=-42189.000000,Y=83539.000000),(X=-42720.000000,Y=89530.000000),(X=0.000000,Y=0.000000),(X=-42650.000000,Y=88740.000000),(X=-42189.000000,Y=83539.000000),(X=-40590.000000,Y=84730.000000),(X=-40850.000000,Y=87380.000000),(X=0.000000,Y=0.000000),(X=-50150.000000,Y=81080.000000),(X=-49310.000000,Y=79250.000000),(X=-48560.000000,Y=78795.000000),(X=-44768.000000,Y=81618.000000),(X=-45180.000000,Y=87820.000000),(X=-47030.000000,Y=86740.000000),(X=0.000000,Y=0.000000),(X=-48560.000000,Y=78795.000000),(X=-46030.000000,Y=77260.000000),(X=-43190.000000,Y=77170.000000),(X=-42700.000000,Y=77540.000000),(X=-44237.000000,Y=82014.000000),(X=0.000000,Y=0.000000),(X=-44237.000000,Y=82014.000000),(X=-43642.000000,Y=80284.000000),(X=-41760.000000,Y=83250.000000),(X=-41530.000000,Y=84030.000000),(X=0.000000,Y=0.000000),(X=-43642.000000,Y=80284.000000),(X=-43150.000000,Y=78850.000000),(X=-43080.000000,Y=81170.000000))"
20040,20040,"((X=-21450.000000,Y=80650.000000),(X=-21200.000000,Y=78730.000000),(X=-20090.000000,Y=76910.000000),(X=-17990.000000,Y=75610.000000),(X=-15900.000000,Y=75590.000000),(X=-14210.000000,Y=75870.000000),(X=-11750.000000,Y=77650.000000),(X=-11730.000000,Y=79310.000000),(X=-12370.000000,Y=81370.000000),(X=-13410.000000,Y=83460.000000),(X=-15010.000000,Y=84570.000000),(X=-17590.000000,Y=84890.000000),(X=-19700.000000,Y=84260.000000),(X=-20830.000000,Y=82320.000000))"
