OID,Cid,Comment,EnhanceGroup,EnhanceStep,RewardCurrencyRatio,Proportion
1,1,무기 보급품 강화 없음,100,0,1000,2000
2,2,무기 보급품 +1강,100,1,1500,1000
3,3,무기 보급품 +2강,100,2,2000,500
4,4,무기 보급품 +3강,100,3,3000,150
5,5,무기 보급품 +4강,100,4,4000,30
6,6,무기 보급품 +5강,100,5,5000,0
7,7,무기 보급품 +6강,100,6,6000,0
8,8,무기 보급품 +7강,100,7,7000,0
9,9,무기 보급품 +8강,100,8,8000,0
10,10,무기 보급품 +9강,100,9,9000,0
11,11,방어구 보급품 강화 없음,200,0,1000,2000
12,12,방어구 보급품 +1강,200,1,1500,1000
13,13,방어구 보급품 +2강,200,2,2000,500
14,14,방어구 보급품 +3강,200,3,2500,150
15,15,방어구 보급품 +4강,200,4,3000,30
16,16,방어구 보급품 +5강,200,5,3500,0
17,17,방어구 보급품 +6강,200,6,4000,0
18,18,방어구 보급품 +7강,200,7,4500,0
19,19,방어구 보급품 +8강,200,8,5000,0
20,20,방어구 보급품 +9강,200,9,5500,0
21,21,장신구 보급품 강화 없음,300,0,1000,2000
22,22,장신구 보급품 +1강,300,1,1500,1000
23,23,장신구 보급품 +2강,300,2,2000,500
24,24,장신구 보급품 +3강,300,3,2500,150
25,25,장신구 보급품 +4강,300,4,3000,30
26,26,장신구 보급품 +5강,300,5,3500,0
27,27,장신구 보급품 +6강,300,6,4000,0
28,28,장신구 보급품 +7강,300,7,4500,0
29,29,장신구 보급품 +8강,300,8,5000,0
30,30,장신구 보급품 +9강,300,9,5500,0
