OID,Cid,Comment,GradeGroup,Grade,RewardCurrencyRatio,Proportion
1,1,무기 보급품 - 일반 등급,100,Common,1000,1000
2,2,무기 보급품 - 고급 등급,100,Uncommon,2000,500
3,3,무기 보급품 - 희귀 등급,100,Rare,3000,250
4,4,무기 보급품 - 영웅 등급,100,Heroic,4000,100
5,5,무기 보급품 - 고대 등급,100,Ancient,5000,0
6,6,무기 보급품 - 유일 등급,100,Unique,6000,0
7,7,방어구 보급품 - 일반 등급,200,Common,1000,1000
8,8,방어구 보급품 - 고급 등급,200,Uncommon,1500,600
9,9,방어구 보급품 - 희귀 등급,200,Rare,2000,300
10,10,방어구 보급품 - 영웅 등급,200,Heroic,2500,150
11,11,방어구 보급품 - 고대 등급,200,Ancient,5000,0
12,12,방어구 보급품 - 유일 등급,200,Unique,6000,0
13,13,장신구 보급품 - 일반 등급,300,Common,1000,1000
14,14,장신구 보급품 - 고급 등급,300,Uncommon,1500,600
15,15,장신구 보급품 - 희귀 등급,300,Rare,2000,300
16,16,장신구 보급품 - 영웅 등급,300,Heroic,2500,150
17,17,장신구 보급품 - 고대 등급,300,Ancient,5000,0
18,18,장신구 보급품 - 유일 등급,300,Unique,6000,0
