OID,Cid,Comment,Kind,CraftZoneGroupCid,SellZoneGroupCid,RewardMinCurrencyRatio,RewardMaxCurrencyRatio,Proportion
1,1,솔즈리드 반도 -> 릴리엇 구릉지,Supplies,101,102,1000,1200,2000
2,2,솔즈리드 반도 -> 가랑돌 평원,Supplies,101,103,1100,1320,1000
3,3,솔즈리드 반도 -> 하얀 숲,Supplies,101,104,1200,1440,500
4,4,솔즈리드 반도 -> 마리아노플,Supplies,101,105,1300,1560,150
5,5,솔즈리드 반도 -> 달의 뒷면,Supplies,101,111,1500,1800,30
7,7,릴리엇 구릉지 -> 솔즈리드 반도,Supplies,102,101,1000,1200,0
8,8,릴리엇 구릉지 -> 가랑돌 평원,Supplies,102,103,1000,1200,0
9,9,릴리엇 구릉지 -> 하얀 숲,Supplies,102,104,1100,1320,0
10,10,릴리엇 구릉지 -> 마리아노플,Supplies,102,105,1200,1440,0
11,11,릴리엇 구릉지 -> 달의 뒷면,Supplies,102,111,1400,1680,2000
12,12,솔즈리드 반도 -> 황금 평원 ,Commodity,101,106,1200,1440,1000
13,13,솔즈리드 반도 -> 지옥 늪지대,Commodity,101,107,1400,1680,500
14,14,솔즈리드 반도 -> 긴 모래톱,Commodity,101,108,1300,1560,150
15,15,솔즈리드 반도 -> 두 왕관,Commodity,101,109,1200,1440,30
16,16,솔즈리드 반도 -> 십자별 평원,Commodity,101,110,1500,1800,0
