OID,Cid,Comment,DescName
1,1,,A
2,2,,B
3,3,,C
4,4,,D
5,5,,E
6,6,,F
7,7,,G
8,8,,H
9,9,,I
10,10,,J
11,11,,K
12,12,,L
13,13,,M
14,14,,N
15,15,,O
16,16,,P
17,17,,Q
18,18,,R
19,19,,S
20,20,,T
21,21,,U
22,22,,V
23,23,,W
24,24,,X
25,25,,Y
26,26,,Z
27,27,,魔(마)
28,28,,王(왕)
29,29,,神(신)
30,30,,武(무)
31,31,,日(일)
32,32,,中(중)
33,33,,드래곤
34,34,,유니콘
35,35,,여우
36,36,,황제
37,37,,종이비행기
38,38,,외계인
39,39,,도적
40,40,,경찰
41,41,,교통사고
42,42,,뱀
43,43,,동물 발바닥
44,44,,구미호
45,45,,상상도 못한 정체
46,46,,대왕 마우스 커서
47,47,,똥
48,48,,뚫어뻥
49,49,,로켓
50,50,,모래시계
51,51,,바나나 껍질
52,52,,발자국
53,53,,사신
54,54,,진저쿠키
55,55,,생선뼈
56,56,,팥 붕어빵
57,57,,슈크림 붕어빵
58,58,,천사
59,59,,악마
60,60,,황금 팬티
61,61,,혁명
62,62,,애너지효율
63,63,,주가상승
64,64,,주가하락
65,65,,황금 변기
66,66,,유령
67,67,,취급주의
68,68,,은하계
