OID,SpawnerId,Name,ActorCategory,Cid,Interval,bRoaming,bIsMinion,bQuestSpawner,bSpawnOnlySequence,bInstanceSpawner,NumMaxSpawn,SpawnChance,RetrialCnt,LifeTime,Points,Rotations,AIPathCids,bEventDespawn,InitialTimeMin,InitialTimeMax
1,101801,PointFixedUnitSpawner_C_UAID_107C61B2038999AA02_1230284356,Monster,101801,0,True,False,True,False,False,1,1000,0,0,"((X=350106.587301,Y=-123781.134469,Z=-1982.910544))","((X=-0.000000,Y=0.000000,Z=-0.258819,W=0.965926))","(10180101)",False,0,0
2,10001002,PointFixedUnitSpawner_C_UAID_107C61B2038958A802_1573264296,Monster,10001102,0,True,False,False,False,False,1,1000,0,0,"((X=351980.274186,Y=-128144.355294,Z=-1974.899091))","((X=0.000000,Y=-0.000000,Z=0.707107,W=0.707107))","(0)",False,0,0
3,10001002,PointFixedUnitSpawner_C_UAID_107C61B2038932BB02_1461976388,Monster,10001102,0,True,False,False,False,False,1,1000,0,0,"((X=352721.669217,Y=-128145.554390,Z=-1976.559338))","((X=0.000000,Y=-0.000000,Z=0.422618,W=0.906308))","(0)",False,0,0
4,10001001,PointFixedUnitSpawner_C_UAID_08BFB8A62AC450A302_1600791968,Monster,10001101,0,True,False,False,False,False,1,1000,0,0,"((X=354539.488903,Y=-127788.987708,Z=-1985.950334))","((X=0.000000,Y=-0.000000,Z=0.965926,W=0.258819))","(0)",False,0,0
5,10001002,PointFixedUnitSpawner_C_UAID_08BFB8A62AC450A302_1651481971,Monster,10001102,0,True,False,False,False,False,1,1000,0,0,"((X=353907.376654,Y=-128836.819984,Z=-1962.453681))","((X=0.000000,Y=-0.000000,Z=0.965926,W=0.258819))","(0)",False,0,0
6,10001001,PointFixedUnitSpawner_C_UAID_107C61B2038932BB02_1403334382,Monster,10001101,0,True,False,False,False,False,1,1000,0,0,"((X=352874.438676,Y=-129054.145409,Z=-1976.961538))","((X=-0.000000,Y=0.000000,Z=-0.819152,W=0.573576))","(0)",False,0,0
7,10001002,PointFixedUnitSpawner_C_UAID_08BFB8A62AC450A302_1623145969,Monster,10001102,0,True,False,False,False,False,1,1000,0,0,"((X=353659.024590,Y=-129284.289657,Z=-1985.947010))","((X=0.000000,Y=-0.000000,Z=0.422618,W=0.906308))","(0)",False,0,0
8,10001002,PointFixedUnitSpawner_C_UAID_107C61B2038932BB02_1403333381,Monster,10001102,0,True,False,False,False,False,1,1000,0,0,"((X=352877.318716,Y=-128547.626823,Z=-1982.330437))","((X=0.000000,Y=-0.000000,Z=0.342020,W=0.939693))","(0)",False,0,0
9,10001001,PointFixedUnitSpawner_C_UAID_107C61B2038932BB02_1416823384,Monster,10001101,0,True,False,False,False,False,1,1000,0,0,"((X=353911.922567,Y=-127771.218400,Z=-1980.334037))","((X=0.000000,Y=-0.000000,Z=0.996195,W=0.087156))","(0)",False,0,0
10,95101001,PointFixedUnitSpawner_C_UAID_08BFB86E4D1E65A802_1657977784,Monster,95101101,0,True,False,False,False,False,1,1000,0,0,"((X=357908.000000,Y=-131902.000000,Z=-508.000000))","((X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000))","(0)",False,0,0
11,10001001,PointFixedUnitSpawner_C_UAID_107C61B20570608E02_1601918767,Monster,10001101,0,True,False,False,False,False,1,1000,0,0,"((X=351610.276505,Y=-128455.396874,Z=-1985.947124))","((X=0.000000,Y=-0.000000,Z=0.422618,W=0.906308))","(0)",False,0,0
