root_id,root_type,root_name,nodeId,comment,status_change_cids
100201,skill_root,휘두르기 Lv.1,1002010020007,피격된 대상 수 만큼 실드 회복,[100201]
100601,skill_root,성스러운 일격 Lv.1,1006010020008,일반 공격 시 재사용 대기시간 1초 감소,[100601]
100701,skill_root,폭주하는 광휘 Lv.1,1007010020010,폭주하는 광휘_패시브 Lv.1,[100706]
100702,skill_root,폭주하는 광휘 Lv.2 백업용,1007020020010,폭주하는 광휘_패시브 Lv.1,[100706]
200151,skill_root,적진으로 Lv.1,2001510020012,,[200156]
200152,skill_root,적진으로 Lv.2,2001520020012,,[200157]
200153,skill_root,적진으로 Lv.3,2001530020012,,[200158]
200154,skill_root,적진으로 Lv.4,2001540020012,,[200159]
200155,skill_root,적진으로 Lv.5,2001550020012,,[200160]
200251,skill_root,폭주 Lv.1,2002510020006,,[200261]
200252,skill_root,폭주 Lv.2,2002520020006,,[200262]
200253,skill_root,폭주 Lv.3,2002530020006,,[200263]
200254,skill_root,폭주 Lv.4,2002540020006,,[200264]
200255,skill_root,폭주 Lv.5,2002550020006,,[200265]
500501,skill_root,단검 투척 Lv.1,5005010020011,,[500501]
500701,skill_root,사방의 비수 Lv.1,5007010020007,사방의 비수로 체력 20% 이하인 적을 때리면 추가 대미지,[500701]
700500,skill_root,판금 갑옷_반격 치유  Lv.1,7005000020004,,[700500]
700600,skill_root,판금 투구_수비 태세  Lv.1,7006000020004,,[700600]
700700,skill_root,판금 장갑_체력 흡수  Lv.1,7007000020004,,[700700]
710500,skill_root,가죽 갑옷_분노 폭발  Lv.1,7105000020004,,[710500]
710600,skill_root,가죽 투구_예리한 감각  Lv.1,7106000020004,,[710600]
710700,skill_root,가죽 장갑_학살 가속  Lv.1,7107000020004,,[710700]
720500,skill_root,천 갑옷_완전한 집중  Lv.1,7205000020004,,[720500]
720600,skill_root,천 투구_전술 숙련  Lv.1,7206000020004,,[720600]
720700,skill_root,천 장갑_마나 흡수  Lv.1,7207000020004,,[720700]
720800,skill_root,공통 신발_역습 기동  Lv.1,7208000020004,,[720800]
750000,skill_root,생명력 Lv.1,7500000020004,,[750000]
750001,skill_root,생명력 Lv.2,7500010020004,,[750001]
750002,skill_root,강타 Lv.1,7500020020004,,[750002]
750003,skill_root,강타 Lv.2,7500030020004,,[750003]
750004,skill_root,광속 Lv.1,7500040020004,,[750004]
750005,skill_root,광속 Lv.2,7500050020004,,[750005]
750006,skill_root,정밀함 Lv.1,7500060020004,,[750006]
750007,skill_root,정밀함 Lv.2,7500070020004,,[750007]
750008,skill_root,마력 저장 Lv.1,7500080020004,,[750008]
750009,skill_root,마력 저장 Lv.2,7500090020004,,[750009]
750010,skill_root,마력 회복 Lv.1,7500100020004,,[750010]
750011,skill_root,마력 회복 Lv.2,7500110020004,,[750011]
750012,skill_root,강타 Lv.1,7500120020004,,[750012]
750013,skill_root,강타 Lv.2,7500130020004,,[750013]
750014,skill_root,마력 회복 Lv.1,7500140020004,,[750014]
750015,skill_root,마력 회복 Lv.2,7500150020004,,[750015]
750016,skill_root,강인함 Lv.1,7500160020004,,[750016]
750017,skill_root,강인함 Lv.2,7500170020004,,[750017]
750018,skill_root,수호 Lv.1,7500180020004,,[750018]
750019,skill_root,수호 Lv.2,7500190020004,,[750019]
750020,skill_root,생명력 Lv.1,7500200020004,,[750020]
750021,skill_root,생명력 Lv.2,7500210020004,,[750021]
750022,skill_root,재생력 Lv.1,7500220020004,,[750022]
750023,skill_root,재생력 Lv.2,7500230020004,,[750023]
750024,skill_root,전투 지속 Lv.1,7500240020004,,[750024]
750025,skill_root,전투 지속 Lv.2,7500250020004,,[750025]
750026,skill_root,전투 지속 Lv.3,7500260020004,,[750026]
750027,skill_root,광기의 심장 Lv.1,7500270020004,,[750027]
750028,skill_root,광기의 심장 Lv.2,7500280020004,,[750028]
750029,skill_root,광기의 심장 Lv.3,7500290020004,,[750029]
750030,skill_root,정밀 타격 Lv.1,7500300020004,,[750030]
750031,skill_root,정밀 타격 Lv.2,7500310020004,,[750031]
750032,skill_root,정밀 타격 Lv.3,7500320020004,,[750032]
750033,skill_root,투쟁 본능 Lv.1,7500330020004,,[750033]
750034,skill_root,투쟁 본능 Lv.2,7500340020004,,[750034]
750035,skill_root,투쟁 본능 Lv.3,7500350020004,,[750035]
750036,skill_root,잔혹한 연격 Lv.1,7500360020004,,[750036]
750037,skill_root,잔혹한 연격 Lv.2,7500370020004,,[750037]
750038,skill_root,잔혹한 연격 Lv.3,7500380020004,,[750038]
750039,skill_root,속공 태세 Lv.1,7500390020004,,[750039]
750040,skill_root,속공 태세 Lv.2,7500400020004,,[750040]
750041,skill_root,속공 태세 Lv.3,7500410020004,,[750041]
750042,skill_root,생존 본능 Lv.1,7500420020004,,[750042]
750043,skill_root,생존 본능 Lv.2,7500430020004,,[750043]
750044,skill_root,생존 본능 Lv.3,7500440020004,,[750044]
750045,skill_root,치명 본능 Lv.1,7500450020004,,[750045]
750046,skill_root,치명 본능 Lv.2,7500460020004,,[750046]
750047,skill_root,치명 본능 Lv.3,7500470020004,,[750047]
750048,skill_root,마력 순환 Lv.1,7500480020004,,[750048]
750049,skill_root,마력 순환 Lv.2,7500490020004,,[750049]
750050,skill_root,마력 순환 Lv.3,7500500020004,,[750050]
750051,skill_root,비전 감각 Lv.1,7500510020004,,[750051]
750052,skill_root,비전 감각 Lv.2,7500520020004,,[750052]
750053,skill_root,비전 감각 Lv.3,7500530020004,,[750053]
750054,skill_root,전투 회복 Lv.1,7500540020004,,[750054]
750055,skill_root,전투 회복 Lv.2,7500550020004,,[750055]
750056,skill_root,전투 회복 Lv.3,7500560020004,,[750056]
750057,skill_root,마력 회복 Lv.1,7500570020004,,[750057]
750058,skill_root,마력 회복 Lv.2,7500580020004,,[750058]
750059,skill_root,마력 회복 Lv.3,7500590020004,,[750059]
750060,skill_root,전투 숙련 Lv.1,7500600020004,,[750060]
750061,skill_root,전투 숙련 Lv.2,7500610020004,,[750061]
750062,skill_root,전투 숙련 Lv.3,7500620020004,,[750062]
750063,skill_root,마력 흡수 Lv.1,7500630020004,,[750063]
750064,skill_root,마력 흡수 Lv.2,7500640020004,,[750064]
750065,skill_root,마력 흡수 Lv.3,7500650020004,,[750065]
750066,skill_root,생명 순환 Lv.1,7500660020004,,[750066]
750067,skill_root,생명 순환 Lv.2,7500670020004,,[750067]
750068,skill_root,생명 순환 Lv.3,7500680020004,,[750068]
750069,skill_root,마력 회복 Lv.1,7500690020004,,[750069]
750070,skill_root,마력 회복 Lv.2,7500700020004,,[750070]
750071,skill_root,마력 회복 Lv.3,7500710020004,,[750071]
750072,skill_root,불굴 Lv.1,7500720020004,,[750072]
750073,skill_root,불굴 Lv.2,7500730020004,,[750073]
750074,skill_root,불굴 Lv.3,7500740020004,,[750074]
750075,skill_root,냉혹함 Lv.1,7500750020004,,[750075]
750076,skill_root,냉혹함 Lv.2,7500760020004,,[750076]
750077,skill_root,냉혹함 Lv.3,7500770020004,,[750077]
750078,skill_root,수호 집중 Lv.1,7500780020004,,[750078]
750079,skill_root,수호 집중 Lv.2,7500790020004,,[750079]
750080,skill_root,수호 집중 Lv.3,7500800020004,,[750080]
750081,skill_root,재생 갑주 Lv.1,7500810020004,,[750081]
750082,skill_root,재생 갑주 Lv.2,7500820020004,,[750082]
750083,skill_root,재생 갑주 Lv.3,7500830020004,,[750083]
750084,skill_root,활력 폭주 Lv.1,7500840020004,,[750084]
750085,skill_root,활력 폭주 Lv.2,7500850020004,,[750085]
750086,skill_root,활력 폭주 Lv.3,7500860020004,,[750086]
750087,skill_root,철벽 Lv.1,7500870020004,,[750087]
750088,skill_root,철벽 Lv.2,7500880020004,,[750088]
750089,skill_root,철벽 Lv.3,7500890020004,,[750089]
750090,skill_root,생명의 샘 Lv.1,7500900020004,,[750090]
750091,skill_root,생명의 샘 Lv.2,7500910020004,,[750091]
750092,skill_root,생명의 샘 Lv.3,7500920020004,,[750092]
750093,skill_root,생존 감각 Lv.1,7500930020004,,[750093]
750094,skill_root,생존 감각 Lv.2,7500940020004,,[750094]
750095,skill_root,생존 감각 Lv.3,7500950020004,,[750095]
750096,skill_root,투지 Lv.1,7500960020004,,[750096]
750097,skill_root,투지 Lv.2,7500970020004,,[750097]
750098,skill_root,투지 Lv.3,7500980020004,,[750098]
750099,skill_root,투지 Lv.4,7500990020004,,[750099]
750100,skill_root,강타 Lv.1,7501000020004,,[750100]
750101,skill_root,강타 Lv.2,7501010020004,,[750101]
750102,skill_root,강타 Lv.3,7501020020004,,[750102]
750103,skill_root,강타 Lv.4,7501030020004,,[750103]
750104,skill_root,광기의 심장 Lv.1,7501040020004,,[750104]
750105,skill_root,광기의 심장 Lv.2,7501050020004,,[750105]
750106,skill_root,광기의 심장 Lv.3,7501060020004,,[750106]
750107,skill_root,광기의 심장 Lv.4,7501070020004,,[750107]
750108,skill_root,강타 Lv.1,7501080020004,,[750108]
750109,skill_root,강타 Lv.2,7501090020004,,[750109]
750110,skill_root,강타 Lv.3,7501100020004,,[750110]
750111,skill_root,강타 Lv.4,7501110020004,,[750111]
750112,skill_root,전투 지속 Lv.1,7501120020004,,[750112]
750113,skill_root,전투 지속 Lv.2,7501130020004,,[750113]
750114,skill_root,전투 지속 Lv.3,7501140020004,,[750114]
750115,skill_root,전투 지속 Lv.4,7501150020004,,[750115]
750116,skill_root,사냥꾼 Lv.1,7501160020004,,[750116]
750117,skill_root,사냥꾼 Lv.2,7501170020004,,[750117]
750118,skill_root,사냥꾼 Lv.3,7501180020004,,[750118]
750119,skill_root,사냥꾼 Lv.4,7501190020004,,[750119]
750120,skill_root,학살 본능 Lv.1,7501200020004,,[750120]
750121,skill_root,학살 본능 Lv.2,7501210020004,,[750121]
750122,skill_root,학살 본능 Lv.3,7501220020004,,[750122]
750123,skill_root,학살 본능 Lv.4,7501230020004,,[750123]
750124,skill_root,가속 Lv.1,7501240020004,,[750124]
750125,skill_root,가속 Lv.2,7501250020004,,[750125]
750126,skill_root,가속 Lv.3,7501260020004,,[750126]
750127,skill_root,가속 Lv.4,7501270020004,,[750127]
750128,skill_root,투쟁 본능 Lv.1,7501280020004,,[750128]
750129,skill_root,투쟁 본능 Lv.2,7501290020004,,[750129]
750130,skill_root,투쟁 본능 Lv.3,7501300020004,,[750130]
750131,skill_root,투쟁 본능 Lv.4,7501310020004,,[750131]
750132,skill_root,강인함 Lv.1,7501320020004,,[750132]
750133,skill_root,강인함 Lv.2,7501330020004,,[750133]
750134,skill_root,강인함 Lv.3,7501340020004,,[750134]
750135,skill_root,강인함 Lv.4,7501350020004,,[750135]
750136,skill_root,정밀 타격 Lv.1,7501360020004,,[750136]
750137,skill_root,정밀 타격 Lv.2,7501370020004,,[750137]
750138,skill_root,정밀 타격 Lv.3,7501380020004,,[750138]
750139,skill_root,정밀 타격 Lv.4,7501390020004,,[750139]
750140,skill_root,광속 Lv.1,7501400020004,,[750140]
750141,skill_root,광속 Lv.2,7501410020004,,[750141]
750142,skill_root,광속 Lv.3,7501420020004,,[750142]
750143,skill_root,광속 Lv.4,7501430020004,,[750143]
750144,skill_root,잔인한 일격 Lv.1,7501440020004,,[750144]
750145,skill_root,잔인한 일격 Lv.2,7501450020004,,[750145]
750146,skill_root,잔인한 일격 Lv.3,7501460020004,,[750146]
750147,skill_root,잔인한 일격 Lv.4,7501470020004,,[750147]
750148,skill_root,광속 Lv.1,7501480020004,,[750148]
750149,skill_root,광속 Lv.2,7501490020004,,[750149]
750150,skill_root,광속 Lv.3,7501500020004,,[750150]
750151,skill_root,광속 Lv.4,7501510020004,,[750151]
750152,skill_root,잔혹한 연격 Lv.1,7501520020004,,[750152]
750153,skill_root,잔혹한 연격 Lv.2,7501530020004,,[750153]
750154,skill_root,잔혹한 연격 Lv.3,7501540020004,,[750154]
750155,skill_root,잔혹한 연격 Lv.4,7501550020004,,[750155]
750156,skill_root,광폭화 Lv.1,7501560020004,,[750156]
750157,skill_root,광폭화 Lv.2,7501570020004,,[750157]
750158,skill_root,광폭화 Lv.3,7501580020004,,[750158]
750159,skill_root,광폭화 Lv.4,7501590020004,,[750159]
750160,skill_root,속공 태세 Lv.1,7501600020004,,[750160]
750161,skill_root,속공 태세 Lv.2,7501610020004,,[750161]
750162,skill_root,속공 태세 Lv.3,7501620020004,,[750162]
750163,skill_root,속공 태세 Lv.4,7501630020004,,[750163]
750164,skill_root,사냥꾼 Lv.1,7501640020004,,[750164]
750165,skill_root,사냥꾼 Lv.2,7501650020004,,[750165]
750166,skill_root,사냥꾼 Lv.3,7501660020004,,[750166]
750167,skill_root,사냥꾼 Lv.4,7501670020004,,[750167]
750168,skill_root,정밀 연타 Lv.1,7501680020004,,[750168]
750169,skill_root,정밀 연타 Lv.2,7501690020004,,[750169]
750170,skill_root,정밀 연타 Lv.3,7501700020004,,[750170]
750171,skill_root,정밀 연타 Lv.4,7501710020004,,[750171]
750172,skill_root,생명력 Lv.1,7501720020004,,[750172]
750173,skill_root,생명력 Lv.2,7501730020004,,[750173]
750174,skill_root,생명력 Lv.3,7501740020004,,[750174]
750175,skill_root,생명력 Lv.4,7501750020004,,[750175]
750176,skill_root,학살 본능 Lv.1,7501760020004,,[750176]
750177,skill_root,학살 본능 Lv.2,7501770020004,,[750177]
750178,skill_root,학살 본능 Lv.3,7501780020004,,[750178]
750179,skill_root,학살 본능 Lv.4,7501790020004,,[750179]
750180,skill_root,광속 Lv.1,7501800020004,,[750180]
750181,skill_root,광속 Lv.2,7501810020004,,[750181]
750182,skill_root,광속 Lv.3,7501820020004,,[750182]
750183,skill_root,광속 Lv.4,7501830020004,,[750183]
750184,skill_root,치명 본능 Lv.1,7501840020004,,[750184]
750185,skill_root,치명 본능 Lv.2,7501850020004,,[750185]
750186,skill_root,치명 본능 Lv.3,7501860020004,,[750186]
750187,skill_root,치명 본능 Lv.4,7501870020004,,[750187]
750188,skill_root,가속 Lv.1,7501880020004,,[750188]
750189,skill_root,가속 Lv.2,7501890020004,,[750189]
750190,skill_root,가속 Lv.3,7501900020004,,[750190]
750191,skill_root,가속 Lv.4,7501910020004,,[750191]
750192,skill_root,생존 본능 Lv.1,7501920020004,,[750192]
750193,skill_root,생존 본능 Lv.2,7501930020004,,[750193]
