root_id,root_type,root_name,nodeId,comment,projectile_range,range,range_offset,first_notify_apply_selection,reach_end_apply_selection
100301,skill_root,방패 투척 Lv.1,1003010020007,,500,[100],[],1003010020008,
300001,skill_root,충격 사격 Lv.1,3000010020007,얼음 화살,1000,[85],[],3000010020008,
300002,skill_root,충격 사격 Lv.2,3000020020007,얼음 화살,1000,[85],[],3000020020008,
300003,skill_root,충격 사격 Lv.3,3000030020007,얼음 화살,1000,[85],[],3000030020008,
300004,skill_root,충격 사격 Lv.4,3000040020007,,1000,[85],[],3000040020008,
300005,skill_root,충격 사격 Lv.5,3000050020007,,1000,[85],[],3000050020008,
300351,skill_root,폭탄 화살 Lv.1,3003510020007,,1600,[85],[],3003510020008,3003510020011
300352,skill_root,폭탄 화살 Lv.2,3003520020007,,1600,[85],[],3003520020008,3003520020011
300353,skill_root,폭탄 화살 Lv.3,3003530020007,,1600,[85],[],3003530020008,3003530020011
300354,skill_root,폭탄 화살 Lv.4,3003540020007,,1600,[85],[],3003540020008,3003540020011
300355,skill_root,폭탄 화살 Lv.5,3003550020007,,1600,[85],[],3003550020008,3003550020011
300551,skill_root,폭탄 화살 Lv.1,3005510020007,,1600,[85],[],3005510020008,3005510020011
300651,skill_root,천상의 그물 Lv.1,3006510020007,천상의 그물 Lv.1,1000,[85],[],3006510020008,
400000,skill_root,얼음 화살_테스트 Lv.1,4000000020007,얼음 화살,1000,[85],[],4000000020008,
400001,skill_root,얼음 화살 Lv.1,4000010020007,얼음 화살,1000,[85],[],4000010020008,
400002,skill_root,얼음 화살 Lv.2,4000020020007,얼음 화살,1000,[85],[],4000020020008,
400003,skill_root,얼음 화살 Lv.3,4000030020007,얼음 화살,1000,[85],[],4000030020008,
400004,skill_root,얼음 화살 Lv.4,4000040020007,얼음 화살,1000,[85],[],4000040020008,
400005,skill_root,얼음 화살 Lv.5,4000050020007,얼음 사자(얼음 화살 만렙),1000,[85],[],4000050020008,
500501,skill_root,단검 투척 Lv.1,5005010020007,얼음 화살,1000,[85],[],5005010020008,
