root_id,root_type,root_name,nodeId,comment,skill_damage,skill_heal,skill_mana,skill_leap,status_change_cids,remove_status_change_cids,skill_areas,skill_summons,projectiles,reset_cooldown_ids,totem_ids,field_object_ids,special_feature_category,channeling,f_x_name
1,skill_root,에러 방지용,10020005,,"[""10020006""]",[],[],[],[],[],[],[],[],[],[],[],None,,
1,skill_effect_root,에러방지용,10030002,,"[""10030003""]",[],[],[],[],[],[],[],[],[],[],[],None,,
101,skill_effect_root,중독 Lv.1,1010030002,중독 Lv.1,"[""1010030003""]",[],[],[],[],[],[],[],[],[],[],[],None,,
102,skill_effect_root,중독 Lv.2,1020030002,중독 Lv.2,"[""1020030003""]",[],[],[],[],[],[],[],[],[],[],[],None,,
103,skill_effect_root,중독 Lv.3,1030030002,중독 Lv.3,"[""1030030003""]",[],[],[],[],[],[],[],[],[],[],[],None,,
104,skill_effect_root,중독 Lv.4,1040030002,중독 Lv.4,"[""1040030003""]",[],[],[],[],[],[],[],[],[],[],[],None,,
105,skill_effect_root,중독 Lv.5,1050030002,중독 Lv.5,"[""1050030003""]",[],[],[],[],[],[],[],[],[],[],[],None,,
7000,skill_effect_root,변신 해제,70000030002,,[],[],[],[],[],[7000],[],[],[],[],[],[],None,,
8000,skill_root,구르기,80000020005,,[],[],[],"[""80000020006""]",[],[],[],[],[],[],[],[],Leap,,
9000,skill_root,공용 : 일반 공격 (왼쪽),90000020005,공용 : 일반 공격 (왼쪽),"[""90000020006""]",[],[],[],[],[],[],[],[],[],[],[],None,,
9001,skill_root,공용 : 일반 공격 (오른쪽),90010020005,공용 : 일반 공격 (오른쪽),"[""90010020006""]",[],[],[],[],[],[],[],[],[],[],[],None,,
9002,skill_root,한손검 : 평타 (1타),90020020005,한손검 : 평타 (1타),"[""90020020006""]",[],[],[],[],[],[],[],[],[],[],[],None,,
9003,skill_root,한손검 : 평타 (2타),90030020005,한손검 : 평타 (2타),"[""90030020006""]",[],[],[],[],[],[],[],[],[],[],[],None,,
9004,skill_root,양손검 : 평타 (1타),90040020005,양손검 : 평타 (1타),"[""90040020006""]",[],[],[],[],[],[],[],[],[],[],[],None,,
9004,skill_root,양손검 : 평타 (1타),90040020009,가벼운 손놀림 (강화 평타),"[""90040020010""]",[],[],[],[],[],[],[],[],[],[],[],None,,
9004,skill_root,양손검 : 평타 (1타),90040020011,가벼운 손놀림 지우기,[],[],[],[],[],[200001],[],[],[],[],[],[],None,,
9004,skill_root,양손검 : 평타 (1타),90040020014,가벼운 손놀림 (강화 평타),"[""90040020015""]",[],[],[],[],[],[],[],[],[],[],[],None,,
9004,skill_root,양손검 : 평타 (1타),90040020016,가벼운 손놀림 지우기,[],[],[],[],[],[200003],[],[],[],[],[],[],None,,
9004,skill_root,양손검 : 평타 (1타),90040020019,가벼운 손놀림 (강화 평타),"[""90040020020""]",[],[],[],[],[],[],[],[],[],[],[],None,,
9004,skill_root,양손검 : 평타 (1타),90040020021,가벼운 손놀림 지우기,[],[],[],[],[],[200005],[],[],[],[],[],[],None,,
9004,skill_root,양손검 : 평타 (1타),90040020024,가벼운 손놀림 (강화 평타),"[""90040020025""]",[],[],[],[],[],[],[],[],[],[],[],None,,
9004,skill_root,양손검 : 평타 (1타),90040020026,가벼운 손놀림 지우기,[],[],[],[],[],[200007],[],[],[],[],[],[],None,,
9004,skill_root,양손검 : 평타 (1타),90040020029,가벼운 손놀림 (강화 평타),"[""90040020030""]",[],[],[],[],[],[],[],[],[],[],[],None,,
9004,skill_root,양손검 : 평타 (1타),90040020031,가벼운 손놀림 지우기,[],[],[],[],[],[200009],[],[],[],[],[],[],None,,
9004,skill_root,양손검 : 평타 (1타),90040020034,1티어 양손검 W 스킬 Lv.1,"[""90040020035""]",[],[],[],[],[],[],[],[],[],[],[],None,,
9004,skill_root,양손검 : 평타 (1타),90040020036,1티어 양손검 W 스킬 Lv.1,[],[],[],[],[],[200451],[],[],[],[],[],[],None,,
9005,skill_root,양손검 : 평타 (2타),90050020005,한손검 : 평타 (2타),"[""90050020006""]",[],[],[],[],[],[],[],[],[],[],[],None,,
