root_id,root_type,root_name,nodeId,id,name,comment,skill_effect
1,skill_effect_root,에러방지용,10030001,1,에러방지용,에러방지용,10030002
101,skill_effect_root,중독 Lv.1,1010030001,101,중독 Lv.1,중독 Lv.1,1010030002
102,skill_effect_root,중독 Lv.2,1020030001,102,중독 Lv.2,중독 Lv.2,1020030002
103,skill_effect_root,중독 Lv.3,1030030001,103,중독 Lv.3,중독 Lv.3,1030030002
104,skill_effect_root,중독 Lv.4,1040030001,104,중독 Lv.4,중독 Lv.4,1040030002
105,skill_effect_root,중독 Lv.5,1050030001,105,중독 Lv.5,중독 Lv.5,1050030002
7000,skill_effect_root,변신 해제,70000030001,7000,변신 해제,변신 상태를 해제한다.,70000030002
20001,skill_effect_root,하급 체력 물약_체력회복_인터벌,200010030001,20001,하급 체력 물약_체력회복_인터벌,,200010030002
20002,skill_effect_root,중급 체력 물약_체력회복_인터벌,200020030001,20002,중급 체력 물약_체력회복_인터벌,,200020030002
20003,skill_effect_root,상급 체력 물약_체력회복_인터벌,200030030001,20003,상급 체력 물약_체력회복_인터벌,,200030030002
20004,skill_effect_root,하급 마력 물약_마력회복_인터벌,200040030001,20004,하급 마력 물약_마력회복_인터벌,,200040030002
20005,skill_effect_root,중급 마력 물약_마력회복_인터벌,200050030001,20005,중급 마력 물약_마력회복_인터벌,,200050030002
20006,skill_effect_root,상급 마력 물약_마력회복_인터벌,200060030001,20006,상급 마력 물약_마력회복_인터벌,,200060030002
20011,skill_effect_root,하급 수프_체력회복_인터벌,200110030001,20011,하급 수프_체력회복_인터벌,,200110030002
20012,skill_effect_root,하급 샐러드_마력회복_인터벌,200120030001,20012,하급 샐러드_마력회복_인터벌,,200120030002
20013,skill_effect_root,해산물 스튜_체력 마력 회복_인터벌,200130030001,20013,해산물 스튜_체력 마력 회복_인터벌,,200130030002
20016,skill_effect_root,중급 수프_체력회복_인터벌,200160030001,20016,중급 수프_체력회복_인터벌,,200160030002
20017,skill_effect_root,중급 샐러드_마력회복_인터벌,200170030001,20017,중급 샐러드_마력회복_인터벌,,200170030002
30911,skill_effect_root,점화 1T,309110030001,30911,점화 1T,점화 1T,309110030002
30941,skill_effect_root,점화 4T,309410030001,30941,점화 4T,점화 4T,309410030002
30951,skill_effect_root,점화 5T,309510030001,30951,점화 5T,점화 5T,309510030002
90004,skill_effect_root,넘치는 생명력_인터벌,900040030001,90004,넘치는 생명력_인터벌,,900040030002
90005,skill_effect_root,샘솟는 마나샘_인터벌,900050030001,90005,샘솟는 마나샘_인터벌,,900050030002
100001,skill_effect_root,신비한 가시 나무 대미지 Lv.1,1000010030001,100001,신비한 가시 나무 대미지 Lv.1,,1000010030002
100002,skill_effect_root,신비한 가시 나무 대미지 Lv.2,1000020030001,100002,신비한 가시 나무 대미지 Lv.2,,1000020030002
100003,skill_effect_root,신비한 가시 나무 대미지 Lv.3,1000030030001,100003,신비한 가시 나무 대미지 Lv.3,,1000030030002
100004,skill_effect_root,신비한 가시 나무 대미지 Lv.4,1000040030001,100004,신비한 가시 나무 대미지 Lv.4,,1000040030002
100005,skill_effect_root,신비한 가시 나무 대미지 Lv.5,1000050030001,100005,신비한 가시 나무 대미지 Lv.5,,1000050030002
100101,skill_effect_root,치유의 꽃잎 중첩 힐 Lv.1 ,1001010030001,100101,치유의 꽃잎 중첩 힐 Lv.1 ,,1001010030002
100102,skill_effect_root,치유의 꽃잎 중첩 힐 Lv.2,1001020030001,100102,치유의 꽃잎 중첩 힐 Lv.2,,1001020030002
100103,skill_effect_root,치유의 꽃잎 중첩 힐 Lv.3,1001030030001,100103,치유의 꽃잎 중첩 힐 Lv.3,,1001030030002
100104,skill_effect_root,치유의 꽃잎 중첩 힐 Lv.4,1001040030001,100104,치유의 꽃잎 중첩 힐 Lv.4,,1001040030002
100105,skill_effect_root,치유의 꽃잎 중첩 힐 Lv.5,1001050030001,100105,치유의 꽃잎 중첩 힐 Lv.5,,1001050030002
100151,skill_effect_root,치유의 바람_치유 Lv.1,1001510030001,100151,치유의 바람_치유 Lv.1,,1001510030002
100153,skill_effect_root,치유의 바람_치유 Lv.2,1001530030001,100153,치유의 바람_치유 Lv.2,,1001530030002
100155,skill_effect_root,치유의 바람_치유 Lv.3,1001550030001,100155,치유의 바람_치유 Lv.3,,1001550030002
100157,skill_effect_root,치유의 바람_치유 Lv.4,1001570030001,100157,치유의 바람_치유 Lv.4,,1001570030002
100159,skill_effect_root,치유의 바람_치유 Lv.5,1001590030001,100159,치유의 바람_치유 Lv.5,,1001590030002
100506,skill_effect_root,2티어 한손검 E 스킬_Interval Lv.1,1005060030001,100506,2티어 한손검 E 스킬_Interval Lv.1,,1005060030002
200302,skill_effect_root,회오리 베기_대미지 Lv.1,2003020030001,200302,회오리 베기_대미지 Lv.1,,2003020030002
200304,skill_effect_root,회오리 베기_대미지 Lv.2,2003040030001,200304,회오리 베기_대미지 Lv.2,,2003040030002
200306,skill_effect_root,회오리 베기_대미지 Lv.3,2003060030001,200306,회오리 베기_대미지 Lv.3,,2003060030002
200308,skill_effect_root,회오리 베기_대미지 Lv.4,2003080030001,200308,회오리 베기_대미지 Lv.4,,2003080030002
200310,skill_effect_root,회오리 베기_대미지 Lv.5,2003100030001,200310,회오리 베기_대미지 Lv.5,,2003100030002
200551,skill_effect_root,공간 가르기_출혈 Lv.1,2005510030001,200551,공간 가르기_출혈 Lv.1,출혈 인터벌\n,2005510030002
300101,skill_effect_root,,3001010030001,300101,,,3001010030002
300102,skill_effect_root,,3001020030001,300102,,,3001020030002
300103,skill_effect_root,,3001030030001,300103,,,3001030030002
300104,skill_effect_root,,3001040030001,300104,,,3001040030002
300105,skill_effect_root,,3001050030001,300105,,,3001050030002
400051,skill_effect_root,다후타의 손짓 틱 대미지  Lv.1,4000510030001,400051,다후타의 손짓 틱 대미지  Lv.1,,4000510030002
400052,skill_effect_root,다후타의 손짓 틱 대미지  Lv.2,4000520030001,400052,다후타의 손짓 틱 대미지  Lv.2,,4000520030002
400053,skill_effect_root,다후타의 손짓 틱 대미지  Lv.3,4000530030001,400053,다후타의 손짓 틱 대미지  Lv.3,,4000530030002
400054,skill_effect_root,다후타의 손짓 틱 대미지  Lv.4,4000540030001,400054,다후타의 손짓 틱 대미지  Lv.4,,4000540030002
400055,skill_effect_root,다후타의 손짓 틱 대미지  Lv.5,4000550030001,400055,다후타의 손짓 틱 대미지  Lv.5,,4000550030002
400201,skill_effect_root,화염 장막 Lv.1,4002010030001,400201,화염 장막 Lv.1,화염 장막 인터벌 Lv.1,4002010030002
710002,skill_effect_root,모두 치유 Lv.1,7100020030001,710002,모두 치유 Lv.1,,7100020030002
800000,skill_effect_root,자폭,8000000030001,800000,자폭,자폭,8000000030002
800002,skill_effect_root,이동속도 증가 버프 발동,8000020030001,800002,이동속도 증가 버프 발동,이동속도 증가 토템,8000020030002
800006,skill_effect_root,이동속도 증가 구슬 버프 발동,8000060030001,800006,이동속도 증가 구슬 버프 발동,이동속도 증가 구슬,8000060030002
800009,skill_effect_root,공격속도 증가 구슬 버프 발동,8000090030001,800009,공격속도 증가 구슬 버프 발동,공격속도 증가 구슬,8000090030002
800018,skill_effect_root,시전시간 감소 구슬 버프 발동,8000180030001,800018,시전시간 감소 구슬 버프 발동,시전시간 감소 구슬\n,8000180030002
800021,skill_effect_root,강인한 생명력 효과 발동,8000210030001,800021,강인한 생명력 효과 발동,강인한 생명력 효과 발동,8000210030002
800022,skill_effect_root,강인한 생명력 효과,8000220030001,800022,강인한 생명력 효과,,8000220030002
800025,skill_effect_root,샘솟는 마나샘 효과 발동,8000250030001,800025,샘솟는 마나샘 효과 발동,샘솟는 마나샘 효과 발동,8000250030002
800026,skill_effect_root,샘솟는 마나샘_인터벌,8000260030001,800026,샘솟는 마나샘_인터벌,,8000260030002
800027,skill_effect_root,이즈나의 메아리 몬스터 패시브 발동,8000270030001,800027,이즈나의 메아리 몬스터 패시브 발동,이즈나의 메아리 몬스터 패시브 발동,8000270030002
800029,skill_effect_root,이즈나의 메아리 탐험가 패시브 발동,8000290030001,800029,이즈나의 메아리 탐험가 패시브 발동,이즈나의 메아리 탐험가 패시브 발동,8000290030002
1000000,skill_effect_root,정신 집중 마나 회복,10000000030001,1000000,정신 집중 마나 회복,,10000000030002
1000001,skill_effect_root,정신 집중 Lv.1,10000010030001,1000001,정신 집중 Lv.1,,10000010030002
1000002,skill_effect_root,정신 집중 Lv.2,10000020030001,1000002,정신 집중 Lv.2,,10000020030002
1000003,skill_effect_root,정신 집중 Lv.3,10000030030001,1000003,정신 집중 Lv.3,,10000030030002
1000004,skill_effect_root,정신 집중 Lv.4,10000040030001,1000004,정신 집중 Lv.4,,10000040030002
1000005,skill_effect_root,정신 집중 Lv.5,10000050030001,1000005,정신 집중 Lv.5,,10000050030002
1000101,skill_effect_root,쉼없는 마력샘 마나 회복 Lv.1,10001010030001,1000101,쉼없는 마력샘 마나 회복 Lv.1,,10001010030002
1000102,skill_effect_root,쉼없는 마력샘 마나 회복 Lv.2,10001020030001,1000102,쉼없는 마력샘 마나 회복 Lv.2,,10001020030002
1000103,skill_effect_root,쉼없는 마력샘 마나 회복 Lv.3,10001030030001,1000103,쉼없는 마력샘 마나 회복 Lv.3,,10001030030002
1000104,skill_effect_root,쉼없는 마력샘 마나 회복 Lv.4,10001040030001,1000104,쉼없는 마력샘 마나 회복 Lv.4,,10001040030002
1000105,skill_effect_root,쉼없는 마력샘 마나 회복 Lv.5,10001050030001,1000105,쉼없는 마력샘 마나 회복 Lv.5,,10001050030002
1100000,skill_effect_root,숨 고르기 체력 회복,11000000030001,1100000,숨 고르기 체력 회복,,11000000030002
1100001,skill_effect_root,숨 고르기 체력 회복 Lv.1,11000010030001,1100001,숨 고르기 체력 회복 Lv.1,,11000010030002
1100002,skill_effect_root,숨 고르기 체력 회복 Lv.2,11000020030001,1100002,숨 고르기 체력 회복 Lv.2,,11000020030002
1100003,skill_effect_root,숨 고르기 체력 회복 Lv.3,11000030030001,1100003,숨 고르기 체력 회복 Lv.3,,11000030030002
1100004,skill_effect_root,숨 고르기 체력 회복 Lv.4,11000040030001,1100004,숨 고르기 체력 회복 Lv.4,,11000040030002
1100005,skill_effect_root,숨 고르기 체력 회복 Lv.5,11000050030001,1100005,숨 고르기 체력 회복 Lv.5,,11000050030002
1200001,skill_effect_root,누이의 가호 회복,12000010030001,1200001,누이의 가호 회복,,12000010030002
1200051,skill_effect_root,누이의 가호 회복,12000510030001,1200051,누이의 가호 회복,,12000510030002
1200052,skill_effect_root,누이의 가호 회복,12000520030001,1200052,누이의 가호 회복,,12000520030002
1200053,skill_effect_root,누이의 가호 회복,12000530030001,1200053,누이의 가호 회복,,12000530030002
1200054,skill_effect_root,누이의 가호 회복,12000540030001,1200054,누이의 가호 회복,,12000540030002
1200055,skill_effect_root,누이의 가호 회복,12000550030001,1200055,누이의 가호 회복,,12000550030002
20000001,skill_effect_root,몬스터_공용_출혈 대미지,200000010030001,20000001,몬스터_공용_출혈 대미지,,200000010030002
20000101,skill_effect_root,몬스터_공용_출혈 Lv.1,200001010030001,20000101,몬스터_공용_출혈 Lv.1,1%,200001010030002
20000102,skill_effect_root,몬스터_공용_출혈 Lv.2,200001020030001,20000102,몬스터_공용_출혈 Lv.2,2%,200001020030002
20000103,skill_effect_root,몬스터_공용_출혈 Lv.3,200001030030001,20000103,몬스터_공용_출혈 Lv.3,3%,200001030030002
20000104,skill_effect_root,몬스터_공용_출혈 Lv.4,200001040030001,20000104,몬스터_공용_출혈 Lv.4,4%,200001040030002
20000105,skill_effect_root,몬스터_공용_출혈 Lv.5,200001050030001,20000105,몬스터_공용_출혈 Lv.5,5%,200001050030002
20000106,skill_effect_root,몬스터_공용_출혈 Lv.6,200001060030001,20000106,몬스터_공용_출혈 Lv.6,6%,200001060030002
20000107,skill_effect_root,몬스터_공용_출혈 Lv.7,200001070030001,20000107,몬스터_공용_출혈 Lv.7,7%,200001070030002
20000108,skill_effect_root,몬스터_공용_출혈 Lv.8,200001080030001,20000108,몬스터_공용_출혈 Lv.8,8%,200001080030002
20000109,skill_effect_root,몬스터_공용_출혈 Lv.9,200001090030001,20000109,몬스터_공용_출혈 Lv.9,9%,200001090030002
20000110,skill_effect_root,몬스터_공용_출혈 Lv.10,200001100030001,20000110,몬스터_공용_출혈 Lv.10,10%,200001100030002
20000201,skill_effect_root,몬스터_공용_중독 Lv.1,200002010030001,20000201,몬스터_공용_중독 Lv.1,1%,200002010030002
20000202,skill_effect_root,몬스터_공용_중독 Lv.2,200002020030001,20000202,몬스터_공용_중독 Lv.2,2%,200002020030002
20000203,skill_effect_root,몬스터_공용_중독 Lv.3,200002030030001,20000203,몬스터_공용_중독 Lv.3,3%,200002030030002
20000204,skill_effect_root,몬스터_공용_중독 Lv.4,200002040030001,20000204,몬스터_공용_중독 Lv.4,4%,200002040030002
20000205,skill_effect_root,몬스터_공용_중독 Lv.5,200002050030001,20000205,몬스터_공용_중독 Lv.5,5%,200002050030002
20000206,skill_effect_root,몬스터_공용_중독 Lv.6,200002060030001,20000206,몬스터_공용_중독 Lv.6,6%,200002060030002
20000207,skill_effect_root,몬스터_공용_중독 Lv.7,200002070030001,20000207,몬스터_공용_중독 Lv.7,7%,200002070030002
