root_id,root_type,root_name,nodeId,comment,desc_name,description,equipment_category,status_tag_condition_cids,anim_name,anim_weapon_state,global_cooltime,cooltime,aim,range,effective_range,adjust_within_range,ray_cast_skill_option,rotate_time,rotate_limit,cost_h_p,cost_h_pper,cost_m_p,cost_m_pper,cost_item_type,cost_item_count,first_notify_apply_selection,apply_selections,linked_skill,show_casting_bar,durability_consume,skill_casting
1,skill_root,에러 방지용,10020003,,,,None,[],,None,0,0,Self,0,0,Option,Option,0,false,0,0,0,0,0,0,10020004,[],,false,0,
8000,skill_root,구르기,80000020003,,,,None,[],leather_shoes_dodge,None,0,4500,Direction,0,0,Option,Immediately,0,false,0,0,0,0,0,0,80000020004,[],,false,0,
9000,skill_root,공용 : 일반 공격 (왼쪽),90000020003,공용 : 일반 공격 (왼쪽),일반 공격 (왼쪽),공용 : 일반 공격 (왼쪽),None,[],FistNormalL,None,0,0,Unit,120,0,Option,Option,0.2,false,0,0,0,0,0,0,90000020004,[],,false,1,
9001,skill_root,공용 : 일반 공격 (오른쪽),90010020003,공용 : 일반 공격 (오른쪽),공용 : 일반 공격 (오른쪽),공용 : 일반 공격 (오른쪽),None,[],FistNormalL,None,0,0,Unit,120,0,Option,Option,0.2,false,0,0,0,0,0,0,90010020004,[],,false,0,
9002,skill_root,한손검 : 평타 (1타),90020020003,한손검 : 평타 (1타),한손검 : 평타 (1타),한손검 : 평타 (1타),OnehandSword,[],onehandsword_basicattack_1,None,0,0,Unit,120,0,Option,Option,0.2,false,0,0,0,0,0,0,90020020004,[],,false,1,
9003,skill_root,한손검 : 평타 (2타),90030020003,한손검 : 평타 (2타),한손검 : 평타 (2타),한손검 : 평타 (2타),OnehandSword,[],onehandsword_basicattack_2,None,0,0,Unit,120,0,Option,Option,0.2,false,0,0,0,0,0,0,90030020004,[],,false,1,
9004,skill_root,양손검 : 평타 (1타),90040020003,양손검 : 평타 (1타),양손검 : 평타 (1타),양손검 : 평타 (1타),TwohandSword,[],twohandsword_basicattack_1,None,0,0,Unit,120,0,Option,Option,0.2,false,0,0,0,0,0,0,90040020004,[],,false,1,
9004,skill_root,양손검 : 평타 (1타),90040020007,양손검 : 평타 (1타)_가벼운 손놀림 Lv.1,양손검 : 평타 (1타)_가벼운 손놀림 Lv.1,양손검 : 평타 (1타)_가벼운 손놀림 Lv.1,TwohandSword,[200001],Nu_F_Twohand_Co_Skill_01_01_MO,Draw,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90040020008,[],,false,1,
9004,skill_root,양손검 : 평타 (1타),90040020012,양손검 : 평타 (1타)_가벼운 손놀림 Lv.2,양손검 : 평타 (1타)_가벼운 손놀림 Lv.2,양손검 : 평타 (1타)_가벼운 손놀림 Lv.2,TwohandSword,[200003],Nu_F_Twohand_Co_Skill_01_01_MO,Draw,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90040020013,[],,false,1,
9004,skill_root,양손검 : 평타 (1타),90040020017,양손검 : 평타 (1타)_가벼운 손놀림 Lv.3,양손검 : 평타 (1타)_가벼운 손놀림 Lv.3,양손검 : 평타 (1타)_가벼운 손놀림 Lv.3,TwohandSword,[200005],Nu_F_Twohand_Co_Skill_01_01_MO,Draw,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90040020018,[],,false,1,
9004,skill_root,양손검 : 평타 (1타),90040020022,양손검 : 평타 (1타)_가벼운 손놀림 Lv.4,양손검 : 평타 (1타)_가벼운 손놀림 Lv.4,양손검 : 평타 (1타)_가벼운 손놀림 Lv.4,TwohandSword,[200007],Nu_F_Twohand_Co_Skill_01_01_MO,Draw,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90040020023,[],,false,1,
9004,skill_root,양손검 : 평타 (1타),90040020027,양손검 : 평타 (1타)_가벼운 손놀림 Lv.5,양손검 : 평타 (1타)_가벼운 손놀림 Lv.5,양손검 : 평타 (1타)_가벼운 손놀림 Lv.5,TwohandSword,[200009],Nu_F_Twohand_Co_Skill_01_01_MO,Draw,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90040020028,[],,false,1,
9004,skill_root,양손검 : 평타 (1타),90040020032,1티어 양손검 W 스킬 Lv.1,1티어 양손검 W 스킬 Lv.1,1티어 양손검 W 스킬 Lv.1,TwohandSword,[200451],Nu_F_Twohand_Co_Skill_12_MO,Draw,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90040020033,[],,false,1,
9005,skill_root,양손검 : 평타 (2타),90050020003,양손검 : 평타 (2타),양손검 : 평타 (2타),양손검 : 평타 (2타),TwohandSword,[],twohandsword_basicattack_2,None,0,0,Unit,120,0,Option,Option,0.2,false,0,0,0,0,0,0,90050020004,[],,false,1,
9005,skill_root,양손검 : 평타 (2타),90050020007,양손검 : 평타 (2타)_가벼운 손놀림 Lv.1,양손검 : 평타 (2타)_가벼운 손놀림 Lv.1,양손검 : 평타 (2타)_가벼운 손놀림 Lv.1,TwohandSword,[200001],Nu_F_Twohand_Co_Skill_01_01_MO,Draw,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90050020008,[],,false,1,
9005,skill_root,양손검 : 평타 (2타),90050020012,양손검 : 평타 (2타)_가벼운 손놀림 Lv.2,양손검 : 평타 (2타)_가벼운 손놀림 Lv.2,양손검 : 평타 (2타)_가벼운 손놀림 Lv.2,TwohandSword,[200003],Nu_F_Twohand_Co_Skill_01_01_MO,Draw,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90050020013,[],,false,1,
9005,skill_root,양손검 : 평타 (2타),90050020017,양손검 : 평타 (2타)_가벼운 손놀림 Lv.3,양손검 : 평타 (2타)_가벼운 손놀림 Lv.3,양손검 : 평타 (2타)_가벼운 손놀림 Lv.3,TwohandSword,[200005],Nu_F_Twohand_Co_Skill_01_01_MO,Draw,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90050020018,[],,false,1,
9005,skill_root,양손검 : 평타 (2타),90050020022,양손검 : 평타 (2타)_가벼운 손놀림 Lv.4,양손검 : 평타 (2타)_가벼운 손놀림 Lv.4,양손검 : 평타 (2타)_가벼운 손놀림 Lv.4,TwohandSword,[200007],Nu_F_Twohand_Co_Skill_01_01_MO,Draw,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90050020023,[],,false,1,
9005,skill_root,양손검 : 평타 (2타),90050020027,양손검 : 평타 (2타)_가벼운 손놀림 Lv.5,양손검 : 평타 (2타)_가벼운 손놀림 Lv.5,양손검 : 평타 (2타)_가벼운 손놀림 Lv.5,TwohandSword,[200009],Nu_F_Twohand_Co_Skill_01_01_MO,Draw,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90050020028,[],,false,1,
9005,skill_root,양손검 : 평타 (2타),90050020032,1티어 양손검 W 스킬 Lv.1,1티어 양손검 W 스킬 Lv.1,1티어 양손검 W 스킬 Lv.1,TwohandSword,[200451],Nu_F_Twohand_Co_Skill_12_MO,Draw,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90050020033,[],,false,1,
9006,skill_root,단검 : 평타 (1타),90060020003,단검 : 평타 (1타),단검 : 평타 (1타),단검 : 평타 (1타),Dagger,[],dagger_basicattack_1,None,0,0,Unit,120,0,Option,Option,0.2,false,0,0,0,0,0,0,90060020004,[],,false,1,
9006,skill_root,단검 : 평타 (1타),90060020007,Q_내리꽂기 Lv.1,Q_내리꽂기 Lv.1,Q_내리꽂기 Lv.1,Dagger,[500001],Nu_F_Dagger_Co_Skill_01_MO,None,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90060020008,[],,false,1,
9006,skill_root,단검 : 평타 (1타),90060020012,Q_내리꽂기 Lv.2,Q_내리꽂기 Lv.2,Q_내리꽂기 Lv.2,Dagger,[500002],Nu_F_Dagger_Co_Skill_01_MO,None,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90060020013,[],,false,1,
9006,skill_root,단검 : 평타 (1타),90060020017,Q_내리꽂기 Lv.3,Q_내리꽂기 Lv.3,Q_내리꽂기 Lv.3,Dagger,[500003],Nu_F_Dagger_Co_Skill_01_MO,None,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90060020018,[],,false,1,
9006,skill_root,단검 : 평타 (1타),90060020022,Q_내리꽂기 Lv.4,Q_내리꽂기 Lv.4,Q_내리꽂기 Lv.4,Dagger,[500004],Nu_F_Dagger_Co_Skill_01_MO,None,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90060020023,[],,false,1,
9006,skill_root,단검 : 평타 (1타),90060020027,Q_내리꽂기 Lv.5,Q_내리꽂기 Lv.5,Q_내리꽂기 Lv.5,Dagger,[500005],Nu_F_Dagger_Co_Skill_01_MO,None,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90060020028,[],,false,1,
9006,skill_root,단검 : 평타 (1타),90060020032,W_무기 연마 Lv.1,무기 연마 Lv.1,,Dagger,[500251],Nu_F_Dagger_Co_Skill_06_02_MO,None,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90060020033,[],,false,1,
9006,skill_root,단검 : 평타 (1타),90060020037,W_무기 연마 Lv.2,무기 연마 Lv.2,,Dagger,[500252],Nu_F_Dagger_Co_Skill_06_02_MO,None,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90060020038,[],,false,1,
9006,skill_root,단검 : 평타 (1타),90060020042,W_무기 연마 Lv.3,무기 연마 Lv.3,,Dagger,[500253],Nu_F_Dagger_Co_Skill_06_02_MO,None,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90060020043,[],,false,1,
9006,skill_root,단검 : 평타 (1타),90060020047,W_무기 연마 Lv.4,무기 연마 Lv.4,,Dagger,[500254],Nu_F_Dagger_Co_Skill_06_02_MO,None,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90060020048,[],,false,1,
9006,skill_root,단검 : 평타 (1타),90060020052,W_무기 연마 Lv.5,무기 연마 Lv.5,,Dagger,[500255],Nu_F_Dagger_Co_Skill_06_02_MO,None,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90060020053,[],,false,1,
9006,skill_root,단검 : 평타 (1타),90060020057,암살자의 분노(광역),암살자의 분노(광역),,Dagger,[500551],dagger_basicattack_1,None,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90060020058,[],,false,1,
9007,skill_root,단검 : 평타 (2타),90070020003,단검 : 평타 (2타),단검 : 평타 (2타),단검 : 평타 (2타),Dagger,[],dagger_basicattack_2,None,0,0,Unit,120,0,Option,Option,0.2,false,0,0,0,0,0,0,90070020004,[],,false,1,
9007,skill_root,단검 : 평타 (2타),90070020007,Q_내리꽂기 Lv.1,Q_내리꽂기 Lv.1,Q_내리꽂기 Lv.1,Dagger,[500001],Nu_F_Dagger_Co_Skill_01_MO,None,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90070020008,[],,false,1,
9007,skill_root,단검 : 평타 (2타),90070020012,Q_내리꽂기 Lv.2,Q_내리꽂기 Lv.2,Q_내리꽂기 Lv.2,Dagger,[500002],Nu_F_Dagger_Co_Skill_01_MO,None,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90070020013,[],,false,1,
9007,skill_root,단검 : 평타 (2타),90070020017,Q_내리꽂기 Lv.3,Q_내리꽂기 Lv.3,Q_내리꽂기 Lv.3,Dagger,[500003],Nu_F_Dagger_Co_Skill_01_MO,None,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90070020018,[],,false,1,
9007,skill_root,단검 : 평타 (2타),90070020022,Q_내리꽂기 Lv.4,Q_내리꽂기 Lv.4,Q_내리꽂기 Lv.4,Dagger,[500004],Nu_F_Dagger_Co_Skill_01_MO,None,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90070020023,[],,false,1,
9007,skill_root,단검 : 평타 (2타),90070020027,Q_내리꽂기 Lv.5,Q_내리꽂기 Lv.5,Q_내리꽂기 Lv.5,Dagger,[500005],Nu_F_Dagger_Co_Skill_01_MO,None,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90070020028,[],,false,1,
9007,skill_root,단검 : 평타 (2타),90070020032,W_무기 연마 Lv.1,무기 연마 Lv.1,,Dagger,[500251],Nu_F_Dagger_Co_Skill_06_02_MO,None,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90070020033,[],,false,1,
9007,skill_root,단검 : 평타 (2타),90070020037,W_무기 연마 Lv.2,무기 연마 Lv.2,,Dagger,[500252],Nu_F_Dagger_Co_Skill_06_02_MO,None,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90070020038,[],,false,1,
9007,skill_root,단검 : 평타 (2타),90070020042,W_무기 연마 Lv.3,무기 연마 Lv.3,,Dagger,[500253],Nu_F_Dagger_Co_Skill_06_02_MO,None,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90070020043,[],,false,1,
9007,skill_root,단검 : 평타 (2타),90070020047,W_무기 연마 Lv.4,무기 연마 Lv.4,,Dagger,[500254],Nu_F_Dagger_Co_Skill_06_02_MO,None,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90070020048,[],,false,1,
9007,skill_root,단검 : 평타 (2타),90070020052,W_무기 연마 Lv.5,무기 연마 Lv.5,,Dagger,[500255],Nu_F_Dagger_Co_Skill_06_02_MO,None,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90070020053,[],,false,1,
9007,skill_root,단검 : 평타 (2타),90070020057,암살자의 분노(광역),암살자의 분노(광역),,Dagger,[500551],dagger_basicattack_2,None,0,0,Unit,150,0,Option,Option,0.2,false,0,0,0,0,0,0,90070020058,[],,false,1,
9008,skill_root,활 : 평타 (1타),90080020003,활 : 평타 (1타),활 : 평타 (1타),활 : 평타 (1타),Bow,[],bow_basicattack_1,None,0,0,Unit,550,0,Option,Option,0.2,false,0,0,0,0,0,0,90080020004,[],,false,1,
9009,skill_root,활 : 평타 (2타),90090020003,활 : 평타 (2타),활 : 평타 (2타),활 : 평타 (2타),Bow,[],bow_basicattack_2,None,0,0,Unit,550,0,Option,Option,0.2,false,0,0,0,0,0,0,90090020004,[],,false,1,
9010,skill_root,지팡이 : 평타 (1타),90100020003,지팡이 : 평타 (1타),지팡이 : 평타 (1타),지팡이 : 평타 (1타),Staff,[],staff_basicattack_1,Draw,0,0,Unit,550,0,Option,Option,0.2,false,0,0,0,0,0,0,90100020004,[],,false,1,
9011,skill_root,지팡이 : 평타 (2타),90110020003,지팡이 : 평타 (2타),지팡이 : 평타 (2타),지팡이 : 평타 (2타),Staff,[],staff_basicattack_2,Draw,0,0,Unit,550,0,Option,Option,0.2,false,0,0,0,0,0,0,90110020004,[],,false,1,
9012,skill_root,힐러 지팡이 : 평타 (1타),90120020003,힐러 지팡이 : 평타 (1타),힐러 지팡이 : 평타 (1타),힐러 지팡이 : 평타 (1타),Staff,[],staff_basicattack_1,Draw,0,0,Unit,550,0,Option,Option,0.2,false,0,0,0,0,0,0,90120020004,[],,false,1,
9013,skill_root,힐러 지팡이 : 평타 (2타),90130020003,힐러 지팡이 : 평타 (2타),힐러 지팡이 : 평타 (2타),ㅍ힐러 지팡이 : 평타 (2타),Staff,[],staff_basicattack_2,Draw,0,0,Unit,550,0,Option,Option,0.2,false,0,0,0,0,0,0,90130020004,[],,false,1,
9016,skill_root,2T 양손검 : 평타 (1타),90160020003,2T 양손검 : 평타 (1타),,,TwohandSword,[],twohandsword_basicattack_1,None,0,0,Unit,120,0,Option,Option,0.2,false,0,0,0,0,0,0,90160020004,[],,false,1,
9016,skill_root,2T 양손검 : 평타 (1타),90160020007,몰아치기 2연타 Lv.1,,,None,[200601],Nu_F_Twohand_Co_Skill_12_MO,Draw,0,0,Unit,150,0,Option,Option,0,false,0,0,0,0,0,0,90160020008,[],,false,1,
9016,skill_root,2T 양손검 : 평타 (1타),90160020012,몰아치기 3타 띄우기 Lv.1,,,TwohandSword,[200606],Nu_F_Twohand_Co_Skill_01_01_MO,Draw,0,0,Unit,150,0,Option,Option,0,false,0,0,0,0,0,0,90160020013,[],,false,1,
9017,skill_root,2T 양손검 : 평타 (2타),90170020003,2T 양손검 : 평타 (2타),,,TwohandSword,[],twohandsword_basicattack_2,None,0,0,Unit,120,0,Option,Option,0.2,false,0,0,0,0,0,0,90170020004,[],,false,1,
9017,skill_root,2T 양손검 : 평타 (2타),90170020007,몰아치기 2연타 Lv.1,,,None,[200601],Nu_F_Twohand_Co_Skill_12_MO,Draw,0,0,Unit,150,0,Option,Option,0,false,0,0,0,0,0,0,90170020008,[],,false,1,
9017,skill_root,2T 양손검 : 평타 (2타),90170020012,몰아치기 3타 띄우기 Lv.1,,,TwohandSword,[200606],Nu_F_Twohand_Co_Skill_01_01_MO,Draw,0,0,Unit,150,0,Option,Option,0,false,0,0,0,0,0,0,90170020013,[],,false,1,
9018,skill_root,2티어 등장 단검 : 평타 (1타),90180020003,단검 : 평타 (1타),단검 : 평타 (1타),단검 : 평타 (1타),Dagger,[],dagger_basicattack_1,None,0,0,Unit,120,0,Option,Option,0.2,false,0,0,0,0,0,0,90180020004,[],,false,1,
9019,skill_root,2티어 등장 단검 : 평타 (2타),90190020003,단검 : 평타 (1타),단검 : 평타 (1타),단검 : 평타 (1타),Dagger,[],dagger_basicattack_2,None,0,0,Unit,120,0,Option,Option,0.2,false,0,0,0,0,0,0,90190020004,[],,false,1,
10000,skill_root,보스 몬스터 카이팅 방지용,100000020003,,,,None,[],,None,0,1000,Self,4000,0,Option,Option,0,false,0,0,0,0,0,0,100000020004,[],,false,0,
10001,skill_root,단일 leap 테스트 스킬,100010020003,,단일 leap 테스트 스킬,,None,[],Nu_F_Dagger_Co_Skill_04_MO,Draw,0,0,Unit,500,0,Option,Option,0,false,0,0,0,0,0,0,100010020004,[],,true,0,
10002,skill_root,테스트 스킬,100020020003,테스트 스킬,,아군 또는 적에게 빛을 발사하여 적에게는 피해를 입히고 아군에게는 3초 동안 공격 속도와 방어력을 증가시킵니다.\n추가로 다음 일반 공격에 추가 피해를 가합니다.,Bow,[],Nu_F_Bow_Co_Skill_14_MO,Draw,0,4000,Unit,500,0,Option,Option,0,false,0,0,25,0,0,0,100020020004,"[""100020020007""]",,false,5,
20001,skill_root,하급 체력 물약,200010020003,하급 체력 물약,하급 체력 물약,1초마다 체력을 30만큼 회복합니다. 8초 동안 유지되며 총 240을 회복합니다.,None,[],,None,0,0,Self,0,0,Option,Option,0,false,0,0,0,0,0,0,200010020004,[],,false,0,
20002,skill_root,중급 체력 물약,200020020003,중급 체력 물약,중급 체력 물약,1초마다 체력을 40만큼 회복합니다. 8초 동안 유지되며 총 320을 회복합니다.,None,[],,None,0,0,Self,0,0,Option,Option,0,false,0,0,0,0,0,0,200020020004,[],,false,0,
20003,skill_root,상급 체력 물약,200030020003,상급 체력 물약,상급 체력 물약,1초마다 체력을 50만큼 회복합니다. 8초 동안 유지되며 총 400을 회복합니다.,None,[],,None,0,0,Self,0,0,Option,Option,0,false,0,0,0,0,0,0,200030020004,[],,false,0,
20004,skill_root,하급 마력 물약,200040020003,하급 마력 물약,하급 마력 물약,1초마다 마력을 15만큼 회복합니다. 8초 동안 유지되며 총 120을 회복합니다.,None,[],,None,0,0,Self,0,0,Option,Option,0,false,0,0,0,0,0,0,200040020004,[],,false,0,
20005,skill_root,중급 마력 물약,200050020003,중급 마력 물약,중급 마력 물약,1초마다 마력을 20만큼 회복합니다. 8초 동안 유지되며 총 160을 회복합니다.,None,[],,None,0,0,Self,0,0,Option,Option,0,false,0,0,0,0,0,0,200050020004,[],,false,0,
20006,skill_root,상급 마력 물약,200060020003,상급 마력 물약,상급 마력 물약,1초마다 마력을 25만큼 회복합니다. 8초 동안 유지되며 총 200을 회복합니다.,None,[],,None,0,0,Self,0,0,Option,Option,0,false,0,0,0,0,0,0,200060020004,[],,false,0,
20007,skill_root,테스트_음식1,200070020003,,,,None,[],,None,0,0,Self,0,0,Option,Option,0,false,0,0,0,0,0,0,200070020004,[],,false,0,
20008,skill_root,테스트_음식2,200080020003,,,,None,[],,None,0,0,Self,0,0,Option,Option,0,false,0,0,0,0,0,0,200080020004,[],,false,0,
20009,skill_root,하급 과일차,200090020003,,,15분 동안 받는 피해가 5% 감소,None,[],Nu_F_Fist_Ac_Drink_MO,None,0,0,Self,0,0,Option,Option,0,false,0,0,0,0,0,0,200090020004,[],,true,0,
20010,skill_root,하급 발효주,200100020003,,,15분 동안 주는 피해가 5% 증가,None,[],Nu_F_Fist_Ac_Drink_MO,None,0,0,Self,0,0,Option,Option,0,false,0,0,0,0,0,0,200100020004,[],,true,0,
20011,skill_root,하급 수프,200110020003,하급 수프,하급 수프,1초마다 체력을 80만큼 회복합니다. 8초 동안 유지되며 총 640을 회복합니다.,None,[],Nu_F_Fist_Ac_Drink_MO,None,0,0,Self,0,0,Option,Option,0,false,0,0,0,0,0,0,200110020004,[],,true,0,
20012,skill_root,하급 샐러드,200120020003,하급 샐러드,하급 샐러드,1초마다 마력을 40만큼 회복합니다. 8초 동안 유지되며 총 320을 회복합니다.,None,[],Nu_F_Fist_Ac_Drink_MO,None,0,0,Self,0,0,Option,Option,0,false,0,0,0,0,0,0,200120020004,[],,true,0,
20013,skill_root,해산물 스튜,200130020003,해산물 스튜,해산물 스튜,해산물 스튜,None,[],Nu_F_Fist_Ac_Drink_MO,None,0,0,Self,0,0,Option,Option,0,false,0,0,0,0,0,0,200130020004,[],,false,0,
20014,skill_root,중급 과일차,200140020003,,중급 과일차,15분 동안 받는 피해가 10% 감소,None,[],Nu_F_Fist_Ac_Drink_MO,None,0,0,Self,0,0,Option,Option,0,false,0,0,0,0,0,0,200140020004,[],,true,0,
20015,skill_root,중급 발효주,200150020003,,중급 발효주,15분 동안 주는 피해가 10% 증가,None,[],Nu_F_Fist_Ac_Drink_MO,None,0,0,Self,0,0,Option,Option,0,false,0,0,0,0,0,0,200150020004,[],,true,0,
20016,skill_root,중급 수프,200160020003,중급 수프,중급 수프,1초마다 체력을 100만큼 회복합니다. 8초 동안 유지되며 총 800을 회복합니다.,None,[],Nu_F_Fist_Ac_Drink_MO,None,0,0,Self,0,0,Option,Option,0,false,0,0,0,0,0,0,200160020004,[],,true,0,
20017,skill_root,중급 샐러드,200170020003,중급 샐러드,중급 샐러드,1초마다 마력을 50만큼 회복합니다. 8초 동안 유지되며 총 400을 회복합니다.,None,[],Nu_F_Fist_Ac_Drink_MO,None,0,0,Self,0,0,Option,Option,0,false,0,0,0,0,0,0,200170020004,[],,true,0,
20018,skill_root,아이템_은신 주문서,200180020003,,은신 주문서,사용 시 캐릭터가 은신 상태가 60초 동안 지속됩니다.,None,[],,None,0,10000,Self,0,0,Option,Option,0,false,0,0,0,0,0,0,200180020004,[],,false,0,
20019,skill_root,아이템_수행원 복장,200190020003,,수행원 복장,이니스 제례에 참석하는 수행원의 복장입니다.\n\n<B>[사용 효과]</>\n- 아이템 사용 시 수행원으로 변장할 수 있습니다.,None,[],,None,0,10000,Self,0,0,Option,Option,0,false,0,0,0,0,0,0,200190020004,[],,false,0,
30011,skill_root,유체화 1T,300110020003,유체화,순풍,,None,[],,None,0,240000,Self,0,0,Option,Option,0,false,0,0,0,0,0,0,300110020004,[],,false,0,
30021,skill_root,유체화 2T,300210020003,유체화,순풍,,None,[],,None,0,240000,Self,0,0,Option,Option,0,false,0,0,0,0,0,0,300210020004,[],,false,0,
30031,skill_root,유체화 3T,300310020003,유체화,순풍,,None,[],,None,0,240000,Self,0,0,Option,Option,0,false,0,0,0,0,0,0,300310020004,[],,false,0,
30041,skill_root,순풍,300410020003,유체화,순풍,일정 시간 동안 이동 속도가 증가합니다.\n\n레벨업 효과\n- 이동 속도 증가,None,[],,None,0,96000,Self,0,0,Option,Option,0,false,0,0,0,0,0,0,300410020004,[],,false,0,
30051,skill_root,유체화 5T,300510020003,유체화,순풍,,None,[],,None,0,240000,Self,0,0,Option,Option,0,false,0,0,0,0,0,0,300510020004,[],,false,0,
30061,skill_root,유체화 6T,300610020003,유체화,순풍,,None,[],,None,0,240000,Self,0,0,Option,Option,0,false,0,0,0,0,0,0,300610020004,[],,false,0,
30071,skill_root,유체화 7T,300710020003,유체화,순풍,,None,[],,None,0,240000,Self,0,0,Option,Option,0,false,0,0,0,0,0,0,300710020004,[],,false,0,
