Item_ID,Item_Name,Category,Tier,Description
11010011,차원 파괴자의 대검,Weapon,1T,양손검 (폭주) - 공간을 가르는 파괴적인 위력
11010013,대지의 울림,Weapon,3T,양손검 (대지) - 묵직한 대지의 진동을 담은 검
11020011,징벌자의 수호 검,Weapon,1T,한손검 (방어) - 철벽 같은 수호와 날카로운 응징
11020013,성스러운 심판의 인도자,Weapon,3T,한손검 (광휘) - 신성한 빛으로 적을 심판함
11030011,질풍의 그림자 칼날,Weapon,1T,단검 (속도) - 보이지 않는 속도로 적을 베어냄
11030013,선혈의 기습자,Weapon,3T,단검 (암살) - 어둠 속에서 나타나는 잔혹한 암살자의 칼날
11040011,겁화의 강림,Weapon,1T,지팡이 (화염) - 모든 것을 태워버리는 지옥의 불꽃
11040013,영하의 뇌전,Weapon,3T,지팡이 (얼음) - 절대영도의 냉기와 번개의 결합
11050011,폭발의 명사수 활,Weapon,1T,활 (저격) - 단 한 발로 전장을 초토화하는 폭발력
11050013,폭풍의 결박자,Weapon,3T,활 (충격) - 휘몰아치는 폭풍으로 적의 발을 묶음
21010111,수호자의 철갑,Armor,1T,판금 아머 - 물리적 타격을 효과적으로 흡수
21010131,불굴의 거신 갑옷,Armor,3T,판금 아머 - 어떠한 충격에도 굴하지 않는 요새
21010211,강철의 의지 투구,Armor,1T,판금 헬멧 - 신속한 회복을 돕는 견고한 투구
21010231,총명한 기사의 투구,Armor,3T,판금 헬멧 - 전술적 통찰력을 부여하는 유틸리티 투구
21010311,거인의 손아귀 장갑,Armor,1T,판금 장갑 - 압도적인 생명력을 부여하는 무거운 장갑
21010331,정복자의 강철 장갑,Armor,3T,판금 장갑 - 상태이상을 극복하는 정복자의 무구
21010411,부동의 판금 장화,Armor,1T,판금 신발 - 땅에 뿌리를 박은 듯한 견고한 발걸음
21010431,전신(戰神)의 장화,Armor,3T,판금 신발 - 전쟁의 신이 신었다고 전해지는 무구
21020111,야생의 추적자 의복,Armor,1T,가죽 아머 - 야생의 생명력을 담은 가죽 옷
21020131,잠행자의 그림자 수트,Armor,3T,가죽 아머 - 어둠 속 기동성을 극대화한 의복
21020211,사냥꾼의 예리한 모자,Armor,1T,가죽 헬멧 - 치명적인 약점을 포착하는 시야 확보
21020231,백발백중의 안대,Armor,3T,가죽 헬멧 - 극한의 집중력을 발휘하게 하는 장비
21020311,신속의 사냥꾼 장갑,Armor,1T,가죽 장갑 - 전광석화 같은 공격을 가능케 함
21020331,치명적인 암살자의 손길,Armor,3T,가죽 장갑 - 한 번의 손짓으로 급소를 타격
21020411,바람의 가죽 장화,Armor,1T,가죽 신발 - 바람처럼 가벼운 기동성 부여
21020431,광포한 추격자의 장화,Armor,3T,가죽 신발 - 사냥감을 끝까지 추격하는 공포의 상징
21030111,마력 깃든 학자의 로브,Armor,1T,천 아머 - 순수한 마력을 정제하여 담은 옷
21030131,대현자의 로브,Armor,3T,천 아머 - 세상의 진리를 깨달은 자의 성물
21030211,명상의 후드,Armor,1T,천 헬멧 - 평온한 정신으로 마력을 회복
21030231,고대 예언자의 관,Armor,3T,천 헬멧 - 잊혀진 예언의 힘을 담은 왕관
21030311,정령의 손길 장갑,Armor,1T,천 장갑 - 자연의 정령과 공명하는 장갑
21030331,천상의 인도자 장갑,Armor,3T,천 장갑 - 신성한 힘으로 아군을 보살피는 무구
21030411,명상의 고요 장화,Armor,1T,천 신발 - 소리 없이 움직이며 정신을 집중
21030431,신성한 축복의 신발,Armor,3T,천 신발 - 밟는 땅마다 축복을 내리는 성스러운 구두
