캐릭터 경험치,,
,,
기획 의도,,
- 높은 스펙을 보유한 유저는 빠르게 레벨업 할 수 있도록 설계한다.,,
   ㄴ 콘텐츠에 제약을 덜 받도록 한다.,,
,,
,,
구분,특징,
숙련도 경험치,"몬스터의 티어와 상관 없이 비슷한 수준의 숙련도 경험치 제공

※ 스펙과 무관하게 정량적인 시간이 필요한 요소
- 몬스터의 숙련도 경험치가 고정적이므로 높은 티어 몬스터를 빨리 잡는다고 해도 더 빨리 숙련도를 상승시킬 수는 없음 
   ㄴ프리미엄 등 BM적 요소로는 가속 가능",
캐릭터 경험치,"몬스터의 티어에 따라 더 높은 수준의 경험치 제공

※ 스펙이 높을 시 더 빨리 성장시킬 수 있는 요소
- 몬스터의 캐릭터 경험치는 티어에 따라 더 높아지므로 수준보다 높은 몬스터를 잡을 경우 빠르게 레벨업 가능",
,,
티어 별 몬스터 경험치,,
티어,베이스 경험치,몬스터 사냥 시간
Tier1,10,6.0
Tier2,15,6.0
Tier3,22,6.0
Tier4,33,6.0
Tier5,49,6.0
Tier6,73,6.0
Tier7,109,6.0
,,
난이도에 따른 몬스터 경험치,,
- 높은 난이도의 몬스터 경험치는 체력 배율 정도의 배수를 지급한다.,,
    ㄴ 시간 대비 가치 보전 정도로 제공,,
"- 공, 방 패턴 등의 제약도 있으므로 경험치 파밍 자체는 낮은 등급을 잡는 것이 효율이 높다.",,
난이도,체력 배율,경험치 배율
Normal,1,1
Strong,1.25,1.25
Commander,1.5,1.5
Elite,2.5,2.5
Hero,4,4
Boss,8,8
