명칭,Enum 명,능력치 최대 적용치,설명
공격력(%),AttackVaryper,50%,"만분률로 입력한다.
공격력이 n%만큼 상승한다. 캐릭터가 장착한 장비, 기본 능력치 등만 적용된다.
기존 정수형으로 적용된 AttackVary를 모두 합산한 후, 1+(n/100)%만큼 상승한다."
방어력(%),DefenseVaryper,50%,"만분률로 입력한다.
방어력이 n%만큼 상승한다. 캐릭터가 장착한 장비, 기본 능력치 등만 적용된다.
기존 정수형으로 적용된 PhysicalDefenseVary, MagicDefenseVary를 모두 합산한 후, 1+(n/100)%만큼 상승한다.
PhysicalDefenseVary, MagicDefenseVary는 별도로 계산되어 더해진다.

ex) PhysicalDefenseVary = 100, MagicDefenseVary = 200 일 때 DefensePer = 100
- PhysicalDefenseVary = 110 , MagicDefenseVary = 220"
최대 체력(%),MaxHpVaryper,50%,"만분률로 입력한다.
최대 체력이 n%만큼 상승한다. 캐릭터가 장착한 장비, 기본 능력치 등만 적용된다.
기존 정수형으로 적용된 MaxHpVary를 모두 합산한 후, 1+(n/100)%만큼 상승한다. 
최대 체력만 상승하고 현재 체력에는 관여하지 않는다. 
버프 제거 시 기존 체력이 최대 체력보다 높을 시 최대 체력을 초과하는 체력은 제거된다."
최대 마력(%),MaxMpVaryper,50%,"만분률로 입력한다.
최대 마력이 n%만큼 상승한다. 캐릭터가 장착한 장비, 기본 능력치 등만 적용된다.
기존 정수형으로 적용된 MaxHpVary를 모두 합산한 후, 1+(n/100)%만큼 상승한다. 
최대 마력만 상승하고 현재 체력에는 관여하지 않는다. 
버프 제거 시 기존 마력이 최대 마력보다 높을 시 최대 마력을 초과하는 마력은 제거된다."
추가 공격력,AddAttackVary,300,"AttackPer가 적용되지 않고 마지막에 더해지는 공격력

공격력 계산식(캐릭터 창에도 적용) AttackVary * (1+(AttackPer/10000)) + AddAttackVary"
추가 물리 방어력,AddDefense,600,"PhysicalDefenseVary가 적용되지 않고 마지막에 더해지는 물리 방어력 물리 방어력 계산식(캐릭터 창에도 적용)
PhysicalDefenseVary * (1+(PhysicalDefensePer/10000)) + AddPhysicalDefenseVary"
추가 체력,AddMaxHpVary,500,"MaxHpPer가 적용되지 않고 마지막에 더해지는 체력

체력 계산식(캐릭터 창에도 적용)
MaxHpVary * (1+(MaxHpPer/10000)) + AddMaxHpVary"
추가 마력,AddMaxMpVary,250,"MaxMpPer가 적용되지 않고 마지막에 더해지는 마력

마력 계산식(캐릭터 창에도 적용)
MaxMpVary * (1+(MaxMpPer/10000)) + AddMaxMpVary"
스킬 가속,SkillCooldownAccVary,30%,"스킬의 쿨타임이 충전되는 속도가 (1+n/100)만큼 빨라진다.
ex) 스킬 가속이 100인 경우 쿨타임 충전 속도가 100% = (100/100) 빨라진다.
재사용 대기 시간 감소량 환산식 = 초기 값 * 100/(100+n)


재사용 대기시간 감소와 같은 옵션은 필연적으로 최대 제한 수치를 제한할 수 밖에 없는 점을 보완할 수 있음
직관성이 떨어지는 부분은 UI에서 계산된 재사용 대기시간 감소를 보여주면 될 것 같습니다.




롤에서 사용하는 방식
- 제약을 줄여준 좋은 패치입니다.
- 기존 공식에서는 재사용 대기시간은 올릴 수록 효율이 좋아집니다. 
- 이 부분으로 인하여 최대 적용 수치에 제한을 둘 수 밖에 없는 능력치였습니다.


능력치를 올릴 수록 동일한 시간동안 1+(n/100)회 스킬을 더 사용할 수 있다. 
- 상기 방식으로 효율을 리니어하게 수정했습니다. 
- 누적 피해량 = 스킬 사용 횟수 * 스킬 피해량"
상태 이상 저항력,SCNegativeRecoveryVary,1000,"적에게 받는 상태 이상이 해제되는 속도가 (1+n/100)만큼 빨라진다. 
상태 이상 지속 시간 감소량 환산식 = 1-1/(1+(n/100))"
마나 소모량 감소,CostMPDownPer,50%,스킬 사용에 필요한 MP 소모량이 n/100만큼 감소한다.
공격력,AttackVary,1500,"적에게 입히는 대미지 수치에 영향을 주는 능력치이다.
- 공격 속성은 실제 대미지로 산출될 때 부여된다.
- ex) 공격력의 180%의 참격 대미지를 입힌다."
방어력,DefenseVary,3000,모든 타입의 방어력이 수치만큼 상승한다.
공격 속도,AtkSpeedVaryper,300%,캐릭터의 기본 공격 속도*N% 만큼 캐릭터의 공격 속도를 상승 시킨다.
이동 속도,MoveSpeedVaryper,200%,캐릭터의 기본 이동 속도*N% 만큼 캐릭터의 이동 속도를 상승 시킨다.
주는 대미지 증가,DamageUpVaryper,100%,적에게 입히는 모든 대미지를 n% 상승 시킨다.
받는 대미지 감소,DamageDownVaryper,50%,적에게 받는 모든 대미지를 n% 감소 시킨다.
PVE 대미지 증가,PVPDamageUpVaryper,100%,대상이 플레이어가 아닐 때 주는 대미지을 n%만큼 증가 시킨다.
PVE 대미지 감소,PVEDamageDownVaryper,50%,대상이 플레이어가 아닐 때 받는 대미지를 n%만큼 감소 시킨다.
PVP 대미지 증가,PVPDamageUpVaryper,100%,대상이 플레이어가 일 때 주는 대미지을 n%만큼 증가 시킨다.
PVP 대미지 감소,PVPDamageDownVaryper,50%,대상이 플레이어가 일 때 받는 대미지를 n%만큼 감소 시킨다.
회피,DodgePer,100%,"적의 공격을 회피할 확률을 n% 확률만큼 증가 시킨다.
- x7에서 명중 능력치는 사용하지 않고 회피(%) 능력치만 사용한다.
- 액티브 형식의 스킬에서만 사용한다.
> ex) 5초간 30% 확률로 적의 공격을 회피한다.
> ex) 5초간 적의 공격을 1회 회피한다."
치명타 확률,CriVaryper,80%,"기본 공격에 치명타가 발동할 확률을 n%만큼 증가 시킨다.
- 대 부분의 스킬은 치명타가 발동하지 않는 방식을 생각하고 있다.
> 일부 기본 공격을 강화 하는 방식(온 히트)만 치명타가 발동하는 방식"
치명타 대미지,CriDamageVaryper,300%,치명타 대미지를 n%만큼 증가 시킨다.
HP 자연 회복량,RegenHpVary,100,체력 자연 회복량(12초 당 1번 회복)
MP 자연 회복량,RegenMpVary,50,마력 자연 회복량(12초 당 1번 회복)
