종류,티어,강화,능력치 타입,수치
무기,Tier1,1,AttackVary,8
무기,Tier1,2,AttackVary,16
무기,Tier1,3,AttackVary,24
무기,Tier1,4,AttackVary,32
무기,Tier1,5,AttackVary,40
무기,Tier1,6,AttackVary,48
무기,Tier1,7,AttackVary,56
무기,Tier1,8,AttackVary,64
무기,Tier1,9,AttackVary,72
무기,Tier1,10,AttackVary,80
무기,Tier2,1,AttackVary,10
무기,Tier2,2,AttackVary,20
무기,Tier2,3,AttackVary,30
무기,Tier2,4,AttackVary,40
무기,Tier2,5,AttackVary,50
무기,Tier2,6,AttackVary,60
무기,Tier2,7,AttackVary,70
무기,Tier2,8,AttackVary,80
무기,Tier2,9,AttackVary,90
무기,Tier2,10,AttackVary,100
무기,Tier3,1,AttackVary,12
무기,Tier3,2,AttackVary,24
무기,Tier3,3,AttackVary,36
무기,Tier3,4,AttackVary,48
무기,Tier3,5,AttackVary,60
무기,Tier3,6,AttackVary,72
무기,Tier3,7,AttackVary,84
무기,Tier3,8,AttackVary,96
무기,Tier3,9,AttackVary,108
무기,Tier3,10,AttackVary,120
무기,Tier4,1,AttackVary,14
무기,Tier4,2,AttackVary,28
무기,Tier4,3,AttackVary,42
무기,Tier4,4,AttackVary,56
무기,Tier4,5,AttackVary,70
무기,Tier4,6,AttackVary,84
무기,Tier4,7,AttackVary,98
무기,Tier4,8,AttackVary,112
무기,Tier4,9,AttackVary,126
무기,Tier4,10,AttackVary,140
무기,Tier5,1,AttackVary,16
무기,Tier5,2,AttackVary,32
무기,Tier5,3,AttackVary,48
무기,Tier5,4,AttackVary,64
무기,Tier5,5,AttackVary,80
무기,Tier5,6,AttackVary,96
무기,Tier5,7,AttackVary,112
무기,Tier5,8,AttackVary,128
무기,Tier5,9,AttackVary,144
무기,Tier5,10,AttackVary,160
무기,Tier6,1,AttackVary,18
무기,Tier6,2,AttackVary,36
무기,Tier6,3,AttackVary,54
무기,Tier6,4,AttackVary,72
무기,Tier6,5,AttackVary,90
무기,Tier6,6,AttackVary,108
무기,Tier6,7,AttackVary,126
무기,Tier6,8,AttackVary,144
무기,Tier6,9,AttackVary,162
무기,Tier6,10,AttackVary,180
무기,Tier7,1,AttackVary,20
무기,Tier7,2,AttackVary,40
무기,Tier7,3,AttackVary,60
무기,Tier7,4,AttackVary,80
무기,Tier7,5,AttackVary,100
무기,Tier7,6,AttackVary,120
무기,Tier7,7,AttackVary,140
무기,Tier7,8,AttackVary,160
무기,Tier7,9,AttackVary,180
무기,Tier7,10,AttackVary,200
방어구,Tier1,1,DefenseVary,4
방어구,Tier1,2,DefenseVary,8
방어구,Tier1,3,DefenseVary,12
방어구,Tier1,4,DefenseVary,16
방어구,Tier1,5,DefenseVary,20
방어구,Tier1,6,DefenseVary,24
방어구,Tier1,7,DefenseVary,28
방어구,Tier1,8,DefenseVary,32
방어구,Tier1,9,DefenseVary,36
방어구,Tier1,10,DefenseVary,40
방어구,Tier2,1,DefenseVary,5
방어구,Tier2,2,DefenseVary,10
방어구,Tier2,3,DefenseVary,15
방어구,Tier2,4,DefenseVary,20
방어구,Tier2,5,DefenseVary,25
