종류,등급,Enum,능력치 타입,수치
무기,일반,Common,AttackVary,0
무기,고급,Uncommon,AttackVary,20
무기,희귀,Rare,AttackVary,40
무기,고대,Ancient,AttackVary,60
무기,영웅,Heroic,AttackVary,80
무기,유일,Unique,AttackVary,100
무기,유물,Relic,AttackVary,120
방어구,일반,Common,DefenseVary,0
방어구,고급,Uncommon,DefenseVary,10
방어구,희귀,Rare,DefenseVary,20
방어구,고대,Ancient,DefenseVary,30
방어구,영웅,Heroic,DefenseVary,40
방어구,유일,Unique,DefenseVary,50
방어구,유물,Relic,DefenseVary,55
장신구(반지),일반,Common,AttackVary,0
장신구(반지),고급,Uncommon,AttackVary,5
장신구(반지),희귀,Rare,AttackVary,10
장신구(반지),고대,Ancient,AttackVary,15
장신구(반지),영웅,Heroic,AttackVary,20
장신구(반지),유일,Unique,AttackVary,25
장신구(반지),유물,Relic,AttackVary,30
장신구(목걸이),일반,Common,DefenseVary,0
장신구(목걸이),고급,Uncommon,DefenseVary,10
장신구(목걸이),희귀,Rare,DefenseVary,20
장신구(목걸이),고대,Ancient,DefenseVary,30
장신구(목걸이),영웅,Heroic,DefenseVary,40
장신구(귀걸이),유일,Unique,DefenseVary,50
장신구(귀걸이),유물,Relic,DefenseVary,60
장신구(귀걸이),일반,Common,DefenseVary,0
장신구(귀걸이),고급,Uncommon,DefenseVary,10
장신구(귀걸이),희귀,Rare,DefenseVary,20
장신구(귀걸이),고대,Ancient,DefenseVary,30
장신구(귀걸이),영웅,Heroic,DefenseVary,40
장신구(귀걸이),유일,Unique,DefenseVary,50
장신구(귀걸이),유물,Relic,DefenseVary,60
