OID,Cid,Comment,StatusChangeCid,BlockStatusChangeCid
1,1,test,900,901
2,2,test,900,901
3,3,가이드용 부쉬,900,901
4,4,이니스섬1,900,901
5,5,이니스섬2,900,901
6,6,이니스섬3,900,901
7,7,부쉬폴리지 테스트1,900,901
8,8,부쉬폴리지 테스트2,900,901
9,9,부쉬폴리지 테스트3,900,901
100,100,YnysIsland_1,900,901
101,101,YnysIsland_2,900,901
102,102,YnysIsland_3,900,901
103,103,YnysIsland_4,900,901
104,104,YnysIsland_5,900,901
105,105,YnysIsland_6,900,901
106,106,YnysIsland_7,900,901
107,107,YnysIsland_8,900,901
108,108,YnysIsland_9,900,901
109,109,YnysIsland_10,900,901
110,110,YnysIsland_11,900,901
111,111,YnysIsland_12,900,901
112,112,YnysIsland_13,900,901
113,113,YnysIsland_14,900,901
114,114,YnysIsland_15,900,901
115,115,YnysIsland_16,900,901
90501,90501,뒤틀린 생명의 균열 10시 방향_A,900,901
90502,90502,뒤틀린 생명의 균열 10시 방향_B,900,901
90503,90503,뒤틀린 생명의 균열 1시 방향_A,900,901
90504,90504,뒤틀린 생명의 균열 1시 방향_B,900,901
90505,90505,뒤틀린 생명의 균열 4시 방향_A,900,901
90506,90506,뒤틀린 생명의 균열 4시 방향_B,900,901
90507,90507,뒤틀린 생명의 균열 7시 방향_A,900,901
90508,90508,뒤틀린 생명의 균열 7시 방향_B,900,901
