OID,Level,Comment,Exp
1,1,,0
2,2,,4300
3,3,,4580
4,4,,4877
5,5,,5194
6,6,,5532
7,7,,5891
8,8,,6274
9,9,,6682
10,10,,7116
11,11,,7579
12,12,,8072
13,13,,8596
14,14,,9155
15,15,,9750
16,16,,10384
17,17,,11059
18,18,,11778
19,19,,12543
20,20,,13359
21,21,,14227
22,22,,15152
23,23,,16137
24,24,,17185
25,25,,18302
26,26,,19492
27,27,,20759
28,28,,22108
29,29,,23545
30,30,,25076
31,31,,26706
32,32,,28442
33,33,,30290
34,34,,32259
35,35,,34356
36,36,,36589
37,37,,38968
38,38,,41501
39,39,,44198
40,40,,47071
41,41,,50131
42,42,,53389
43,43,,56859
44,44,,60555
45,45,,64491
46,46,,68683
47,47,,73148
48,48,,77902
49,49,,82966
50,50,,88359
51,51,,94102
52,52,,100219
53,53,,106733
54,54,,113671
55,55,,121059
56,56,,128928
57,57,,137308
58,58,,146233
59,59,,155739
60,60,,165862
61,61,,176643
62,62,,188124
63,63,,200352
64,64,,213375
65,65,,227245
66,66,,242016
67,67,,257747
68,68,,274500
69,69,,292343
70,70,,311345
71,71,,331582
72,72,,353135
73,73,,376089
74,74,,400535
75,75,,426570
76,76,,454297
77,77,,483826
78,78,,515274
79,79,,548767
80,80,,584437
81,81,,622426
82,82,,662883
83,83,,705971
84,84,,751859
85,85,,800730
86,86,,852777
87,87,,908208
88,88,,967241
89,89,,1030112
90,90,,1097069
91,91,,1168378
92,92,,1244323
93,93,,1325204
94,94,,1411342
95,95,,1503080
96,96,,1600780
97,97,,1704830
98,98,,1815644
99,99,,1933661
100,100,,2059349

