OID,Level,Comment,StatModifiedCids
1,1,,"[100,101,201,301,401]"
2,2,,"[100,102,202,302,402]"
3,3,,"[100,103,203,303,403]"
4,4,,"[100,104,204,304,404]"
5,5,,"[100,105,205,305,405]"
6,6,,"[100,106,206,306,406]"
7,7,,"[100,107,207,307,407]"
8,8,,"[100,108,208,308,408]"
9,9,,"[100,109,209,309,409]"
10,10,,"[100,110,210,310,410]"
11,11,,"[100,111,211,311,411]"
12,12,,"[100,112,212,312,412]"
13,13,,"[100,113,213,313,413]"
14,14,,"[100,114,214,314,414]"
15,15,,"[100,115,215,315,415]"
16,16,,"[100,116,216,316,416]"
17,17,,"[100,117,217,317,417]"
18,18,,"[100,118,218,318,418]"
19,19,,"[100,119,219,319,419]"
20,20,,"[100,120,220,320,420]"
21,21,,"[100,121,221,321,421]"
22,22,,"[100,122,222,322,422]"
23,23,,"[100,123,223,323,423]"
24,24,,"[100,124,224,324,424]"
25,25,,"[100,125,225,325,425]"
26,26,,"[100,126,226,326,426]"
27,27,,"[100,127,227,327,427]"
28,28,,"[100,128,228,328,428]"
29,29,,"[100,129,229,329,429]"
30,30,,"[100,130,230,330,430]"
31,31,,"[100,131,231,331,431]"
32,32,,"[100,132,232,332,432]"
33,33,,"[100,133,233,333,433]"
34,34,,"[100,134,234,334,434]"
35,35,,"[100,135,235,335,435]"
36,36,,"[100,136,236,336,436]"
37,37,,"[100,137,237,337,437]"
38,38,,"[100,138,238,338,438]"
39,39,,"[100,139,239,339,439]"
40,40,,"[100,140,240,340,440]"
41,41,,"[100,141,241,341,441]"
42,42,,"[100,142,242,342,442]"
43,43,,"[100,143,243,343,443]"
44,44,,"[100,144,244,344,444]"
45,45,,"[100,145,245,345,445]"
46,46,,"[100,146,246,346,446]"
47,47,,"[100,147,247,347,447]"
48,48,,"[100,148,248,348,448]"
49,49,,"[100,149,249,349,449]"
50,50,,"[100,150,250,350,450]"
51,51,,"[100,151,251,351,451]"
52,52,,"[100,152,252,352,452]"
53,53,,"[100,153,253,353,453]"
54,54,,"[100,154,254,354,454]"
55,55,,"[100,155,255,355,455]"
56,56,,"[100,156,256,356,456]"
57,57,,"[100,157,257,357,457]"
58,58,,"[100,158,258,358,458]"
59,59,,"[100,159,259,359,459]"
60,60,,"[100,160,260,360,460]"
61,61,,"[100,161,261,361,461]"
62,62,,"[100,162,262,362,462]"
63,63,,"[100,163,263,363,463]"
64,64,,"[100,164,264,364,464]"
65,65,,"[100,165,265,365,465]"
66,66,,"[100,166,266,366,466]"
67,67,,"[100,167,267,367,467]"
68,68,,"[100,168,268,368,468]"
69,69,,"[100,169,269,369,469]"
70,70,,"[100,170,270,370,470]"
71,71,,"[100,171,271,371,471]"
72,72,,"[100,172,272,372,472]"
73,73,,"[100,173,273,373,473]"
74,74,,"[100,174,274,374,474]"
75,75,,"[100,175,275,375,475]"
76,76,,"[100,176,276,376,476]"
77,77,,"[100,177,277,377,477]"
78,78,,"[100,178,278,378,478]"
79,79,,"[100,179,279,379,479]"
80,80,,"[100,180,280,380,480]"
81,81,,"[100,181,281,381,481]"
82,82,,"[100,182,282,382,482]"
83,83,,"[100,183,283,383,483]"
84,84,,"[100,184,284,384,484]"
85,85,,"[100,185,285,385,485]"
86,86,,"[100,186,286,386,486]"
87,87,,"[100,187,287,387,487]"
88,88,,"[100,188,288,388,488]"
89,89,,"[100,189,289,389,489]"
90,90,,"[100,190,290,390,490]"
91,91,,"[100,191,291,391,491]"
92,92,,"[100,192,292,392,492]"
93,93,,"[100,193,293,393,493]"
94,94,,"[100,194,294,394,494]"
95,95,,"[100,195,295,395,495]"
96,96,,"[100,196,296,396,496]"
97,97,,"[100,197,297,397,497]"
98,98,,"[100,198,298,398,498]"
99,99,,"[100,199,299,399,499]"
100,100,,"[100,200,300,400,500]"
