OID,Cid,Comment
1,1,1슬롯 회복스킬
2,2,2슬롯 회복스킬
3,3,3슬롯 회복스킬
4,4,Q 스킬 슬롯
5,5,W 스킬 슬롯
6,6,E 스킬 슬롯
7,7,R 스킬 슬롯
8,8,D 스킬 슬롯
9,9,F 스킬 슬롯
10,10,Z 스킬 슬롯_액티브
11,11,X 스킬 슬롯_액티브
12,12,C 스킬 슬롯_액티브
13,13,V 스킬 슬롯_액티브
14,14,Z 스킬 슬롯_Proc
15,15,X 스킬 슬롯_Proc
16,16,C 스킬 슬롯_Proc
17,17,V 스킬 슬롯_Proc
100,100,포션_글로벌 쿨다운
110,110,체력 물약
120,120,마력 물약
130,130,공간이동서
200,200,두다드_글로벌 쿨다운
300,300,상자_글로벌 쿨다운
400,400,등록_글로벌 쿨다운
500,500,포탄_글로벌 쿨다운
600,600,음식_글로벌 쿨다운
610,610,체력 재생형 음식
620,620,마력 재생형 음식
630,630,공격용 버프 음료
640,640,방어용 버프 음료
650,650,기타 음식
1000,1000,유체화
1001,1001,고양
1002,1002,점멸
1003,1003,정화
1004,1004,회복
1005,1005,방어막
1006,1006,탈진
1007,1007,억제
1008,1008,총명
1009,1009,점화
20001,20001,스킬 쿨타임 공유
90000,90000,은신 쿨그룹
20200034,20200034,오크 주술사 회복 기술 그룹
