OID,Cid,Comment,ChildCategory,ChildSubCategory
1,1,,WoodWork,[None]
2,2,,Smith,[None]
3,3,,Sewing,[None]
4,4,,Tanned,[None]
11,11,,OnehandSword,[None]
12,12,,TwohandSword,[None]
13,13,,Dagger,[None]
14,14,,Staff,[None]
15,15,,Bow,[None]
21,21,,Metal,[None]
22,22,,Fabric,[None]
23,23,,Leather,[None]
31,31,,Ring,[None]
32,32,,Earring,[None]
33,33,,Necklace,[None]
41,41,,Hull,[None]
42,42,,Sail,[None]
43,43,,Cannon,[None]
44,44,,SteeringWheel,[None]
45,45,,Telescope,[None]
46,46,,Figurehead,[None]
47,47,,CannonBall,[None]
51,51,,Food,[None]
52,52,,Potion,[None]
53,53,,Etc,[None]
