OID,Cid,Comment,DescName,CraftingMethod,CraftingStationCategory,MaterialMaxStack,SlotCondition,CraftIds
1,1,주괴 가공,광석 가공대,Continuous,IngotProcessing,1000,[],"[1011,1012,1013,1014,1015,1016,1017]"
2,2,섬유 가공,섬유 가공대,Continuous,FiberProcessing,1000,[],"[1021,1022,1023,1024,1025,1026,1027]"
3,3,목재 가공,통나무 가공대,Continuous,WoodProcessing,1000,[],"[1031,1032,1033,1034,1035,1036,1037]"
4,4,가죽 가공,통가죽 가공대,Continuous,LeatherProcessing,1000,[],"[1041,1042,1043,1044,1045,1046,1047]"
5,5,(M14)주괴 가공_1~3T동기식,간이 광석 가공대,Default,None,0,[],"[1011,1012,1013]"
6,6,(M14)섬유 가공_1~3T동기식,간이 섬유 가공대,Default,None,0,[],"[1021,1022,1023]"
7,7,(M14)목재 가공_1~3T동기식,간이 통나무 가공대,Default,None,0,[],"[1031,1032,1033]"
8,8,(M14)가죽 가공_1~3T동기식,간이 통가죽 가공대,Default,None,0,[],"[1041,1042,1043]"
9,9,(M14)간이 가공대_1~3T동기식,간이 가공대,Default,None,0,[],"[1011,1012,1013,1021,1022,1023,1031,1032,1033,1041,1042,1043]"
100,100,무기(1~3T),무기 제작대,Default,Weapon,0,[],"[11010006,11010007,11010008,11010009,11010010,11020001,11020002,11020003,11020004,11020005,11020006,11020007,11020008,11020009,11020010,11030001,11030002,11030003,11030004,11030005,11030006,11030007,11030008,11030009,11030010]"
101,101,무기-장검,장검 제작대,Default,Weapon,0,[],"[11010006,11020001,11020006,11030001,11030006]"
102,102,무기-양손검,양손검 제작대,Default,Weapon,0,[],"[11010007,11020002,11020007,11030002,11030007]"
103,103,무기-단검,단검 제작대,Default,Weapon,0,[],"[11010008,11020003,11020008,11030003,11030008]"
104,104,무기-활,활 제작대,Default,Weapon,0,[],"[11010010,11020004,11020009,11030004,11030009]"
105,105,무기-지팡이,지팡이 제작대,Default,Weapon,0,[],"[11010010,11020005,11020010,11030005,11030010]"
106,106,무기(관리실 1T),무기 제작대,Default,Weapon,0,[],"[11010006,11010007,11010008,11010009,11010010]"
200,200,방어구,방어구 제작대,Default,Armor,0,[],"[12020001,12020002,12020003,12020004,12020005,12020006,12020007,12020008,12020009,12020010,12020011,12020012,12020013,12020014,12020015,12020016,12020017,12020018,12020019,12020020,12020021,12030001,12030002,12030003,12030004,12030005,12030006,12030007,12030008,12030009,12030010,12030011,12030012,12030013,12030014,12030015,12030016,12030017,12030018,12030019,12030020,12030021,12030022,12030023,12030024]"
201,201,방어구-판금,판금 방어구 제작대,Default,Armor,0,[],"[12020001,12020004,12020007,12020010,12020013,12020014,12020019,12030001,12030004,12030007,12030008,12030013,12030016,12030019,12030022]"
202,202,방어구-가죽,가죽 방어구 제작대,Default,Armor,0,[],"[12020002,12020005,12020008,12020011,12020015,12020016,12020020,12030002,12030005,12030009,12030010,12030014,12030017,12030020,12030023]"
203,203,방어구-천,천 방어구 제작대,Default,Armor,0,[],"[12020003,12020006,12020009,12020012,12020017,12020018,12020021,12030003,12030006,12030011,12030012,12030015,12030018,12030021,12030024]"
204,204,방어구(관리실 1T),방어구 제작대,Default,Armor,0,[],"[12020003,12020006,12020009,12020012,12020017,12020018,12020021]"
40,40,요리 제작대_비동기,요리 제작대,Queue,Cook,0,"[604,1,1,1,2,2,3]","[40010101,40010102,40010103,40010104,40020101,40020102,40020103,40020104]"
41,41,요리 제작대_동기,요리 제작대,Default,None,0,[],"[40010101,40010102,40010103,40010104,40020101,40020102,40020103,40020104]"
50,50,연금술 제작대_비동기,연금술 제작대,Queue,Alchemy,0,"[501,1,1,1,2,2,3]","[50010101,50010201,50010202,50010203,50010204]"
51,51,연금술 제작대_동기,연금술 제작대,Default,None,0,[],"[50010101,50010201,50010202,50010203,50010204]"
99,99,테스트 등짐 제작대,등짐 제작대,Default,None,100,[],[99000001]
900,900,특산품 제작대,특산품 제작대,Default,None,0,[],[90021001]
901,901,솔즈리드 반도 무역품 제작대,솔즈리드 반도 무역품 제작대,Default,None,0,[],"[90010101,90010102,90010103,90010104,90010105,90010106,90010107,90010108,90010109,90010201,90010202,90010203,90010204,90010205,90010206,90010207,90010208,90010209,90010301,90010302,90010303,90010304,90010305,90010306,90010307,90010308,90010309,90010401,90010402,90010403,90010404,90010405,90010406,90010407,90010408,90010409,90020501,90020502,90020503,90020504,90020505,90020506,90020507,90020508,90020509,90020601,90020602,90020603,90020604,90020605,90020606,90020607,90020608,90020609,90020701,90020702,90020703,90020704,90020705,90020706,90020707,90020708,90020709]"
902,902,릴리엇 구릉지 무역품 제작대 ,릴리엇 구릉지 무역품 제작대 ,Default,None,0,[],"[90010101,90010102,90010103,90010104,90010105,90010106,90010107,90010108,90010109,90010201,90010202,90010203,90010204,90010205,90010206,90010207,90010208,90010209,90010301,90010302,90010303,90010304,90010305,90010306,90010307,90010308,90010309,90010401,90010402,90010403,90010404,90010405,90010406,90010407,90010408,90010409,90020501,90020502,90020503,90020504,90020505,90020506,90020507,90020508,90020509,90020601,90020602,90020603,90020604,90020605,90020606,90020607,90020608,90020609,90020701,90020702,90020703,90020704,90020705,90020706,90020707,90020708,90020709]"
903,903,가랑돌 평원 무역품 제작대 ,가랑돌 평원 무역품 제작대 ,Default,None,0,[],"[90010101,90010102,90010103,90010104,90010105,90010106,90010107,90010108,90010109,90010201,90010202,90010203,90010204,90010205,90010206,90010207,90010208,90010209,90010301,90010302,90010303,90010304,90010305,90010306,90010307,90010308,90010309,90010401,90010402,90010403,90010404,90010405,90010406,90010407,90010408,90010409,90020501,90020502,90020503,90020504,90020505,90020506,90020507,90020508,90020509,90020601,90020602,90020603,90020604,90020605,90020606,90020607,90020608,90020609,90020701,90020702,90020703,90020704,90020705,90020706,90020707,90020708,90020709]"
904,904,하얀 숲 무역품 제작대 ,하얀 숲 무역품 제작대 ,Default,None,0,[],"[90010101,90010102,90010103,90010104,90010105,90010106,90010107,90010108,90010109,90010201,90010202,90010203,90010204,90010205,90010206,90010207,90010208,90010209,90010301,90010302,90010303,90010304,90010305,90010306,90010307,90010308,90010309,90010401,90010402,90010403,90010404,90010405,90010406,90010407,90010408,90010409,90020501,90020502,90020503,90020504,90020505,90020506,90020507,90020508,90020509,90020601,90020602,90020603,90020604,90020605,90020606,90020607,90020608,90020609,90020701,90020702,90020703,90020704,90020705,90020706,90020707,90020708,90020709]"
905,905,마리아노플 무역품 제작대,마리아노플 무역품 제작대,Default,None,0,[],"[90010101,90010102,90010103,90010104,90010105,90010106,90010107,90010108,90010109,90010201,90010202,90010203,90010204,90010205,90010206,90010207,90010208,90010209,90010301,90010302,90010303,90010304,90010305,90010306,90010307,90010308,90010309,90010401,90010402,90010403,90010404,90010405,90010406,90010407,90010408,90010409,90020501,90020502,90020503,90020504,90020505,90020506,90020507,90020508,90020509,90020601,90020602,90020603,90020604,90020605,90020606,90020607,90020608,90020609,90020701,90020702,90020703,90020704,90020705,90020706,90020707,90020708,90020709]"
1000,1000,퀘스트용_요리 제작대,간이 요리 제작대,Default,Cook,0,[],[40000001]
